"Player Details","","","","","","","Matchup","","","","","","Man","","","","","Cover 2","","","","","Cover 3","","","","","Cover 4","","","","","Cover 6","","","",""
"Rank","Name","Team","POS","G","Season","OPP","RTE","RTE/G","FP/RR","EXP FP/RTE","COV GRADE","YPRR","DEF MAN %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 2 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 3 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 4 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 6 %","DEF FP/DB","FP/RTE","RTE %","YPRR"
"47","Nico Collins","HST","WR","9","2025","BUF","275","30.6","0.41","0.39","-5.8","2.05","24.3","0.57","0.32","23.6","1.63","16.7","0.28","0.10","13.8","0.18","32.0","0.35","0.59","34.5","2.83","14.7","0.34","0.30","9.5","1.88","12.3","0.41","0.48","18.5","2.63"
"48","Juwan Johnson","NO","TE","10","2025","ATL","289","28.9","0.34","0.38","11.0","1.64","20.3","0.30","0.29","20.8","0.92","3.3","0.83","0.22","18.3","1.28","50.6","0.45","0.35","34.3","1.71","19.7","0.48","0.27","22.1","1.45","6.1","0.56","1.38","4.5","6.92"
"49","Alec Pierce","IND","WR","8","2025","KC","240","30.0","0.39","0.37","-3.5","2.44","26.2","0.27","0.41","26.7","2.69","20.2","0.28","0.13","11.3","0.96","30.9","0.48","0.50","27.9","3.54","16.4","0.35","0.40","22.5","1.80","6.3","0.39","0.26","11.7","1.89"
"50","Wan'Dale Robinson","NYG","WR","11","2025","DET","346","31.5","0.38","0.37","-1.1","1.79","39.4","0.61","0.34","27.2","1.60","12.4","0.26","0.63","14.2","3.47","28.4","0.37","0.38","31.5","1.86","17.2","0.49","0.25","16.2","0.91","2.6","0.32","0.30","11.0","1.16"
"51","Marvin Harrison","ARZ","WR","9","2025","JAX","280","31.1","0.37","0.36","-0.5","1.84","20.3","0.81","0.64","15.7","1.89","10.2","0.27","0.09","13.2","0.38","32.8","0.30","0.35","37.5","2.28","15.6","0.57","0.53","19.6","2.73","21.1","0.22","0.13","13.9","0.77"
"52","Dalton Schultz","HST","TE","10","2025","BUF","277","27.7","0.35","0.36","2.3","1.74","24.3","0.57","0.19","27.8","0.82","16.7","0.28","0.74","13.0","3.75","32.0","0.35","0.35","27.8","1.68","14.7","0.34","0.19","11.6","1.00","12.3","0.41","0.44","19.9","2.24"
"53","Tetairoa McMillan","CAR","WR","11","2025","SF","337","30.6","0.39","0.36","-8.2","2.09","19.3","0.77","0.47","24.9","2.45","6.1","0.19","0.62","15.1","3.08","39.4","0.45","0.35","32.9","2.13","21.5","0.31","0.22","21.4","0.96","13.7","0.32","0.34","5.6","1.84"
"54","Jauan Jennings","SF","WR","9","2025","CAR","233","25.9","0.36","0.36","-1.2","1.58","16.6","0.44","0.65","17.6","1.61","11.2","0.22","0.60","14.2","2.64","41.0","0.47","0.28","33.5","1.64","13.8","0.31","0.16","22.3","0.85","17.4","0.38","0.25","12.4","1.48"
"55","Colston Loveland","CHI","TE","9","2025","PIT","175","19.4","0.39","0.35","-10.0","1.88","35.9","0.47","0.25","24.0","0.38","12.7","0.45","0.20","14.9","0.81","32.2","0.24","0.41","40.6","2.52","12.2","0.16","0.30","9.7","1.24","7.0","0.66","1.01","10.9","4.84"
"56","Greg Dortch","ARZ","WR","10","2025","JAX","144","14.4","0.33","0.35","8.1","0.97","20.3","0.81","0.47","20.1","1.28","10.2","0.27","0.52","11.1","2.06","32.8","0.30","0.14","38.2","0.47","15.6","0.57","0.36","22.2","0.78","21.1","0.22","0.48","8.3","1.50"
