"Player Details","","","","","","Snaps","","","Rushing","","","Receiving","","","","","","FPTS","","","","",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","ATT","TM ATT","ATT %","RTE","DB","RTE %","TGT","TM TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"53","Brashard Smith","KC","RB","10","2025","107","640","16.7","28","259","10.8","52","417","12.5","22","333","6.1","53.1","767.1","6.9","5.3","3.7","37.2"
"54","Justice Hill","BLT","RB","9","2025","193","506","38.1","18","244","7.4","110","279","39.4","27","224","11.4","53.1","551.1","9.6","5.9","7.2","65.2"
"55","Sean Tucker","TB","RB","10","2025","104","624","16.7","51","264","19.3","32","381","8.4","8","325","2.4","52.5","734.7","7.1","5.2","6.4","63.5"
"56","Dylan Sampson","CLV","RB","10","2025","140","636","22.0","31","247","12.6","83","406","20.4","24","324","6.7","50.7","723.0","7.0","5.1","4.7","47.2"
"57","Ollie Gordon","MIA","RB","11","2025","148","613","24.1","50","260","19.2","41","362","11.3","8","312","2.4","49.8","704.1","7.1","4.5","3.9","43.4"
"58","Tyjae Spears","TEN","RB","6","2025","157","343","45.8","34","112","30.4","93","237","39.2","19","189","9.2","45.5","391.1","11.6","7.6","8.7","52.2"
"59","Jeremy McNichols","WAS","RB","11","2025","181","643","28.1","26","308","8.4","104","377","27.6","20","285","6.5","43.8","699.6","6.3","4.0","4.9","54.0"
"60","Isaiah Davis","NYJ","RB","10","2025","181","592","30.6","22","282","7.8","102","352","29.0","20","246","7.3","43.8","582.9","7.5","4.4","4.2","41.8"
"61","Brian Robinson","SF","RB","11","2025","119","702","17.0","57","295","19.3","38","419","9.1","8","363","2.1","43.6","829.2","5.3","4.0","4.2","45.7"
"62","Kyle Juszczyk","SF","FB","11","2025","303","702","43.2","2","295","0.7","120","419","28.6","21","363","5.4","42.8","829.2","5.2","3.9","3.6","39.7"
"63","Chris Rodriguez","WAS","RB","9","2025","135","513","26.3","60","257","23.3","43","288","14.9","1","218","0.4","40.7","556.7","7.3","4.5","5.3","47.5"
"64","James Conner","ARZ","RB","3","2025","83","173","48.0","32","77","41.6","34","106","32.1","9","81","10.1","39.0","197.6","19.7","13.0","11.1","33.3"
"65","Emari Demercado","ARZ","RB","9","2025","124","580","21.4","31","213","14.6","65","389","16.7","11","313","3.2","37.0","727.7","5.1","4.1","4.8","43.5"
"66","Trey Benson","ARZ","RB","4","2025","116","237","48.9","29","94","30.9","71","157","45.2","13","120","10.0","36.7","276.2","13.3","9.2","8.9","35.4"
"67","Zavier Scott","MIN","RB","6","2025","71","364","19.5","21","137","15.3","40","237","16.9","11","190","5.4","33.6","431.7","7.8","5.6","4.9","29.2"
"68","Kendre Miller","NO","RB","7","2025","107","437","24.5","47","183","25.7","24","268","9.0","5","225","2.1","33.2","509.2","6.5","4.7","4.8","33.3"
"69","Ty Johnson","BUF","RB","10","2025","175","620","28.2","19","301","6.3","114","349","32.7","12","286","4.0","32.9","695.0","4.7","3.3","4.0","39.9"
"70","Samaje Perine","CIN","RB","9","2025","167","524","31.9","32","169","18.9","97","362","26.8","9","311","2.7","29.5","671.3","4.4","3.3","3.9","34.8"
"71","Tyler Badie","DEN","RB","10","2025","113","634","17.8","2","265","0.8","82","386","21.2","19","329","5.3","29.1","757.6","3.8","2.9","2.1","20.6"
