"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Total Rushing","","","Scrambles","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","ATT","YDS","TD","SCRM","YDS","TD","FP/DB","FP/OPP","FP/G","FP","OPP"
"62","Kyle Allen","DET","QB","3","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","3","-3","0","0","0","0","-0.15","-0.06","-0.1","-0.3","5"
"63","Kedon Slovis","ARZ","QB","1","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","0","0","0","0.00","0.00","","0.0","1"
"64","Brett Rypien","CIN","QB","1","2025","1","0","0","","0","0.0","","0","0","0","","1","100.0","2","-2.00","0","0","0","0","0","0","0.00","0.00","","0.0","1"
"65","Riley Leonard","IND","QB","1","2025","2","2","0","","0","0.0","","0","0","0","39.6","0","","0","","1","1","0","0","0","0","0.05","0.03","0.1","0.1","3"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"DB","Dropbacks"
"ATT","Passing Attempts"
"CMP","Passing Completions"
"CMP %","Passing Completion Percentage"
"YDS","Passing Yards"
"YDS/G","Passing Yards Per Game"
"YPA","Passing Yards per Attempt"
"TD","Passing Touchdowns"
"INT","Interceptions"
"1D","Passing first downs"
"RATE","QB Passer Rating"
"SACK","Number of times sacked"
"SACK %","Percentage of dropbacks that result in a sack"
"SK YDS","Yards Lost due to Sacks"
"ANY/A","Adjusted Net Yards per Attempt - ((Pass Yards + 20*(Pass TDs)-45*(INTs)-Sack Yards))/(Pass Atts + Sacks)"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"TD","Rushing Touchdowns"
"SCRM","Scrambles"
"YDS","Scramble Yards"
"TD","Scramble Touchdowns"
"FP/DB","Fantasy Points per Dropback"
"FP/OPP","Total Fantasy Points divided by Dropbacks + Designed Runs"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
