"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"70","Chig Okonkwo","TEN","TE","10","2025","230","0.18","1.47","0.29","46","0.11","0.72","0.14","176","0.20","1.71","0.33","109","0.17","1.31","0.26","121","0.19","1.60","0.31"
"71","Sam LaPorta","DET","TE","9","2025","229","0.21","2.14","0.47","47","0.13","1.02","0.19","175","0.23","2.45","0.51","119","0.17","1.71","0.36","110","0.26","2.60","0.59"
"72","Darnell Mooney","ATL","WR","8","2025","228","0.18","0.98","0.17","69","0.25","1.19","0.18","156","0.15","0.91","0.17","119","0.20","1.26","0.20","109","0.15","0.68","0.13"
"73","Malik Washington","MIA","WR","11","2025","227","0.20","1.03","0.33","44","0.16","1.43","0.26","172","0.20","0.92","0.27","104","0.21","1.29","0.33","123","0.19","0.81","0.28"
"74","CeeDee Lamb","DAL","WR","7","2025","226","0.26","2.46","0.48","62","0.35","2.98","0.54","155","0.24","2.40","0.48","101","0.28","2.82","0.55","125","0.25","2.18","0.42"
"75","Keon Coleman","BUF","WR","9","2025","224","0.21","1.47","0.37","71","0.27","1.52","0.39","148","0.20","1.50","0.37","140","0.22","1.29","0.27","84","0.20","1.77","0.53"
"76","Parker Washington","JAX","WR","10","2025","221","0.22","1.58","0.35","45","0.22","2.04","0.34","165","0.22","1.50","0.28","124","0.25","2.18","0.38","97","0.19","0.82","0.31"
"77","Garrett Wilson","NYJ","WR","7","2025","218","0.25","1.81","0.46","43","0.33","2.63","0.89","170","0.24","1.59","0.31","103","0.22","1.47","0.35","115","0.28","2.12","0.55"
"78","Mack Hollins","NE","WR","11","2025","217","0.18","1.78","0.37","56","0.13","0.91","0.18","156","0.19","2.08","0.36","128","0.15","1.45","0.31","89","0.21","2.26","0.46"
"79","Kayshon Boutte","NE","WR","9","2025","217","0.14","1.99","0.44","54","0.11","1.37","0.43","157","0.15","2.27","0.46","133","0.17","1.96","0.41","84","0.10","2.02","0.50"
"80","Brock Bowers","LV","TE","7","2025","214","0.25","2.13","0.49","56","0.32","2.86","0.71","152","0.21","1.93","0.36","100","0.29","2.85","0.58","114","0.21","1.49","0.39"
"81","Jahan Dotson","PHI","WR","10","2025","214","0.08","0.91","0.17","68","0.07","0.94","0.21","142","0.08","0.92","0.15","105","0.09","0.30","0.07","109","0.07","1.49","0.26"
"82","Travis Hunter","JAX","WR","7","2025","212","0.21","1.41","0.30","35","0.20","1.94","0.48","167","0.22","1.38","0.28","117","0.21","1.13","0.28","95","0.21","1.75","0.32"
"83","Jalen Tolbert","DAL","WR","10","2025","211","0.12","0.82","0.19","68","0.13","0.41","0.09","132","0.11","1.09","0.24","100","0.15","1.10","0.24","111","0.09","0.56","0.12"
"84","Xavier Worthy","KC","WR","8","2025","210","0.21","1.34","0.33","64","0.25","1.58","0.38","134","0.22","1.34","0.28","103","0.28","2.07","0.43","107","0.15","0.64","0.16"
"85","Cooper Kupp","SEA","WR","9","2025","209","0.19","1.87","0.35","53","0.32","2.77","0.62","147","0.15","1.61","0.26","111","0.20","2.59","0.39","98","0.18","1.04","0.31"
"86","Evan Engram","DEN","TE","10","2025","208","0.23","1.25","0.31","44","0.14","1.07","0.20","158","0.25","1.28","0.30","107","0.20","1.10","0.24","101","0.27","1.41","0.38"
"87","Rashod Bateman","BLT","WR","9","2025","204","0.14","0.95","0.24","64","0.22","1.80","0.40","135","0.10","0.59","0.16","106","0.18","1.00","0.29","98","0.10","0.90","0.17"
"88","Olamide Zaccheaus","CHI","WR","10","2025","203","0.24","1.22","0.32","50","0.20","0.76","0.18","146","0.26","1.44","0.37","120","0.25","1.38","0.35","83","0.22","1.00","0.24"
"89","Isaiah Bond","CLV","WR","9","2025","201","0.14","0.61","0.12","76","0.20","0.87","0.15","123","0.11","0.46","0.10","113","0.14","0.78","0.14","88","0.14","0.40","0.09"
