"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"290","James Mitchell","CAR","TE","3","2025","10","0.30","2.80","0.58","2","0.50","4.50","0.95","7","0.29","2.71","0.56","5","0.20","1.80","0.38","5","0.40","3.80","0.78"
"291","Josh Whyle","GB","TE","2","2025","10","0.10","0.20","0.72","3","0.33","0.67","2.40","7","","","0.00","3","","","0.00","7","0.14","0.29","1.03"
"292","Jason Brownlee","KC","WR","5","2025","10","0.10","","0.00","5","","","0.00","4","","","0.00","6","","","0.00","4","0.25","","0.00"
"293","Devin Duvernay","CHI","WR","10","2025","10","0.30","0.20","0.12","5","0.40","0.40","0.24","5","0.20","","0.00","6","0.33","0.33","0.20","4","0.25","","0.00"
"294","Dareke Young","SEA","WR","6","2025","9","0.22","5.33","0.76","1","","","0.00","8","0.25","6.00","0.85","5","0.40","9.60","1.36","4","","","0.00"
"295","Zaire Mitchell-Paden","BLT, NO","TE","7","2025","9","0.33","1.89","0.41","3","0.33","","0.00","6","0.33","2.83","0.62","8","0.25","0.38","0.16","1","1.00","14.00","2.40"
"296","James Proche","TEN","WR","2","2025","9","","","0.00","1","","","0.00","8","","","0.00","4","","","0.00","5","","","0.00"
"297","Chris Manhertz","NYG","TE","11","2025","9","0.11","0.78","0.19","3","","","0.00","6","0.17","1.17","0.28","4","","","0.00","5","0.20","1.40","0.34"
"298","David Martin-Robinson","TEN","TE","8","2025","9","0.11","0.11","0.79","1","","","0.00","7","","","0.00","3","","","0.00","6","0.17","0.17","1.18"
"299","Tim Jones","JAX, MIN","WR","4","2025","9","0.11","1.67","0.28","6","0.17","2.50","0.42","3","","","0.00","6","0.17","2.50","0.42","3","","","0.00"
"300","Alex Bachman","LV","WR","8","2025","9","0.22","1.00","0.21","3","0.67","3.00","0.63","6","","","0.00","5","0.40","1.80","0.38","4","","","0.00"
"301","Devin Culp","TB","TE","7","2025","8","","","0.00","1","","","0.00","7","","","0.00","2","","","0.00","6","","","0.00"
"302","Bryce Oliver","TEN","WR","2","2025","8","0.13","1.00","0.23","3","0.33","2.67","0.60","5","","","0.00","6","0.17","1.33","0.30","2","","","0.00"
"303","Connor Heyward","PIT","TE","10","2025","8","0.38","2.25","1.34","1","1.00","","0.00","4","0.25","1.50","0.40","1","","","0.00","7","0.43","2.57","1.40"
"304","Ross Dwelley","DET","TE","7","2025","7","0.14","","0.00","2","0.50","","0.00","5","","","0.00","4","0.25","","0.00","3","","","0.00"
"305","Michael Bandy","DEN","WR","2","2025","7","0.14","2.29","0.37","2","0.50","8.00","1.30","5","","","0.00","3","0.33","5.33","0.87","4","","","0.00"
"306","LaJohntay Wester","BLT","WR","9","2025","7","","","0.00","1","","","0.00","6","","","0.00","4","","","0.00","3","","","0.00"
"307","Efton Chism","NE","WR","5","2025","6","","","0.00","1","","","0.00","5","","","0.00","4","","","0.00","2","","","0.00"
"308","Tai Felton","MIN","WR","8","2025","6","0.17","1.50","0.32","2","0.50","4.50","0.95","4","","","0.00","3","0.33","3.00","0.63","3","","","0.00"
"309","Dalevon Campbell","CAR","WR","2","2025","5","","","0.00","1","","","0.00","4","","","0.00","2","","","0.00","3","","","0.00"
"310","Nikko Remigio","KC","WR","10","2025","5","0.20","4.20","0.84","3","","","0.00","2","0.50","10.50","1.55","4","0.25","5.25","0.78","1","","","0.00"
"311","Kevin Austin","NO","WR","1","2025","5","0.20","","0.00","1","1.00","","0.00","4","","","0.00","4","0.25","","0.00","1","","","0.00"
"312","Malik Turner","SF","WR","3","2025","5","","","0.00","3","","","0.00","2","","","0.00","3","","","0.00","2","","","0.00"
"313","Nick Vannett","MIN","TE","3","2025","5","","","0.00","1","","","0.00","2","","","0.00","4","","","0.00","1","","","0.00"
"314","Brayden Willis","SF","TE","5","2025","5","0.20","","0.00","1","","","0.00","3","0.33","","0.00","1","1.00","","0.00","4","","","0.00"
"315","Ke'Shawn Williams","PIT","WR","6","2025","4","","","0.00","1","","","0.00","3","","","0.00","2","","","0.00","2","","","0.00"
"316","Cam Grandy","CIN","TE","3","2025","4","0.25","1.50","0.40","1","","","0.00","2","0.50","3.00","0.80","0","","","0.00","4","0.25","1.50","0.40"
"317","Jalen Royals","KC","WR","4","2025","4","","","0.00","1","","","0.00","3","","","0.00","3","","","0.00","1","","","0.00"
"318","Will Mallory","IND","TE","1","2025","4","","","0.00","0","","","0.00","4","","","0.00","3","","","0.00","1","","","0.00"
"319","Travis Vokolek","ARZ","TE","3","2025","4","","","0.00","0","","","0.00","3","","","0.00","1","","","0.00","3","","","0.00"
"320","Brenden Bates","HST, CLV","TE","4","2025","4","0.50","5.75","1.08","0","","","0.00","4","0.50","5.75","1.08","3","0.67","7.67","1.43","1","","","0.00"
"321","Stephen Carlson","CHI","TE","2","2025","4","","","0.00","0","","","0.00","4","","","0.00","2","","","0.00","2","","","0.00"
"322","Keleki Latu","BUF","TE","1","2025","4","0.25","1.00","0.35","2","","","0.00","2","0.50","2.00","0.70","3","","","0.00","1","1.00","4.00","1.40"
"323","Dylan Drummond","ATL","WR","2","2025","4","","","0.00","2","","","0.00","2","","","0.00","2","","","0.00","2","","","0.00"
"324","Carter Runyon","LV","TE","4","2025","3","0.33","1.00","0.43","0","","","0.00","2","0.50","1.50","0.65","1","1.00","3.00","1.30","2","","","0.00"
"325","Jahdae Walker","CHI","WR","3","2025","3","","","0.00","2","","","0.00","1","","","0.00","3","","","0.00","0","","","0.00"
"326","Brandon Smith","NYJ","WR","1","2025","3","","","0.00","2","","","0.00","1","","","0.00","3","","","0.00","0","","","0.00"
"327","Cameron Latu","PHI","TE","9","2025","3","","","0.00","1","","","0.00","2","","","0.00","3","","","0.00","0","","","0.00"
"328","Nick Kallerup","SEA","TE","3","2025","3","0.33","","0.00","2","0.50","","0.00","1","","","0.00","2","0.50","","0.00","1","","","0.00"
"329","Treyton Welch","NO","TE","1","2025","3","","","0.00","2","","","0.00","1","","","0.00","2","","","0.00","1","","","0.00"
"330","Mecole Hardman","BUF","WR","1","2025","2","0.50","","0.00","0","","","0.00","2","0.50","","0.00","1","","","0.00","1","1.00","","0.00"
"331","Ja'Corey Brooks","WAS","WR","1","2025","2","","","0.00","1","","","0.00","1","","","0.00","2","","","0.00","0","","","0.00"
"332","Marcedes Lewis","DEN","TE","3","2025","2","","","0.00","0","","","0.00","2","","","0.00","1","","","0.00","1","","","0.00"
"333","Charlie Jones","CIN","WR","10","2025","2","","","0.00","0","","","0.00","2","","","0.00","0","","","0.00","2","","","0.00"
"334","Jacoby Jones","WAS","WR","1","2025","2","0.50","12.50","1.75","1","1.00","25.00","3.50","1","","","0.00","1","1.00","25.00","3.50","1","","","0.00"
"335","Xavier Gipson","PHI, NYJ","WR","5","2025","2","0.50","1.50","0.65","2","0.50","1.50","0.65","0","","","0.00","2","0.50","1.50","0.65","0","","","0.00"
"336","Hayden Rucci","MIA","TE","4","2025","2","","","0.00","0","","","0.00","2","","","0.00","0","","","0.00","2","","","0.00"
"337","Shedrick Jackson","LV","WR","1","2025","2","","","0.00","0","","","0.00","2","","","0.00","1","","","0.00","1","","","0.00"
"338","Pharaoh Brown","ARZ","TE","1","2025","2","","","0.00","0","","","0.00","2","","","0.00","1","","","0.00","1","","","0.00"
"339","Shane Zylstra","DET","TE","1","2025","1","","","0.00","0","","","0.00","1","","","0.00","1","","","0.00","0","","","0.00"
"340","Myles Price","MIN","WR","10","2025","1","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00"
"341","Jalen Cropper","DAL","WR","3","2025","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00"
"342","Ko Kieft","TB","TE","3","2025","1","","","0.00","0","","","0.00","1","","","0.00","0","","","0.00","1","","","0.00"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"RTE","Routes Run"
"TPRR","Targets per Route Run"
"YPRR","Yards per Route Run"
"FP/RR","Fantasy Points per Route Run"
"RTE","Routes Run"
"TPRR","Targets per Route Run"
"YPRR","Yards per Route Run"
"FP/RR","Fantasy Points per Route Run"
"RTE","Routes Run"
"TPRR","Targets per Route Run"
"YPRR","Yards per Route Run"
"FP/RR","Fantasy Points per Route Run"
"RTE","Routes Run"
"TPRR","Targets per Route Run"
"YPRR","Yards per Route Run"
"FP/RR","Fantasy Points per Route Run"
"RTE","Routes Run"
"TPRR","Targets per Route Run"
"YPRR","Yards per Route Run"
"FP/RR","Fantasy Points per Route Run"
