"Player Details","","","","","","","Matchup","","","","","Man","","","","Cover 2","","","","Cover 3","","","","Cover 4","","","","Cover 6","","",""
"Rank","Name","Team","POS","G","Season","OPP","DB","DB/G","FP/DB","EXP FP/DB","COV GRADE","DEF MAN %","DEF FP/DB","QB MAN %","QB FP/DB","DEF COVER 2 %","DEF FP/DB","QB COVER 2 %","QB FP/DB","DEF COVER 3 %","DEF FP/DB","QB Cover 3 %","QB FP/DB","DEF COVER 4 %","DEF FP/DB","QB Cover 4 %","QB FP/DB","DEF COVER 6 %","DEF FP/DB","QB COVER 6 %","QB FP/DB"
"29","Joe Flacco","CIN, CLV","QB","9","2025","NE","358","39.8","0.31","0.29","-7.5","28.5","0.79","32.1","0.37","21.0","0.25","19.8","0.32","28.2","0.34","24.3","0.19","19.5","0.36","11.2","0.28","2.8","0.12","12.6","0.45"
"30","Cam Ward","TEN","QB","10","2025","SEA","369","36.9","0.22","0.21","-4.2","16.4","0.46","20.3","0.24","13.4","0.28","19.8","0.26","32.6","0.30","32.2","0.23","17.7","0.45","16.3","0.15","19.9","0.33","11.4","0.16"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"OPP","Upcoming Opponent"
"DB","Dropbacks"
"DB/G","Dropbacks per Game"
"FP/DB","Fantasy Points per Dropback"
"EXP FP/DB","Matchup Expected Fantasy Points per Dropback"
"COV GRADE","Coverage Matchup Grade"
"DEF MAN %","Defense Man Coverage Rate"
"DEF FP/DB","Man Fantasy Points per Dropback"
"QB MAN %","Dropback Man Coverage Rate"
"QB FP/DB","Man Fantasy Points per Dropback"
"DEF COVER 2 %","Defense Cover 2 Rate"
"DEF FP/DB","Cover 2 Fantasy Points per Dropback"
"QB COVER 2 %","QB Cover 2 Rate"
"QB FP/DB","Cover 2 Fantasy Points per Dropback"
"DEF COVER 3 %","Defense Cover 3 Rate"
"DEF FP/DB","Cover 3 Fantasy Points per Dropback"
"QB Cover 3 %","Dropback Cover 3 Rate"
"QB FP/DB","Cover 3 Fantasy Points per Dropback"
"DEF COVER 4 %","Defense Cover 4 Rate"
"DEF FP/DB","Cover 4 Fantasy Points per Dropback"
"QB Cover 4 %","Dropback Cover 4 Rate"
"QB FP/DB","Cover 4 Fantasy Points per Dropback"
"DEF COVER 6 %","Defense Cover 6 Rate"
"DEF FP/DB","Cover 6 Fantasy Points per Dropback"
"QB COVER 6 %","Dropback Cover 6 Rate"
"QB FP/DB","Cover 6 Fantasy Points per Dropback"
