"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"52","Sterling Shepard","TB","WR","10","2025","260","0.088","1.32","0.17","14.2","11.5","2.3","0.4","8.5","45","34","349","1","389","8.3","127","0.008","1.12","0.18","11.0","133","0.165","1.52","0.16","17.3","","","","","0.0","","","","","0.0"
"53","Brandin Cooks","NO","WR","10","2025","259","0.012","0.63","0.09","5.0","3.9","1.2","0.0","5.0","25","19","165","0","225","8.0","148","-0.020","0.74","0.09","4.7","111","0.054","0.47","0.11","5.4","","","","","0.0","","","","","0.0"
"54","Romeo Doubs","GB","WR","10","2025","257","0.086","1.90","0.24","16.3","12.8","3.5","0.0","11.3","64","39","499","4","848","10.2","210","0.062","2.04","0.25","15.2","47","0.191","1.29","0.21","21.3","","","","","0.0","","","","","0.0"
"55","Jaxon Smith-Njigba","SEA","WR","10","2025","255","0.169","4.37","0.36","19.6","16.5","2.7","0.4","6.3","94","72","1146","5","1159","8.5","201","0.179","4.83","0.37","21.9","52","0.135","2.56","0.31","11.5","1","0.000","14.00","1.00","0.0","1","0.000","","","0.0"
"56","Mason Taylor","NYJ","TE","10","2025","253","-0.028","1.07","0.18","4.0","4.0","0.0","0.0","6.7","46","34","276","1","266","5.9","56","-0.089","0.57","0.16","7.1","78","0.013","0.52","0.15","5.1","117","-0.026","1.69","0.21","1.7","2","0.000","","","0.0"
"57","Bijan Robinson","ATL","RB","10","2025","249","0.020","1.98","0.22","3.2","3.2","0.0","0.0","0.8","57","47","506","2","78","-2.1","33","0.000","1.06","0.24","3.0","48","0.042","3.42","0.52","8.3","","","","","0.0","168","0.018","1.72","0.13","1.8"
"58","Jauan Jennings","SF","WR","9","2025","248","0.028","1.51","0.22","12.9","11.7","1.2","0.0","11.3","54","32","378","3","560","8.9","178","0.006","1.54","0.18","11.2","70","0.086","1.45","0.30","17.1","","","","","0.0","","","","","0.0"
"59","Kendrick Bourne","SF","WR","10","2025","248","0.028","1.91","0.17","10.1","8.9","1.2","0.0","8.5","42","31","482","0","433","7.4","188","0.005","1.92","0.14","9.0","60","0.100","1.90","0.25","13.3","","","","","0.0","","","","","0.0"
"60","Xavier Legette","CAR","WR","9","2025","248","-0.036","1.04","0.17","7.3","6.9","0.4","0.0","10.9","43","24","264","3","491","8.1","148","-0.061","1.34","0.20","9.5","100","0.000","0.60","0.12","4.0","","","","","0.0","","","","","0.0"
"61","Jalen Nailor","MIN","WR","10","2025","247","0.085","1.26","0.14","13.4","10.5","2.8","0.0","8.1","35","20","318","2","470","9.2","102","0.118","0.70","0.12","17.6","145","0.062","1.64","0.15","10.3","","","","","0.0","","","","","0.0"
"62","Alec Pierce","IND","WR","8","2025","246","0.081","2.37","0.21","16.3","13.8","2.0","0.4","11.0","51","28","585","1","1000","10.6","222","0.090","2.32","0.22","16.7","24","0.000","2.80","0.12","12.5","","","","","0.0","","","","","0.0"
"63","Harold Fannin","CLV","TE","10","2025","243","-0.016","1.68","0.25","5.8","4.9","0.8","0.0","8.2","62","44","422","2","372","5.7","37","-0.108","1.97","0.21","2.7","116","-0.017","1.46","0.24","7.8","87","0.023","1.72","0.28","4.6","3","0.000","4.50","0.25","0.0"
"64","Khalil Shakir","BUF","WR","10","2025","243","0.025","1.81","0.24","7.0","7.0","0.0","0.0","4.5","59","46","454","3","259","3.8","61","0.049","3.48","0.28","6.6","177","0.017","1.23","0.22","7.3","3","0.000","1.67","0.67","0.0","2","0.000","","","0.0"
"65","Jordan Addison","MIN","WR","7","2025","241","0.083","1.67","0.20","12.0","10.4","0.8","0.8","6.2","49","28","412","3","706","10.7","178","0.112","1.99","0.20","13.5","62","0.000","0.76","0.21","8.1","","","","","0.0","1","0.000","","","0.0"
"66","Puka Nacua","LA","WR","9","2025","235","0.136","3.59","0.36","16.6","14.9","1.7","0.0","4.3","86","73","850","4","758","7.8","140","0.164","3.35","0.38","18.6","90","0.078","3.52","0.33","12.2","3","0.333","11.00","0.67","33.3","2","0.500","12.00","0.50","50.0"
"67","De'Von Achane","MIA","RB","11","2025","234","0.009","1.55","0.30","2.6","2.1","0.4","0.0","2.1","71","54","370","4","16","-1.2","30","-0.100","0.13","0.13","3.3","55","0.018","2.10","0.34","3.6","2","0.000","3.50","0.50","0.0","147","0.027","1.59","0.31","2.0"
"68","Marquise Brown","KC","WR","10","2025","233","-0.026","1.76","0.23","7.3","5.2","1.7","0.4","12.0","55","38","429","4","559","7.6","144","0.007","1.51","0.21","8.3","88","-0.080","2.18","0.26","5.7","","","","","0.0","1","0.000","","","0.0"
"69","David Njoku","CLV","TE","9","2025","233","-0.017","1.21","0.18","4.7","4.3","0.4","0.0","6.9","42","30","288","3","228","3.4","33","-0.061","0.97","0.11","6.1","77","0.039","1.14","0.22","7.8","123","-0.041","1.32","0.17","2.4","","","","","0.0"
"70","Jonathan Taylor","IND","RB","10","2025","232","0.004","1.11","0.14","0.4","0.4","0.0","0.0","0.0","32","30","260","2","-38","-2.3","18","0.000","0.89","0.06","0.0","21","0.000","2.91","0.18","0.0","","","","","0.0","193","0.005","0.93","0.14","0.5"
"71","Dallas Goedert","PHI","TE","9","2025","231","0.004","1.50","0.21","6.1","5.2","0.4","0.4","6.9","49","36","356","7","395","6.9","41","-0.049","0.76","0.12","2.4","108","-0.019","1.10","0.14","5.6","81","0.062","2.35","0.33","8.6","1","0.000","5.00","1.00","0.0"
"72","Darius Slayton","NYG","WR","8","2025","230","0.022","1.46","0.14","5.2","3.9","1.3","0.0","4.3","33","23","343","0","457","6.7","183","0.016","1.59","0.16","6.0","47","0.043","0.98","0.08","2.1","","","","","0.0","","","","","0.0"
"73","Oronde Gadsden","LAC","TE","9","2025","229","0.052","2.13","0.20","9.6","9.6","0.0","0.0","4.8","48","37","507","2","417","5.7","38","0.000","2.70","0.23","10.5","102","0.078","1.41","0.16","11.8","87","0.034","2.78","0.24","5.7","2","0.500","","","50.0"
"74","Chig Okonkwo","TEN","TE","10","2025","229","0.022","1.47","0.18","4.4","3.9","0.4","0.0","2.6","41","32","337","0","224","3.8","31","-0.032","0.13","0.03","0.0","104","0.010","2.53","0.26","5.8","92","0.054","0.74","0.13","4.3","2","0.000","0.50","0.50","0.0"
