"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"201","Christian Watson","GB","WR","4","2025","103","0.010","2.23","0.16","9.7","7.8","1.9","0.0","10.7","17","12","234","2","396","10.0","73","-0.041","1.39","0.14","8.2","27","0.074","3.79","0.18","11.1","3","0.667","8.33","0.67","33.3","","","","","0.0"
"202","Terry McLaurin","WAS","WR","4","2025","103","-0.019","1.93","0.20","9.7","8.7","0.0","1.0","13.6","21","13","203","1","312","9.1","89","-0.011","2.21","0.19","10.1","14","-0.071","0.27","0.27","7.1","","","","","0.0","","","","","0.0"
"203","Kareem Hunt","KC","RB","10","2025","103","0.000","0.61","0.11","0.0","0.0","0.0","0.0","0.0","12","10","66","1","-10","-2.1","6","0.000","","","0.0","8","0.000","","","0.0","1","0.000","","","0.0","88","0.000","0.70","0.13","0.0"
"204","Kyle Monangai","CHI","RB","10","2025","102","0.020","0.92","0.12","2.0","2.0","0.0","0.0","0.0","13","10","97","0","5","-1.9","8","0.000","","","0.0","1","0.000","","","0.0","2","0.000","","","0.0","91","0.022","1.03","0.14","2.2"
"205","Darnell Washington","PIT","TE","10","2025","101","0.040","1.95","0.24","6.9","6.9","0.0","0.0","3.0","26","18","209","1","150","4.2","18","0.000","2.44","0.39","11.1","17","0.000","","0.06","0.0","66","0.061","2.29","0.25","7.6","","","","","0.0"
"206","Isaiah Davis","NYJ","RB","10","2025","101","0.010","1.16","0.20","1.0","1.0","0.0","0.0","0.0","20","15","118","0","40","-0.8","4","0.000","5.20","0.20","0.0","9","0.000","1.33","0.11","0.0","","","","","0.0","88","0.011","0.91","0.20","1.1"
"207","Rashee Rice","KC","WR","4","2025","100","0.020","2.36","0.33","11.0","11.0","0.0","0.0","9.0","35","26","253","3","204","4.9","55","0.036","2.26","0.28","12.7","41","0.000","2.27","0.38","9.8","","","","","0.0","4","0.000","5.00","0.50","0.0"
"208","Jeremy McNichols","WAS","RB","11","2025","100","0.000","1.43","0.19","0.0","0.0","0.0","0.0","0.0","20","15","149","0","-2","-1.7","2","0.000","","","0.0","35","0.000","1.14","0.14","0.0","","","","","0.0","63","0.000","1.63","0.22","0.0"
"209","Mike Evans","TB","WR","4","2025","99","0.242","1.39","0.31","29.3","26.3","3.0","0.0","8.1","31","14","140","1","428","8.2","70","0.271","1.54","0.36","32.9","29","0.172","1.00","0.17","20.7","","","","","0.0","","","","","0.0"
"210","Luther Burden","CHI","WR","9","2025","98","0.020","2.44","0.23","7.1","6.1","1.0","0.0","6.1","23","19","249","1","179","8.6","56","-0.018","2.47","0.22","5.4","41","0.073","2.45","0.24","9.8","","","","","0.0","1","0.000","","","0.0"
"211","Jaylen Warren","PIT","RB","9","2025","98","0.000","2.19","0.28","1.0","1.0","0.0","0.0","1.0","28","25","219","1","-54","-2.5","5","-0.200","1.40","0.20","0.0","3","0.000","1.67","0.33","0.0","2","0.000","","","0.0","88","0.011","2.35","0.30","1.1"
"212","Samaje Perine","CIN","RB","9","2025","96","0.000","0.31","0.09","0.0","0.0","0.0","0.0","0.0","9","7","30","0","-7","-3.3","3","0.000","","","0.0","3","0.000","","","0.0","3","0.000","1.25","0.25","0.0","87","0.000","0.29","0.09","0.0"
"213","Casey Washington","ATL","WR","7","2025","95","0.021","0.99","0.15","13.7","11.6","2.1","0.0","13.7","14","6","94","0","249","9.7","62","-0.032","0.39","0.15","14.5","33","0.121","2.12","0.15","12.1","","","","","0.0","","","","","0.0"
"214","Luke McCaffrey","WAS","WR","9","2025","94","0.011","2.11","0.16","10.6","7.4","3.2","0.0","12.8","15","11","203","3","231","9.9","57","0.070","2.55","0.16","14.0","37","-0.081","1.45","0.16","5.4","","","","","0.0","","","","","0.0"
"215","Luke Farrell","SF","TE","11","2025","94","-0.011","0.87","0.11","0.0","0.0","0.0","0.0","1.1","10","10","82","2","29","2.9","6","0.000","","","0.0","13","0.000","0.62","0.08","0.0","75","-0.013","0.99","0.12","0.0","","","","","0.0"
"216","Drew Sample","CIN","TE","10","2025","93","0.011","0.26","0.06","1.1","1.1","0.0","0.0","0.0","6","5","24","1","1","1.0","5","0.000","","","0.0","9","0.000","","","0.0","56","0.018","0.23","0.07","1.8","23","0.000","0.48","0.09","0.0"
"217","Isaac TeSlaa","DET","WR","10","2025","93","-0.043","0.70","0.09","8.6","8.6","0.0","0.0","12.9","8","4","65","2","135","8.9","71","-0.042","0.92","0.10","9.9","22","-0.045","","0.05","4.5","","","","","0.0","","","","","0.0"
"218","Tanner Conner","MIA","TE","9","2025","92","-0.011","0.95","0.16","3.3","3.3","0.0","0.0","4.3","15","9","91","0","121","6.0","12","0.000","","","8.3","38","-0.026","0.92","0.16","5.3","42","0.000","1.27","0.20","0.0","","","","","0.0"
"219","Zach Charbonnet","SEA","RB","9","2025","92","0.000","0.71","0.11","0.0","0.0","0.0","0.0","0.0","10","9","67","0","19","-0.8","3","0.000","","","0.0","6","0.000","1.50","0.17","0.0","4","0.000","2.50","0.50","0.0","79","0.000","0.60","0.09","0.0"
"220","Tyrell Shavers","BUF","WR","10","2025","92","-0.076","1.83","0.18","5.4","5.4","0.0","0.0","13.0","17","11","172","1","221","8.0","69","-0.072","1.30","0.19","7.2","19","-0.105","3.20","0.15","0.0","4","0.000","4.25","0.25","0.0","","","","","0.0"
"221","LeQuint Allen","JAX","RB","10","2025","92","0.000","0.45","0.09","0.0","0.0","0.0","0.0","0.0","8","7","41","0","-10","-2.6","4","0.000","","","0.0","11","0.000","1.55","0.27","0.0","","","","","0.0","77","0.000","0.31","0.06","0.0"
"222","Brycen Tremayne","CAR","WR","10","2025","91","0.110","1.45","0.15","13.2","11.0","2.2","0.0","4.4","14","12","133","0","116","7.4","57","0.105","1.59","0.14","14.0","33","0.091","1.24","0.18","9.1","","","","","0.0","1","1.000","","","100.0"
"223","Tyjae Spears","TEN","RB","6","2025","91","0.055","1.37","0.20","4.4","3.3","1.1","0.0","0.0","19","18","127","0","-24","-3.7","1","0.000","","","0.0","4","0.000","0.50","0.25","0.0","5","0.200","2.20","0.20","20.0","81","0.049","1.37","0.20","3.7"
"224","Tyreek Hill","MIA","WR","4","2025","90","0.189","2.82","0.31","16.7","12.2","4.4","0.0","2.2","29","21","265","1","374","9.2","54","0.241","4.02","0.31","22.2","35","0.114","0.97","0.29","8.6","","","","","0.0","1","0.000","7.00","1.00","0.0"
"225","Jalin Hyatt","NYG","WR","7","2025","89","-0.034","0.38","0.14","4.5","4.5","0.0","0.0","7.9","13","5","35","0","265","9.2","74","-0.054","0.40","0.16","2.7","15","0.067","0.25","0.06","13.3","","","","","0.0","","","","","0.0"
"226","Aaron Jones","MIN","RB","6","2025","89","0.000","1.20","0.23","2.2","1.1","1.1","0.0","3.4","21","13","112","1","24","-1.9","4","0.000","3.50","0.25","0.0","","","","1.00","0.0","2","0.000","","","0.0","83","0.000","1.14","0.22","2.4"
"227","Kenneth Walker","SEA","RB","10","2025","89","-0.011","1.40","0.16","0.0","0.0","0.0","0.0","1.1","15","14","127","0","-1","-1.7","7","-0.143","4.14","0.14","0.0","6","0.000","","0.14","0.0","3","0.000","6.00","0.67","0.0","73","0.000","1.08","0.15","0.0"
"228","Jacory Croskey-Merritt","WAS","RB","11","2025","86","0.000","0.76","0.13","0.0","0.0","0.0","0.0","0.0","12","9","68","0","-20","-0.8","2","0.000","","","0.0","8","0.000","0.67","0.11","0.0","","","","","0.0","76","0.000","0.79","0.14","0.0"
"229","Jeremy Ruckert","NYJ","TE","10","2025","86","0.000","1.35","0.18","4.7","4.7","0.0","0.0","4.7","16","14","119","1","63","4.2","14","0.000","1.14","0.14","7.1","10","0.000","2.60","0.40","0.0","61","0.000","1.05","0.16","4.9","1","0.000","","","0.0"
"230","David Montgomery","DET","RB","10","2025","84","-0.012","1.38","0.21","0.0","0.0","0.0","0.0","1.2","18","15","116","0","12","-2.3","2","0.000","","","0.0","","","","","0.0","","","","","0.0","82","-0.012","1.41","0.22","0.0"
"231","Luke Schoonmaker","DAL","TE","10","2025","84","-0.024","0.75","0.18","2.4","2.4","0.0","0.0","4.8","15","8","63","0","103","4.6","5","-0.200","","","0.0","18","0.000","1.06","0.22","0.0","61","-0.016","0.72","0.18","3.3","","","","","0.0"
"232","Mike Gesicki","CIN","TE","6","2025","84","-0.024","0.71","0.19","4.8","4.8","0.0","0.0","7.1","16","8","61","0","138","5.3","20","-0.100","0.81","0.19","0.0","63","0.000","0.69","0.19","6.3","1","0.000","","","0.0","","","","","0.0"
"233","Quinshon Judkins","CLV","RB","9","2025","83","0.000","0.82","0.21","0.0","0.0","0.0","0.0","1.2","18","14","70","0","2","-2.4","4","0.000","","","0.0","1","0.000","","","0.0","4","0.000","","","0.0","74","0.000","0.92","0.24","0.0"
"234","Derrick Henry","BLT","RB","10","2025","82","0.000","0.90","0.17","0.0","0.0","0.0","0.0","0.0","14","11","74","0","9","-1.0","1","0.000","","","0.0","1","0.000","","","0.0","","","","","0.0","80","0.000","0.93","0.18","0.0"
"235","Brock Wright","DET","TE","10","2025","82","-0.012","0.95","0.17","1.2","1.2","0.0","0.0","2.4","14","11","79","2","22","2.8","10","0.100","","","10.0","15","-0.067","1.73","0.27","0.0","55","-0.018","0.95","0.18","0.0","2","0.000","","","0.0"
"236","Dylan Sampson","CLV","RB","10","2025","82","0.000","1.64","0.29","1.2","1.2","0.0","0.0","1.2","24","21","136","1","-12","-1.6","12","-0.083","2.42","0.33","0.0","7","0.000","2.57","0.29","0.0","5","0.000","","","0.0","58","0.017","1.51","0.31","1.7"
"237","Emanuel Wilson","GB","RB","10","2025","81","-0.012","0.82","0.15","0.0","0.0","0.0","0.0","1.2","13","11","69","0","-32","-3.6","6","0.000","","","0.0","4","0.000","-0.50","0.25","0.0","2","0.000","","","0.0","69","-0.014","1.00","0.17","0.0"
"238","Marquez Valdes-Scantling","SF","WR","5","2025","81","-0.062","0.49","0.10","6.2","6.2","0.0","0.0","12.3","8","4","40","0","83","7.0","39","-0.026","0.72","0.10","10.3","42","-0.095","0.29","0.10","2.4","","","","","0.0","","","","","0.0"
"239","Adonai Mitchell","IND, NYJ","WR","9","2025","81","0.062","2.00","0.26","13.6","13.6","0.0","0.0","7.4","21","10","162","0","367","11.0","68","0.059","2.09","0.24","11.8","13","0.077","1.54","0.38","23.1","","","","","0.0","","","","","0.0"
"240","Adam Trautman","DEN","TE","11","2025","81","-0.049","1.12","0.14","1.2","1.2","0.0","0.0","6.2","12","11","93","1","51","4.0","8","0.125","0.22","0.11","12.5","16","0.000","1.88","0.19","0.0","56","-0.089","0.93","0.12","0.0","1","0.000","8.00","1.00","0.0"
"241","Johnny Mundt","JAX","TE","10","2025","80","-0.025","1.00","0.17","1.3","1.3","0.0","0.0","5.0","14","7","83","0","59","3.8","8","-0.125","0.90","0.20","0.0","11","0.000","","","0.0","61","-0.016","1.19","0.19","1.6","","","","","0.0"
"242","Michael Carter","ARZ","RB","6","2025","80","0.013","1.24","0.23","2.5","2.5","0.0","0.0","1.3","18","14","99","0","48","-1.4","5","0.000","","0.20","0.0","2","0.000","0.50","0.50","0.0","","","","","0.0","73","0.014","1.34","0.22","2.7"
"243","Bucky Irving","TB","RB","4","2025","80","0.013","2.38","0.23","1.3","1.3","0.0","0.0","0.0","19","19","193","2","-40","-3.5","12","0.000","","","0.0","5","0.000","0.20","0.20","0.0","","","","","0.0","63","0.016","3.00","0.28","1.6"
"244","Lil'Jordan Humphrey","NYG, DEN","WR","4","2025","79","-0.089","0.67","0.10","8.9","8.9","0.0","0.0","17.7","8","4","55","0","136","8.1","63","-0.111","0.85","0.12","7.9","16","0.000","","","12.5","","","","","0.0","","","","","0.0"
"245","Tyler Badie","DEN","RB","10","2025","79","0.000","1.06","0.23","0.0","0.0","0.0","0.0","0.0","19","11","87","0","-15","-1.7","1","0.000","","","0.0","1","0.000","","","0.0","4","0.000","","","0.0","73","0.000","1.14","0.25","0.0"
"246","Nick Chubb","HST","RB","10","2025","79","0.000","0.75","0.23","0.0","0.0","0.0","0.0","0.0","18","11","59","0","19","-1.7","4","0.000","1.75","0.25","0.0","","","","","0.0","","","","","0.0","75","0.000","0.69","0.23","0.0"
"247","Mitchell Evans","CAR","TE","11","2025","78","0.000","1.46","0.14","2.6","2.6","0.0","0.0","2.6","11","11","118","2","65","4.4","7","0.000","","","0.0","17","-0.059","0.53","0.06","0.0","54","0.019","1.91","0.18","3.7","","","","","0.0"
"248","Bam Knight","ARZ","RB","8","2025","77","0.013","1.12","0.22","1.3","1.3","0.0","0.0","0.0","17","12","86","0","14","-0.9","6","0.000","0.17","0.17","0.0","5","0.000","","","0.0","","","","","0.0","66","0.015","1.29","0.24","1.5"
"249","Mo Alie-Cox","IND","TE","10","2025","77","-0.013","0.65","0.10","0.0","0.0","0.0","0.0","1.3","8","4","50","0","46","4.3","","","","","0.0","10","0.000","","","0.0","67","-0.015","0.75","0.12","0.0","","","","","0.0"
"250","Davis Allen","LA","TE","10","2025","77","0.013","1.33","0.21","3.9","3.9","0.0","0.0","2.6","16","13","104","3","83","5.1","17","0.059","0.24","0.06","5.9","10","-0.100","","","0.0","49","0.020","2.04","0.31","4.1","1","0.000","","","0.0"
"251","Elijah Moore","BUF","WR","8","2025","76","-0.013","1.46","0.18","6.6","5.3","0.0","1.3","10.5","14","8","115","0","116","6.5","44","-0.091","0.91","0.20","6.8","31","0.097","2.28","0.16","6.5","","","","","0.0","1","0.000","","","0.0"
"252","Malik Heath","GB","WR","9","2025","75","0.067","1.12","0.08","9.3","6.7","2.7","0.0","5.3","6","6","86","0","57","9.3","44","0.045","1.55","0.09","9.1","28","0.071","0.60","0.07","7.1","3","0.333","","","33.3","","","","","0.0"
"253","Jack Bech","LV","WR","10","2025","74","-0.027","1.23","0.13","5.4","4.1","1.4","0.0","9.5","10","8","92","0","85","7.8","50","-0.060","0.92","0.12","6.0","24","0.042","1.84","0.16","4.2","","","","","0.0","","","","","0.0"
"254","Tylan Wallace","BLT","WR","10","2025","71","0.085","0.63","0.10","14.1","12.7","1.4","0.0","7.0","7","4","45","1","87","8.0","40","-0.025","0.88","0.15","10.0","31","0.226","0.32","0.03","19.4","","","","","0.0","","","","","0.0"
"255","Trey Benson","ARZ","RB","4","2025","71","0.000","0.90","0.18","0.0","0.0","0.0","0.0","0.0","13","13","64","0","-8","-2.1","7","0.000","","","0.0","4","0.000","1.50","0.25","0.0","","","","","0.0","60","0.000","0.97","0.20","0.0"
"256","Curtis Samuel","BUF","WR","6","2025","71","0.070","1.07","0.11","8.5","7.0","1.4","0.0","2.8","8","7","81","1","99","8.1","43","0.116","1.63","0.15","11.6","28","0.000","0.20","0.03","3.6","","","","","0.0","","","","","0.0"
"257","J.K. Dobbins","DEN","RB","10","2025","69","0.000","0.52","0.20","0.0","0.0","0.0","0.0","0.0","14","11","37","0","-36","-2.6","","","","","0.0","2","0.000","2.50","0.50","0.0","","","","","0.0","67","0.000","0.46","0.19","0.0"
"258","Devin Singletary","NYG","RB","11","2025","68","0.029","1.30","0.14","2.9","2.9","0.0","0.0","0.0","10","9","92","0","8","-0.7","11","0.000","","0.09","0.0","3","0.000","","","0.0","","","","","0.0","54","0.037","1.64","0.16","3.7"
"259","Tim Patrick","JAX","WR","9","2025","68","0.029","1.19","0.14","10.3","5.9","4.4","0.0","13.2","10","7","83","2","102","8.9","42","0.000","1.35","0.16","11.9","26","0.077","0.93","0.11","7.7","","","","","0.0","","","","","0.0"
"260","Darren Waller","MIA","TE","4","2025","67","0.090","1.70","0.17","10.4","9.0","1.5","0.0","3.0","12","10","117","4","141","6.6","26","0.077","1.77","0.19","11.5","26","0.038","1.21","0.07","3.8","15","0.200","2.47","0.33","20.0","","","","","0.0"
"261","John Bates","WAS","TE","9","2025","67","-0.030","0.90","0.13","0.0","0.0","0.0","0.0","3.0","9","6","62","0","32","2.4","3","0.000","","","0.0","10","0.000","","","0.0","54","-0.037","1.11","0.16","0.0","","","","","0.0"
"262","Colby Parkinson","LA","TE","8","2025","67","0.030","1.78","0.25","4.5","4.5","0.0","0.0","1.5","17","15","123","2","52","3.4","13","0.000","","","0.0","7","0.000","","","0.0","47","0.043","2.51","0.35","6.4","","","","","0.0"
"263","Julian Hill","MIA","TE","8","2025","66","-0.030","1.38","0.21","0.0","0.0","0.0","0.0","3.0","14","11","91","0","49","2.8","3","-0.333","","","0.0","13","-0.077","0.31","0.31","0.0","49","0.000","1.78","0.20","0.0","1","0.000","","","0.0"
"264","Charlie Kolar","BLT","TE","10","2025","66","0.015","1.28","0.13","4.5","4.5","0.0","0.0","3.0","9","7","88","2","75","3.7","3","0.000","","","0.0","6","-0.167","","","0.0","57","0.035","1.47","0.15","5.3","","","","","0.0"
"265","Alec Ingold","MIA","FB","11","2025","64","0.000","0.56","0.11","0.0","0.0","0.0","0.0","0.0","7","5","36","0","24","1.9","6","0.000","","0.17","0.0","17","0.000","","0.06","0.0","20","0.000","0.65","0.10","0.0","21","0.000","1.10","0.14","0.0"
"266","Emari Demercado","ARZ","RB","9","2025","64","0.000","0.98","0.17","0.0","0.0","0.0","0.0","0.0","11","8","64","1","21","-2.6","5","0.000","0.80","0.20","0.0","2","0.000","","","0.0","","","","","0.0","57","0.000","1.03","0.17","0.0"
"267","Chris Godwin","TB","WR","2","2025","63","0.095","0.81","0.20","15.9","15.9","0.0","0.0","6.3","13","6","52","0","150","8.8","37","0.027","0.05","0.11","10.8","26","0.192","1.85","0.33","23.1","","","","","0.0","","","","","0.0"
"268","Charlie Woerner","ATL","TE","10","2025","61","-0.016","0.14","0.03","0.0","0.0","0.0","0.0","1.6","2","2","9","0","-2","-0.1","2","0.000","","","0.0","6","0.000","","","0.0","23","-0.043","0.61","0.04","0.0","30","0.000","-0.16","0.03","0.0"
"269","Tyler Conklin","LAC","TE","8","2025","59","0.000","1.56","0.15","3.4","1.7","1.7","0.0","5.1","9","6","95","0","42","4.6","10","-0.100","","0.10","0.0","22","0.045","1.83","0.13","4.5","26","0.000","1.33","0.15","3.8","1","0.000","17.00","1.00","0.0"
"270","Grant Calcaterra","PHI","TE","8","2025","57","-0.035","0.68","0.12","1.8","1.8","0.0","0.0","5.3","7","4","40","0","41","7.0","6","0.000","2.67","0.17","0.0","31","-0.065","0.19","0.06","0.0","20","0.000","0.82","0.18","5.0","","","","","0.0"
"271","Xavier Weaver","ARZ","WR","4","2025","57","0.018","0.26","0.07","3.5","1.8","1.8","0.0","3.5","4","2","15","0","62","8.1","49","0.020","0.31","0.06","2.0","8","0.000","","0.13","12.5","","","","","0.0","","","","","0.0"
"272","Bhayshul Tuten","JAX","RB","10","2025","56","0.000","1.09","0.20","0.0","0.0","0.0","0.0","0.0","11","8","61","1","-13","-1.2","6","0.000","","","0.0","5","0.000","0.40","0.40","0.0","","","","","0.0","45","0.000","1.31","0.20","0.0"
"273","John FitzPatrick","GB","TE","10","2025","54","-0.037","0.54","0.11","0.0","0.0","0.0","0.0","3.7","6","6","29","1","17","1.8","4","0.000","1.50","0.25","0.0","6","0.000","","","0.0","40","-0.050","0.35","0.10","0.0","4","0.000","2.25","0.25","0.0"
"274","Terrance Ferguson","LA","TE","7","2025","53","0.094","2.60","0.21","11.3","7.5","3.8","0.0","5.7","11","5","138","1","245","9.6","14","-0.071","2.57","0.14","0.0","25","0.080","1.56","0.20","16.0","14","0.286","4.50","0.29","14.3","","","","","0.0"
"275","Greg Dulcich","MIA","TE","4","2025","53","-0.019","1.59","0.21","1.9","1.9","0.0","0.0","3.8","12","8","89","0","57","5.6","11","-0.182","","0.08","0.0","17","0.059","2.50","0.28","5.9","25","0.000","1.69","0.23","0.0","","","","","0.0"
"276","Tanner Hudson","CIN","TE","6","2025","51","0.039","1.60","0.23","5.9","3.9","2.0","0.0","3.9","12","10","83","1","59","3.6","11","0.000","-0.27","0.09","0.0","28","0.071","2.64","0.29","10.7","12","0.000","0.92","0.23","0.0","","","","","0.0"
"277","Ashton Dulin","IND","WR","9","2025","51","0.078","1.14","0.14","9.8","9.8","0.0","0.0","2.0","7","4","58","0","97","5.7","39","0.077","1.49","0.18","10.3","12","0.083","","","8.3","","","","","0.0","","","","","0.0"
"278","Brashard Smith","KC","RB","10","2025","51","0.000","2.50","0.42","0.0","0.0","0.0","0.0","0.0","22","16","130","0","-29","-2.5","11","0.000","4.64","0.64","0.0","20","0.000","2.15","0.40","0.0","","","","","0.0","20","0.000","1.71","0.33","0.0"
"279","Skyy Moore","SF","WR","11","2025","51","0.118","1.23","0.12","19.6","19.6","0.0","0.0","7.8","6","4","64","0","89","7.4","34","0.206","1.11","0.11","26.5","17","-0.059","1.47","0.12","5.9","","","","","0.0","","","","","0.0"
"280","Blake Corum","LA","RB","10","2025","51","0.000","0.20","0.20","0.0","0.0","0.0","0.0","0.0","10","5","10","0","8","-1.4","2","0.000","","","0.0","8","0.000","","0.13","0.0","","","","","0.0","41","0.000","0.24","0.22","0.0"
"281","Tyler Allgeier","ATL","RB","10","2025","51","0.000","0.51","0.16","0.0","0.0","0.0","0.0","0.0","8","7","26","0","-11","-2.8","5","0.000","0.80","0.20","0.0","1","0.000","","","0.0","","","","","0.0","45","0.000","0.49","0.16","0.0"
"282","Gage Larvadain","CLV","WR","6","2025","50","-0.020","0.43","0.10","6.0","4.0","2.0","0.0","10.0","5","2","22","0","52","10.3","35","-0.057","0.22","0.11","5.7","15","0.067","0.93","0.07","6.7","","","","","0.0","","","","","0.0"
"283","Xavier Smith","LA","WR","10","2025","50","0.060","1.70","0.18","10.0","10.0","0.0","0.0","4.0","9","7","85","0","136","8.2","9","-0.111","1.44","0.22","0.0","41","0.098","1.76","0.17","12.2","","","","","0.0","","","","","0.0"
"284","Jackson Hawes","BUF","TE","10","2025","48","-0.021","2.26","0.22","2.1","2.1","0.0","0.0","4.2","11","8","113","2","113","4.2","5","0.000","","0.20","0.0","12","0.000","3.00","0.25","0.0","31","-0.032","2.33","0.21","3.2","","","","","0.0"
"285","Isaiah Williams","NYJ","WR","8","2025","48","0.000","0.77","0.15","6.3","6.3","0.0","0.0","6.3","7","5","37","0","16","4.6","17","-0.118","0.29","0.06","0.0","30","0.067","1.00","0.17","10.0","","","","","0.0","1","0.000","2.00","1.00","0.0"
"286","Trent Sherfield","DEN","WR","10","2025","47","0.064","0.45","0.09","10.6","10.6","0.0","0.0","4.3","4","3","21","0","35","9.5","22","0.136","0.68","0.05","13.6","24","0.000","0.25","0.13","8.3","1","0.000","","","0.0","","","","","0.0"
"287","Konata Mumpfield","LA","WR","10","2025","45","0.089","0.27","0.09","15.6","11.1","4.4","0.0","11.1","4","2","12","1","40","10.0","34","0.029","0.35","0.09","11.8","11","0.273","","0.09","27.3","","","","","0.0","","","","","0.0"
"288","Devin Neal","NO","RB","5","2025","45","0.000","0.47","0.16","0.0","0.0","0.0","0.0","0.0","7","7","21","0","-8","-2.4","6","0.000","","","0.0","1","0.000","","","0.0","","","","","0.0","38","0.000","0.55","0.18","0.0"
"289","Chris Rodriguez","WAS","RB","9","2025","43","0.000","0.14","0.02","0.0","0.0","0.0","0.0","0.0","1","1","6","0","2","-1.8","3","0.000","","","0.0","5","0.000","","","0.0","","","","","0.0","35","0.000","0.17","0.03","0.0"
"290","Raheem Mostert","LV","RB","7","2025","42","0.000","1.07","0.14","0.0","0.0","0.0","0.0","0.0","6","6","45","0","-14","-4.5","","","","","0.0","1","0.000","","","0.0","","","","","0.0","41","0.000","1.10","0.15","0.0"
"291","Ollie Gordon","MIA","RB","11","2025","41","0.000","0.73","0.20","0.0","0.0","0.0","0.0","0.0","8","6","30","1","-14","-2.8","2","0.000","","","0.0","3","0.000","1.00","0.67","0.0","","","","","0.0","36","0.000","0.75","0.17","0.0"
"292","Ben Sinnott","WAS","TE","10","2025","41","-0.073","0.79","0.07","2.4","2.4","0.0","0.0","9.8","3","3","33","1","20","4.4","5","0.000","","","20.0","10","-0.100","","","0.0","25","-0.080","1.16","0.08","0.0","1","0.000","2.00","0.50","0.0"
"293","Beaux Collins","NYG","WR","9","2025","41","-0.049","0.60","0.14","4.9","4.9","0.0","0.0","9.8","6","2","25","0","76","9.2","28","-0.036","0.24","0.14","7.1","13","-0.077","1.38","0.15","0.0","","","","","0.0","","","","","0.0"
"294","Jimmy Horn","CAR","WR","7","2025","40","0.150","1.57","0.21","15.0","15.0","0.0","0.0","0.0","9","6","66","0","93","5.3","10","0.000","1.20","0.30","0.0","28","0.179","1.80","0.20","17.9","","","","","0.0","2","0.500","","","50.0"
"295","Braxton Berrios","HST","WR","4","2025","39","-0.026","0.93","0.20","2.6","2.6","0.0","0.0","5.1","8","6","37","0","25","5.1","14","0.071","0.86","0.21","7.1","24","-0.083","1.04","0.16","0.0","","","","","0.0","1","0.000","-1.00","1.00","0.0"
"296","Hassan Haskins","LAC","RB","7","2025","39","0.000","0.33","0.10","0.0","0.0","0.0","0.0","0.0","4","4","13","0","-4","-2.6","2","0.000","","","0.0","2","0.000","","","0.0","","","","","0.0","35","0.000","0.36","0.11","0.0"
"297","Dee Eskridge","MIA","WR","9","2025","39","0.051","1.51","0.15","7.7","5.1","2.6","0.0","5.1","6","4","62","0","75","7.7","29","0.103","1.45","0.10","10.3","10","-0.100","1.70","0.30","0.0","","","","","0.0","","","","","0.0"
"298","Tucker Fisk","LAC","TE","9","2025","39","0.026","0.49","0.08","2.6","2.6","0.0","0.0","0.0","3","2","19","0","2","3.2","3","0.000","","","0.0","4","0.000","","0.25","0.0","32","0.031","0.59","0.06","3.1","","","","","0.0"
"299","Will Dissly","LAC","TE","4","2025","39","0.026","1.10","0.13","7.7","5.1","2.6","0.0","7.7","5","4","43","0","17","4.3","8","0.375","","0.13","25.0","4","-0.500","","","0.0","27","0.000","1.59","0.15","3.7","","","","","0.0"
"300","Robbie Chosen","WAS","WR","3","2025","39","-0.154","1.36","0.23","12.8","10.3","2.6","0.0","30.8","9","5","53","0","127","9.3","35","-0.114","1.37","0.23","14.3","4","-0.500","1.25","0.25","0.0","","","","","0.0","","","","","0.0"
"301","Brian Robinson","SF","RB","11","2025","38","0.053","0.39","0.21","2.6","0.0","2.6","0.0","0.0","8","6","15","0","1","-1.1","1","0.000","","","0.0","2","0.000","","","0.0","","","","","0.0","35","0.057","0.43","0.23","2.9"
"302","Zavier Scott","MIN","RB","6","2025","38","0.026","1.83","0.28","2.6","2.6","0.0","0.0","0.0","11","10","73","1","40","-0.5","7","0.000","0.43","0.14","0.0","6","0.167","3.57","0.43","16.7","2","0.000","","","0.0","23","0.000","1.88","0.29","0.0"
"303","Savion Williams","GB","WR","10","2025","38","0.026","2.05","0.26","5.3","5.3","0.0","0.0","2.6","10","10","78","1","14","2.9","12","0.000","1.33","0.08","8.3","21","0.048","2.86","0.38","4.8","","","","","0.0","5","0.000","0.40","0.20","0.0"
"304","Durham Smythe","CHI","TE","10","2025","38","-0.026","0.21","0.08","0.0","0.0","0.0","0.0","2.6","3","1","8","0","14","3.2","4","0.000","","0.50","0.0","8","0.000","","","0.0","24","-0.042","0.32","0.04","0.0","2","0.000","","","0.0"
"305","Andrew Ogletree","IND","TE","10","2025","37","-0.054","","0.03","0.0","0.0","0.0","0.0","5.4","1","0","0","0","5","4.2","8","-0.125","","","0.0","8","0.000","","0.13","0.0","21","-0.048","","","0.0","","","","","0.0"
