"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"65","Tyquan Thornton","KC","WR","10","2025","29","8.0","15","372","14.2","24.80","12.83","37.2","51.7","3","16.7","1","3","0","7.0","70.2","70.2","55.2"
"66","Dallas Goedert","PHI","TE","9","2025","49","19.8","36","356","18.8","9.89","7.27","39.6","73.5","7","43.8","5","7","0","12.6","113.6","113.6","77.6"
"67","Jerry Jeudy","CLV","WR","10","2025","71","19.7","31","356","19.8","11.48","5.01","35.6","43.7","1","11.1","2","8","0","7.3","72.6","72.6","41.6"
"68","Theo Johnson","NYG","TE","11","2025","54","15.3","36","350","14.3","9.72","6.48","31.8","66.7","5","38.5","3","10","0","9.2","101.0","101.0","65.0"
"69","Parker Washington","JAX","WR","10","2025","49","14.5","30","350","16.3","11.67","7.14","35.0","61.2","2","18.2","2","6","0","7.8","77.5","77.5","47.5"
"70","Sterling Shepard","TB","WR","10","2025","45","13.2","34","349","14.8","10.26","7.76","34.9","75.6","1","5.9","2","5","1","7.6","75.8","75.8","41.8"
"71","Darius Slayton","NYG","WR","8","2025","33","12.5","23","343","19.4","14.91","10.39","42.9","69.7","0","0.0","2","2","1","7.0","56.3","56.3","33.3"
"72","Chig Okonkwo","TEN","TE","10","2025","41","12.3","32","337","17.2","10.53","8.22","33.7","78.0","0","0.0","1","1","0","6.6","65.7","65.7","33.7"
"73","Elic Ayomanor","TEN","WR","10","2025","56","16.9","28","334","17.1","11.93","5.96","33.4","50.0","2","33.3","4","5","0","7.3","73.4","73.4","45.4"
"74","DeMario Douglas","NE","WR","11","2025","33","10.2","23","332","11.7","14.43","10.06","30.2","69.7","3","15.0","4","5","0","6.8","74.4","74.4","51.4"
"75","Keon Coleman","BUF","WR","9","2025","48","17.8","32","330","15.0","10.31","6.88","36.7","66.7","3","20.0","3","4","1","9.1","82.0","82.0","50.0"
"76","Colston Loveland","CHI","TE","9","2025","33","11.2","24","329","15.2","13.71","9.97","36.6","72.7","2","15.4","2","5","0","7.7","68.9","68.9","44.9"
"77","Ricky Pearsall","SF","WR","5","2025","31","17.3","21","327","24.2","15.57","10.55","65.4","67.7","0","0.0","2","3","0","10.7","53.3","53.3","32.3"
"78","Jalen Nailor","MIN","WR","10","2025","35","11.0","20","318","14.9","15.90","9.09","31.8","57.1","2","15.4","5","9","0","6.7","67.3","67.3","47.3"
"79","Josh Downs","IND","WR","9","2025","47","16.2","36","316","13.3","8.78","6.72","35.1","76.6","3","23.1","3","9","0","9.5","85.6","85.6","49.6"
"80","AJ Barner","SEA","TE","10","2025","34","12.3","31","306","12.0","9.87","9.00","30.6","91.2","4","23.5","4","7","2","9.3","92.7","92.7","61.7"
"81","Calvin Ridley","TEN","WR","7","2025","34","14.2","17","303","23.4","17.82","8.91","43.3","50.0","0","0.0","1","1","0","6.8","47.3","47.3","30.3"
"82","Travis Hunter","JAX","WR","7","2025","44","17.0","28","298","18.4","10.64","6.77","42.6","63.6","1","11.1","2","5","1","9.1","63.8","63.8","35.8"
"83","JuJu Smith-Schuster","KC","WR","10","2025","28","7.8","25","291","11.1","11.64","10.39","29.1","89.3","1","5.6","3","6","0","6.0","60.1","60.1","35.1"
"84","David Njoku","CLV","TE","9","2025","42","12.3","30","288","17.1","9.60","6.86","32.0","71.4","3","33.3","2","6","0","8.5","76.8","76.8","46.8"
"85","Matthew Golden","GB","WR","9","2025","31","11.2","24","286","12.7","11.92","9.23","31.8","77.4","0","0.0","0","2","0","6.3","57.1","57.1","33.1"
"86","Xavier Worthy","KC","WR","8","2025","45","15.3","27","281","12.7","10.41","6.24","35.1","60.0","1","6.3","2","5","0","8.6","68.4","68.4","41.4"
"87","T.J. Hockenson","MIN","TE","10","2025","47","14.8","34","280","13.1","8.24","5.96","28.0","72.3","2","15.4","2","8","0","7.4","74.0","74.0","40.0"
"88","Pat Freiermuth","PIT","TE","10","2025","28","9.1","23","279","13.2","12.13","9.96","27.9","82.1","3","15.0","1","4","0","6.9","68.9","68.9","45.9"
"89","Mason Taylor","NYJ","TE","10","2025","46","16.7","34","276","16.8","8.12","6.00","27.6","73.9","1","9.1","3","8","0","7.0","69.6","69.6","35.6"
"90","Mark Andrews","BLT","TE","10","2025","43","16.4","32","276","13.8","8.63","6.42","27.6","74.4","5","31.3","6","9","1","10.0","99.9","99.9","67.9"
"91","Malik Nabers","NYG","WR","4","2025","32","24.4","18","271","30.2","15.06","8.47","67.8","56.3","2","50.0","2","3","0","14.3","57.1","57.1","39.1"
"92","Tyreek Hill","MIA","WR","4","2025","29","23.8","21","265","33.8","12.62","9.14","66.3","72.4","1","14.3","2","2","0","13.4","53.5","53.5","32.5"
"93","Xavier Legette","CAR","WR","9","2025","43","14.8","24","264","13.7","11.00","6.14","29.3","55.8","3","23.1","2","10","1","7.6","68.4","68.4","44.4"
"94","Xavier Hutchinson","HST","WR","10","2025","34","9.4","24","264","10.9","11.00","7.76","26.4","70.6","3","21.4","3","5","0","6.9","68.9","68.9","44.9"
"95","Tez Johnson","TB","WR","9","2025","31","10.3","20","261","12.1","13.05","8.42","29.0","64.5","4","26.7","1","5","0","7.8","70.6","70.6","50.6"
"96","Evan Engram","DEN","TE","10","2025","48","13.2","32","260","11.5","8.13","5.42","26.0","66.7","1","5.9","0","6","0","6.5","64.7","64.7","32.7"
"97","Noah Fant","CIN","TE","9","2025","33","9.5","30","256","11.3","8.53","7.76","28.4","90.9","3","15.0","2","2","2","8.0","71.6","71.6","41.6"
"98","Andrei Iosivas","CIN","WR","10","2025","35","9.4","19","256","10.7","13.47","7.31","25.6","54.3","1","5.0","3","5","0","5.2","51.5","51.5","32.5"
"99","Jayden Higgins","HST","WR","10","2025","36","9.9","23","256","10.5","11.13","7.11","25.6","63.9","3","21.4","1","5","0","6.7","66.6","66.6","43.6"
"100","Rashee Rice","KC","WR","4","2025","35","23.6","26","253","22.8","9.73","7.23","63.3","74.3","3","42.9","5","8","1","19.3","77.1","77.1","51.1"
"101","Josh Palmer","BUF","WR","7","2025","25","11.9","16","251","14.4","15.69","10.04","35.9","64.0","0","0.0","0","4","0","5.9","41.1","41.1","25.1"
"102","George Kittle","SF","TE","6","2025","30","16.5","27","251","18.2","9.30","8.37","41.8","90.0","5","41.7","3","9","0","13.6","81.8","81.8","54.8"
"103","Luther Burden","CHI","WR","9","2025","23","7.8","19","249","12.0","13.11","10.83","27.7","82.6","1","10.0","0","3","0","5.6","50.5","50.5","31.5"
"104","Olamide Zaccheaus","CHI","WR","10","2025","48","14.5","32","248","10.4","7.75","5.17","24.8","66.7","1","7.1","1","8","0","6.5","65.3","65.3","33.3"
