"Player Details","","","","","","Total","","","Rushing","","","Passing","","","Inside 5","","","Inside 10","","","Inside 20","","","FPTS",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"500","Trey Sermon","PIT","RB","3","2025","1","164","0.6","1","66","1.5","0","98","0.0","0","11","0.0","0","17","0.0","0","38","0.0","","0.0"
"501","Sione Vaki","DET","RB","3","2025","1","196","0.5","1","90","1.1","0","106","0.0","0","8","0.0","0","18","0.0","0","42","0.0","0.1","0.4"
"502","Kene Nwangwu","NYJ","RB","5","2025","1","282","0.4","0","135","0.0","1","147","0.7","0","5","0.0","0","10","0.0","0","26","0.0","","0.0"
"503","Jamal Agnew","ATL","WR","8","2025","1","482","0.2","1","196","0.5","0","286","0.0","0","17","0.0","0","36","0.0","1","64","1.6","","0.0"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"Snaps","Total Offensive Snaps"
"TM Snaps","Total Team Snaps"
"Snap %","Snap Percentage"
"Snaps","Total Rushing Snaps"
"TM Snaps","Total Team Rushing Snaps"
"Snap %","Rushing Snap Percentage"
"Snaps","Total Passing Snaps"
"TM Snaps","Total Team Passing Snaps"
"Snap %","Passing Snap Percentage"
"Snaps","Total Inside the 5 Snaps"
"TM Snaps","Total Team Inside the 5 Snaps"
"Snap %","Inside the 5 Snap Percentage"
"Snaps","Total Inside the 10 Snaps"
"TM Snaps","Total Team Inside the 10 Snaps"
"Snap %","Inside the 10 Snap Percentage"
"Snaps","Total offensive snaps (pass + rush)"
"TM Snaps","Total Team Red Zone Snaps"
"Snap %","Red Zone Snap Percentage"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
