"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"37","Chuba Hubbard","CAR","RB","9","2025","91","334","37.1","3.67","1","0","18","","0","","11.1","1.1","50.5","40.7","4","0.04","156","1.71","46.7","1.96","52","57.1","168","1","3.23","38.5","37","40.7","149","0","4.03","64.9","9.0","81.0","98.6","11.0"
"38","Isiah Pacheco","KC","RB","8","2025","78","329","41.1","4.22","1","0","21","1.3","16","4.9","0.0","1.3","59.0","37.2","9","0.12","181","2.32","55.0","1.90","56","71.8","229","1","4.09","60.7","21","26.9","90","0","4.29","52.4","7.5","60.2","66.4","8.3"
"39","Blake Corum","LA","RB","10","2025","75","317","31.7","4.23","1","0","19","5.3","66","20.8","30.0","1.3","52.0","45.3","9","0.12","142","1.89","44.8","2.33","41","54.7","208","0","5.07","51.2","34","45.3","109","1","3.21","52.9","4.4","43.7","69.1","6.9"
"40","Omarion Hampton","LAC","RB","5","2025","66","314","62.8","4.76","2","0","17","6.1","116","36.9","80.0","3.0","47.0","48.5","10","0.15","179","2.71","57.0","2.05","24","36.4","60","0","2.50","29.2","40","60.6","245","2","6.13","55.0","15.4","77.0","73.5","14.7"
"41","Tyler Allgeier","ATL","RB","10","2025","77","280","28.0","3.64","7","0","23","5.2","72","25.7","46.2","9.1","54.5","45.5","11","0.14","142","1.84","50.7","1.79","56","72.7","199","5","3.55","53.6","19","24.7","74","2","3.89","52.6","8.0","79.6","66.4","6.6"
"42","Chris Rodriguez","WAS","RB","9","2025","60","279","31.0","4.65","3","0","19","3.3","65","23.3","33.3","5.0","56.7","40.0","6","0.10","186","3.10","66.7","1.55","24","40.0","99","1","4.13","62.5","35","58.3","182","2","5.20","54.3","5.3","47.5","40.7","4.5"
"43","Rhamondre Stevenson","NE","RB","8","2025","83","279","34.9","3.36","3","2","13","3.6","59","21.1","63.6","3.6","42.2","56.6","17","0.20","179","2.16","64.2","1.20","33","39.8","115","1","3.48","42.4","47","56.6","153","1","3.26","40.4","9.7","77.8","82.7","10.3"
"44","Brian Robinson","SF","RB","11","2025","57","262","23.8","4.60","2","0","14","5.3","53","20.2","8.3","3.5","59.6","38.6","10","0.18","162","2.84","61.8","1.75","34","59.6","151","2","4.44","52.9","23","40.4","111","0","4.83","69.6","4.2","45.7","43.6","4.0"
"45","Aaron Jones","MIN","RB","6","2025","52","256","42.7","4.92","1","0","11","3.8","48","18.8","50.0","1.9","55.8","38.5","3","0.06","89","1.71","34.8","3.21","28","53.8","112","0","4.00","50.0","22","42.3","112","1","5.09","63.6","10.3","61.8","60.4","10.1"
"46","RJ Harvey","DEN","RB","11","2025","61","244","22.2","4.00","2","0","9","3.3","90","36.9","25.0","3.3","37.7","54.1","10","0.16","113","1.85","46.3","2.15","22","36.1","49","0","2.23","18.2","33","54.1","196","2","5.94","54.5","9.8","107.9","93.5","8.5"
"47","Kenneth Gainwell","PIT","RB","10","2025","61","244","24.4","4.00","3","1","20","3.3","30","12.3","35.7","4.9","55.7","44.3","9","0.15","126","2.07","51.6","1.93","38","62.3","141","2","3.71","57.9","22","36.1","104","1","4.73","54.5","11.0","109.8","109.7","11.0"
"48","Emari Demercado","ARZ","RB","9","2025","31","241","26.8","7.77","0","1","6","12.9","161","66.8","0.0","","41.9","48.4","5","0.16","61","1.97","25.3","5.81","6","19.4","64","0","10.67","33.3","25","80.6","177","0","7.08","44.0","4.8","43.5","37.0","4.1"
