"Player Details","","","","","","Overall","","","","","","Slant","","","","","","","Out","","","","","","","In/Dig","","","","","","","Hitch","","","","","","","Comeback","","","","","","","Corner","","","","","","","Post","","","","","","","Go","","","","","","Crossers","","","","","","","Screens","","","","","","","Flat","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","TGT","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","ADOR","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE"
"231","Luke Schoonmaker","DAL","TE","10","2025","84","-0.024","0.75","0.18","2.4","15","2","2.4","0.000","","","4.0","0.0","2","2.4","0.000","","","12.0","0.0","3","3.6","0.000","","","12.3","0.0","19","22.6","0.000","1.42","0.21","5.2","0.0","","0.0","","","","0.0","","13","15.5","-0.231","","0.08","7.9","0.0","4","4.8","0.000","","0.25","8.5","0.0","10","11.9","0.100","","0.10","10.0","13","15.5","0.000","1.08","0.23","6.2","7.7","","0.0","","","","","0.0","18","21.4","0.000","1.22","0.28","","0.0","","0.0","","","","","0.0"
"232","David Montgomery","DET","RB","10","2025","84","-0.012","1.38","0.21","0.0","18","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","6.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","82","97.6","-0.012","1.41","0.22","-2.5","0.0"
"233","Quinshon Judkins","CLV","RB","9","2025","83","0.000","0.82","0.21","0.0","18","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","5.0","0.0","1","1.2","0.000","","","6.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","0.0","1","1.2","0.000","","","-3.0","0.0","2","2.4","0.000","","","-4.5","0.0","4","4.8","0.000","","","","0.0","73","88.0","0.000","0.93","0.24","-2.7","0.0"
"234","Brock Wright","DET","TE","10","2025","82","-0.012","0.95","0.17","1.2","14","5","6.1","0.000","","","0.8","0.0","4","4.9","0.000","","","5.8","0.0","1","1.2","0.000","","","11.0","0.0","19","23.2","0.000","0.47","0.16","6.0","0.0","","0.0","","","","0.0","","3","3.7","0.000","","","17.0","0.0","","0.0","","","","","0.0","13","15.9","0.000","0.21","0.07","0.0","17","20.7","-0.059","1.29","0.18","2.0","5.9","","0.0","","","","","0.0","18","22.0","0.000","2.50","0.33","","0.0","2","2.4","0.000","","","-3.0","0.0"
"235","Dylan Sampson","CLV","RB","10","2025","82","0.000","1.64","0.29","1.2","24","1","1.2","0.000","4.00","1.00","","0.0","","0.0","","","","","0.0","2","2.4","0.000","7.00","0.50","3.5","0.0","7","8.5","-0.143","2.29","0.29","7.3","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","0.0","","0.0","","","","","0.0","7","8.5","0.000","1.29","0.14","-4.0","0.0","4","4.9","0.000","","","","0.0","60","73.2","0.017","1.52","0.31","-2.6","1.7"
"236","Derrick Henry","BLT","RB","10","2025","82","0.000","0.90","0.17","0.0","14","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","5.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","-13.0","0.0","","0.0","","","","","0.0","80","97.6","0.000","0.93","0.18","-0.9","0.0"
"237","Emanuel Wilson","GB","RB","10","2025","81","-0.012","0.82","0.15","0.0","13","","0.0","","","","","0.0","1","1.2","0.000","","","5.0","0.0","","0.0","","","","","0.0","1","1.2","0.000","","","4.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","6","7.4","-0.167","","","0.0","2","2.5","0.000","-2.00","0.50","-5.0","0.0","3","3.7","0.000","-0.67","0.33","-7.3","0.0","2","2.5","0.000","","","","0.0","66","81.5","0.000","1.10","0.16","-4.1","0.0"
"238","Marquez Valdes-Scantling","SF","WR","5","2025","81","-0.062","0.49","0.10","6.2","8","8","9.9","-0.250","","","3.4","0.0","7","8.6","-0.429","0.43","0.29","7.1","0.0","4","4.9","0.000","","0.25","13.3","0.0","9","11.1","0.222","1.00","0.22","12.7","33.3","","0.0","","","","0.0","","11","13.6","0.000","","","12.0","0.0","6","7.4","-0.167","","","12.5","0.0","21","25.9","-0.143","0.90","0.10","0.0","11","13.6","0.182","0.82","0.09","9.3","18.2","","0.0","","","","","0.0","4","4.9","0.000","","","","0.0","","0.0","","","","","0.0"
"239","Adonai Mitchell","NYJ, IND","WR","9","2025","81","0.062","2.00","0.26","13.6","21","6","7.4","-0.167","2.83","0.33","3.0","16.7","10","12.3","0.400","4.10","0.50","11.3","40.0","3","3.7","0.333","","","17.7","33.3","19","23.5","0.000","1.53","0.32","12.5","5.3","","0.0","","","","0.0","","6","7.4","0.000","","","14.0","0.0","10","12.3","0.100","","0.20","16.4","10.0","17","21.0","0.059","4.41","0.29","17.6","10","12.3","-0.100","","0.10","13.7","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"240","Adam Trautman","DEN","TE","11","2025","81","-0.049","1.12","0.14","1.2","12","4","4.9","0.000","","","3.0","0.0","4","4.9","0.000","","","8.3","0.0","8","9.9","-0.125","","","8.0","0.0","10","12.3","0.000","2.30","0.20","4.0","0.0","","0.0","","","","0.0","","7","8.6","-0.429","0.88","0.25","13.1","0.0","2","2.5","0.500","","","12.5","50.0","6","7.4","0.000","","","0.0","20","24.7","-0.050","1.85","0.15","2.3","0.0","","0.0","","","","","0.0","19","23.5","0.000","0.90","0.20","","0.0","1","1.2","0.000","8.00","1.00","","0.0"
"241","Michael Carter","ARZ","RB","6","2025","80","0.013","1.24","0.23","2.5","18","2","2.5","0.000","","","-0.5","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.3","0.000","","","4.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.3","0.000","","1.00","0.0","","0.0","","","","","0.0","3","3.8","0.000","0.33","0.33","-3.7","0.0","","0.0","","","","","0.0","73","91.3","0.014","1.34","0.22","-1.4","2.7"
"242","Johnny Mundt","JAX","TE","10","2025","80","-0.025","1.00","0.17","1.3","14","6","7.5","0.000","","","2.5","0.0","6","7.5","0.000","1.00","0.29","7.2","16.7","2","2.5","0.000","","","8.5","0.0","13","16.3","0.000","","0.08","5.8","0.0","","0.0","","","","0.0","","11","13.8","-0.091","","0.08","9.3","0.0","2","2.5","0.000","","","11.5","0.0","7","8.8","0.000","2.00","0.13","0.0","11","13.8","-0.091","1.64","0.36","1.9","0.0","2","2.5","0.000","","1.00","-3.0","0.0","20","25.0","0.000","2.10","0.15","","0.0","","0.0","","","","","0.0"
"243","Bucky Irving","TB","RB","4","2025","80","0.013","2.38","0.23","1.3","19","","0.0","","","","","0.0","2","2.5","0.000","","","3.0","0.0","2","2.5","0.000","","","2.0","0.0","2","2.5","0.000","","","4.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","7","8.8","0.000","","","0.0","1","1.3","0.000","","","-3.0","0.0","3","3.8","0.000","","","-4.7","0.0","1","1.3","0.000","1.00","1.00","","0.0","62","77.5","0.016","3.05","0.29","-4.6","1.6"
"244","Lil'Jordan Humphrey","DEN, NYG","WR","4","2025","79","-0.089","0.67","0.10","8.9","8","6","7.6","-0.333","1.00","0.17","3.2","0.0","4","5.1","0.000","","","9.5","0.0","13","16.5","-0.154","","","11.6","15.4","16","20.3","-0.063","0.94","0.13","9.2","6.3","","0.0","","","","0.0","","8","10.1","-0.125","","","11.9","0.0","7","8.9","-0.429","","","15.7","0.0","13","16.5","0.077","2.43","0.29","15.4","9","11.4","0.111","","0.11","5.8","22.2","2","2.5","0.000","","","-1.5","0.0","1","1.3","0.000","","","","0.0","","0.0","","","","","0.0"
"245","Nick Chubb","HST","RB","10","2025","79","0.000","0.75","0.23","0.0","18","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","2","2.5","0.000","3.50","0.50","6.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","2","2.5","0.000","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","75","94.9","0.000","0.69","0.23","-2.0","0.0"
"246","Tyler Badie","DEN","RB","10","2025","79","0.000","1.06","0.23","0.0","19","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.3","0.000","","","0.0","2","2.5","0.000","","","-2.0","0.0","","0.0","","","","","0.0","3","3.8","0.000","","","","0.0","73","92.4","0.000","1.14","0.25","-1.8","0.0"
"247","Mitchell Evans","CAR","TE","11","2025","78","0.000","1.46","0.14","2.6","11","2","2.6","0.500","5.50","0.50","1.5","50.0","7","9.0","0.000","","","7.9","0.0","10","12.8","-0.100","0.90","0.10","5.8","0.0","16","20.5","-0.063","1.00","0.06","5.9","0.0","","0.0","","","","0.0","","10","12.8","0.100","3.00","0.20","7.5","10.0","","0.0","","","","","0.0","6","7.7","0.000","3.38","0.25","0.0","13","16.7","0.000","0.64","0.14","3.1","0.0","2","2.6","0.000","","","-2.5","0.0","12","15.4","0.000","1.33","0.17","","0.0","","0.0","","","","","0.0"
"248","Davis Allen","LA","TE","10","2025","77","0.013","1.33","0.21","3.9","16","4","5.2","0.000","1.75","0.25","1.3","0.0","7","9.1","0.143","1.14","0.29","8.0","14.3","5","6.5","0.000","","","17.2","0.0","18","23.4","0.000","0.39","0.17","4.9","0.0","","0.0","","","","0.0","","14","18.2","0.000","1.86","0.29","8.8","0.0","1","1.3","0.000","","","10.0","0.0","8","10.4","0.250","2.22","0.22","25.0","7","9.1","-0.143","","","1.0","0.0","","0.0","","","","","0.0","12","15.6","-0.083","3.00","0.33","","0.0","1","1.3","0.000","","","7.0","0.0"
"249","Mo Alie-Cox","IND","TE","10","2025","77","-0.013","0.65","0.10","0.0","8","1","1.3","0.000","","","5.0","0.0","3","3.9","-0.333","","0.33","7.7","0.0","3","3.9","0.000","","","12.7","0.0","17","22.1","0.000","0.94","0.06","3.3","0.0","","0.0","","","","0.0","","13","16.9","0.000","","","7.7","0.0","3","3.9","0.000","","","13.0","0.0","4","5.2","0.000","","0.25","0.0","12","15.6","0.000","","0.08","5.8","0.0","","0.0","","","","","0.0","20","26.0","0.000","1.70","0.20","","0.0","1","1.3","0.000","","","","0.0"
"250","Bam Knight","ARZ","RB","8","2025","77","0.013","1.12","0.22","1.3","17","","0.0","","","","","0.0","","0.0","","","","","0.0","2","2.6","0.000","","","6.0","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","1","1.3","0.000","","","6.0","0.0","","0.0","","","","","0.0","2","2.6","0.000","","","0.0","","0.0","","","","","0.0","4","5.2","0.000","0.25","0.25","-3.3","0.0","2","2.6","0.000","","","","0.0","66","85.7","0.015","1.29","0.24","-1.1","1.5"
"251","Elijah Moore","BUF","WR","8","2025","76","-0.013","1.46","0.18","6.6","14","4","5.3","-0.500","","0.25","3.8","0.0","5","6.6","0.600","","0.20","12.2","60.0","7","9.2","-0.143","2.00","0.29","10.6","0.0","11","14.5","0.000","3.08","0.25","8.8","0.0","2","2.6","-0.500","","0.50","0.0","22.5","9","11.8","0.333","6.56","0.22","10.0","11.1","3","3.9","0.000","","","20.0","0.0","19","25.0","-0.211","","0.05","0.0","7","9.2","0.143","","0.14","7.1","14.3","7","9.2","0.000","0.71","0.29","-3.9","0.0","1","1.3","0.000","","","","0.0","1","1.3","0.000","","","-6.0","0.0"
"252","Malik Heath","GB","WR","9","2025","75","0.067","1.12","0.08","9.3","6","2","2.7","0.000","","","4.5","0.0","8","10.7","0.250","","","11.6","12.5","5","6.7","0.000","","","15.4","20.0","14","18.7","0.000","2.07","0.21","7.9","7.1","1","1.3","0.000","","","0.0","17.0","12","16.0","0.167","","","12.9","16.7","10","13.3","-0.100","","","13.9","0.0","11","14.7","0.182","2.85","0.08","18.2","8","10.7","0.000","","","12.8","0.0","2","2.7","0.000","6.50","0.50","-1.0","0.0","2","2.7","0.000","3.50","0.50","","0.0","","0.0","","","","","0.0"
"253","Jack Bech","LV","WR","10","2025","74","-0.027","1.23","0.13","5.4","10","3","4.1","-0.333","","0.33","3.3","0.0","8","10.8","0.125","2.88","0.38","11.6","12.5","10","13.5","-0.100","","","11.2","0.0","13","17.6","0.231","2.62","0.15","8.8","15.4","2","2.7","-0.500","","","0.0","18.0","5","6.8","-0.400","2.00","0.20","17.6","0.0","5","6.8","0.000","","","11.0","0.0","15","20.3","-0.067","","0.06","0.0","13","17.6","0.000","1.92","0.15","5.2","7.7","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"254","Curtis Samuel","BUF","WR","6","2025","71","0.070","1.07","0.11","8.5","8","4","5.6","0.250","","","3.8","25.0","8","11.3","0.125","1.00","0.11","7.8","12.5","6","8.5","0.000","","","10.8","0.0","7","9.9","0.000","4.38","0.25","15.4","14.3","","0.0","","","","0.0","","4","5.6","0.000","1.25","0.25","14.0","0.0","10","14.1","0.000","","","15.4","0.0","16","22.5","0.000","","","6.3","11","15.5","0.273","2.00","0.23","11.4","18.2","3","4.2","0.000","2.00","0.33","-3.7","0.0","2","2.8","0.000","","","","0.0","","0.0","","","","","0.0"
"255","Trey Benson","ARZ","RB","4","2025","71","0.000","0.90","0.18","0.0","13","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.4","0.000","","","4.0","0.0","1","1.4","0.000","","","5.0","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","3","4.2","0.000","","","0.0","","0.0","","","","","0.0","6","8.5","0.000","1.00","0.17","-5.0","0.0","1","1.4","0.000","","","","0.0","59","83.1","0.000","0.98","0.20","-2.1","0.0"
"256","Tylan Wallace","BLT","WR","10","2025","71","0.085","0.63","0.10","14.1","7","3","4.2","0.000","","","1.7","0.0","3","4.2","-0.333","","0.33","6.3","0.0","18","25.4","0.167","","0.06","13.5","22.2","15","21.1","-0.067","","","8.1","0.0","","0.0","","","","0.0","","2","2.8","1.000","7.50","0.50","14.5","100.0","1","1.4","0.000","","","12.0","0.0","10","14.1","-0.100","","0.10","0.0","17","23.9","0.235","1.41","0.12","8.4","23.5","1","1.4","0.000","6.00","1.00","-1.0","0.0","1","1.4","0.000","","","","0.0","","0.0","","","","","0.0"
"257","J.K. Dobbins","DEN","RB","10","2025","69","0.000","0.52","0.20","0.0","14","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","0.0","","0.0","","","","","0.0","2","2.9","0.000","2.50","0.50","-5.5","0.0","","0.0","","","","","0.0","67","97.1","0.000","0.46","0.19","-2.5","0.0"
"258","Tim Patrick","JAX","WR","9","2025","68","0.029","1.19","0.14","10.3","10","4","5.9","0.500","9.25","0.75","3.8","25.0","6","8.8","0.333","","0.17","13.2","33.3","13","19.1","-0.077","0.69","0.08","13.0","7.7","14","20.6","-0.071","","","10.0","7.1","1","1.5","0.000","","","0.0","16.0","10","14.7","-0.200","","0.10","13.6","0.0","1","1.5","1.000","","","3.0","100.0","9","13.2","0.111","","0.10","11.1","9","13.2","0.000","3.80","0.20","3.9","0.0","1","1.5","0.000","-1.00","1.00","-5.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"259","Devin Singletary","NYG","RB","11","2025","68","0.029","1.30","0.14","2.9","10","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.5","0.000","","","15.0","0.0","2","2.9","0.000","","","12.5","0.0","","0.0","","","","0.0","","1","1.5","0.000","","","8.0","0.0","1","1.5","0.000","","","10.0","0.0","2","2.9","0.000","","","0.0","","0.0","","","","","0.0","7","10.3","0.000","","0.13","-3.4","0.0","","0.0","","","","","0.0","54","79.4","0.037","1.64","0.16","-1.5","3.7"
"260","Darren Waller","MIA","TE","4","2025","67","0.090","1.70","0.17","10.4","12","6","9.0","0.333","4.50","0.33","3.0","33.3","4","6.0","-0.250","1.25","0.25","6.5","0.0","2","3.0","0.000","","","7.5","0.0","8","11.9","0.000","","","9.9","0.0","","0.0","","","","0.0","","2","3.0","0.000","","0.50","16.5","0.0","10","14.9","0.300","2.90","0.30","10.3","20.0","18","26.9","-0.056","1.79","0.05","0.0","15","22.4","0.133","1.07","0.20","10.1","13.3","1","1.5","0.000","","","-7.0","0.0","1","1.5","1.000","6.00","1.00","","100.0","","0.0","","","","","0.0"
"261","John Bates","WAS","TE","9","2025","67","-0.030","0.90","0.13","0.0","9","6","9.0","0.000","1.00","0.33","2.0","0.0","3","4.5","0.000","","","3.0","0.0","1","1.5","0.000","","","7.0","0.0","16","23.9","-0.063","","","4.9","0.0","","0.0","","","","0.0","","3","4.5","0.000","3.33","0.33","9.3","0.0","1","1.5","0.000","","","9.0","0.0","9","13.4","-0.111","","","0.0","9","13.4","0.000","2.45","0.18","2.3","0.0","2","3.0","0.000","","0.50","-1.5","0.0","15","22.4","0.000","1.27","0.20","","0.0","2","3.0","0.000","","","","0.0"
"262","Colby Parkinson","LA","TE","8","2025","67","0.030","1.78","0.25","4.5","17","6","9.0","0.000","","","1.3","0.0","7","10.4","0.143","0.86","0.29","7.0","28.6","4","6.0","0.000","","","10.3","0.0","11","16.4","0.000","2.45","0.45","2.5","0.0","","0.0","","","","0.0","","7","10.4","0.143","3.29","0.14","10.9","14.3","1","1.5","0.000","","","10.0","0.0","8","11.9","0.000","","","0.0","3","4.5","0.000","5.60","0.40","7.7","0.0","2","3.0","0.000","12.00","1.00","-3.5","0.0","18","26.9","0.000","0.83","0.28","","0.0","","0.0","","","","","0.0"
"263","Julian Hill","MIA","TE","8","2025","66","-0.030","1.38","0.21","0.0","14","4","6.1","0.000","","0.25","1.0","0.0","5","7.6","0.000","","","7.6","0.0","1","1.5","0.000","","","10.0","0.0","9","13.6","0.000","1.44","0.22","5.2","0.0","","0.0","","","","0.0","","5","7.6","-0.200","","","8.8","0.0","1","1.5","0.000","","","16.0","0.0","5","7.6","0.000","","0.20","0.0","16","24.2","-0.063","3.06","0.38","1.9","0.0","2","3.0","0.000","10.50","1.00","-0.5","0.0","17","25.8","0.000","0.47","0.12","","0.0","1","1.5","0.000","","","-2.0","0.0"
"264","Charlie Kolar","BLT","TE","10","2025","66","0.015","1.28","0.13","4.5","9","1","1.5","0.000","","","1.0","0.0","7","10.6","0.000","1.43","0.14","9.3","0.0","4","6.1","0.000","","","8.0","25.0","20","30.3","0.000","1.10","0.10","3.9","0.0","","0.0","","","","0.0","","5","7.6","0.000","","","6.6","20.0","2","3.0","0.000","10.00","0.50","7.0","0.0","8","12.1","0.000","","0.13","0.0","7","10.6","0.143","1.44","0.22","3.3","14.3","","0.0","","","","","0.0","12","18.2","0.000","1.77","0.15","","0.0","","0.0","","","","","0.0"
"265","Emari Demercado","ARZ","RB","9","2025","64","0.000","0.98","0.17","0.0","11","1","1.6","0.000","","","1.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","2","3.1","0.000","","","3.5","0.0","","0.0","","","","0.0","","","0.0","","","","","0.0","","0.0","","","","","0.0","2","3.1","0.000","","","0.0","","0.0","","","","","0.0","2","3.1","0.000","2.00","0.50","-4.0","0.0","","0.0","","","","","0.0","57","89.1","0.000","1.03","0.17","-2.9","0.0"
"266","Alec Ingold","MIA","FB","11","2025","64","0.000","0.56","0.11","0.0","7","1","1.6","0.000","","","3.0","0.0","4","6.3","0.000","1.00","0.25","8.0","0.0","3","4.7","0.000","","0.33","10.7","0.0","7","10.9","0.000","1.29","0.14","6.1","0.0","","0.0","","","","0.0","","3","4.7","0.000","","","6.0","0.0","","0.0","","","","","0.0","5","7.8","0.000","","0.20","0.0","8","12.5","0.000","","","-0.4","0.0","3","4.7","0.000","","","-5.0","0.0","7","10.9","0.000","","","","0.0","23","35.9","0.000","1.00","0.13","0.2","0.0"
"267","Chris Godwin","TB","WR","2","2025","63","0.095","0.81","0.20","15.9","13","2","3.2","0.000","","","5.0","0.0","6","9.5","0.333","1.14","0.29","11.0","33.3","16","25.4","0.063","","","11.9","12.5","8","12.7","0.000","3.00","0.25","7.1","0.0","","0.0","","","","0.0","","5","7.9","0.200","","0.20","10.4","20.0","7","11.1","0.286","1.57","0.29","10.0","42.9","6","9.5","-0.167","","0.17","0.0","10","15.9","0.100","","0.20","11.1","20.0","1","1.6","0.000","2.00","1.00","-3.0","0.0","2","3.2","0.000","3.50","1.00","","0.0","","0.0","","","","","0.0"
"268","Charlie Woerner","ATL","TE","10","2025","61","-0.016","0.14","0.03","0.0","2","1","1.6","0.000","","","-1.0","0.0","1","1.6","-1.000","","","8.0","0.0","3","4.9","0.000","","","8.0","0.0","3","4.9","0.000","4.67","0.33","6.3","0.0","","0.0","","","","0.0","","7","11.5","0.000","","","7.9","0.0","","0.0","","","","","0.0","1","1.6","0.000","","","0.0","3","4.9","0.000","","","1.7","0.0","2","3.3","0.000","","","-3.5","0.0","10","16.4","0.000","","","","0.0","30","49.2","0.000","-0.16","0.03","-3.6","0.0"
"269","Tyler Conklin","LAC","TE","8","2025","59","0.000","1.56","0.15","3.4","9","1","1.7","0.000","16.50","0.50","3.0","0.0","4","6.8","0.250","","","7.3","25.0","7","11.9","-0.143","","","9.6","0.0","12","20.3","0.000","2.31","0.31","5.7","0.0","","0.0","","","","0.0","","7","11.9","-0.143","","","8.9","0.0","","0.0","","","","","0.0","11","18.6","0.182","1.09","0.09","9.1","9","15.3","-0.111","","","4.0","0.0","2","3.4","0.000","1.50","1.00","-3.5","0.0","5","8.5","0.000","","","","0.0","1","1.7","0.000","17.00","1.00","9.0","0.0"
"270","Grant Calcaterra","PHI","TE","8","2025","57","-0.035","0.68","0.12","1.8","7","4","7.0","0.000","","","2.0","0.0","7","12.3","-0.286","0.86","0.14","8.7","0.0","5","8.8","0.000","","","10.4","0.0","14","24.6","0.071","","0.07","7.4","7.1","1","1.8","0.000","","","0.0","7.0","9","15.8","0.000","","","11.3","0.0","1","1.8","0.000","","","10.0","0.0","6","10.5","-0.167","","0.17","0.0","7","12.3","0.000","3.78","0.33","8.0","0.0","","0.0","","","","","0.0","3","5.3","0.000","","0.33","","0.0","","0.0","","","","","0.0"
"271","Xavier Weaver","ARZ","WR","4","2025","57","0.018","0.26","0.07","3.5","4","1","1.8","0.000","","","4.0","0.0","6","10.5","0.000","","","4.2","0.0","10","17.5","0.100","","0.10","16.9","10.0","7","12.3","0.000","2.14","0.29","8.6","0.0","7","12.3","0.000","","","0.0","13.7","5","8.8","0.000","","","15.0","0.0","1","1.8","0.000","","","15.0","0.0","19","33.3","0.000","","0.05","5.3","1","1.8","0.000","","","2.0","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0","","0.0","","","","","0.0"
"272","Bhayshul Tuten","JAX","RB","10","2025","56","0.000","1.09","0.20","0.0","11","","0.0","","","","","0.0","","0.0","","","","","0.0","1","1.8","0.000","","","7.0","0.0","1","1.8","0.000","-3.00","1.00","3.0","0.0","1","1.8","0.000","","","0.0","12.0","","0.0","","","","","0.0","","0.0","","","","","0.0","4","7.1","0.000","","","0.0","1","1.8","0.000","","","-3.0","0.0","1","1.8","0.000","5.00","1.00","-12.0","0.0","3","5.4","0.000","","","","0.0","44","78.6","0.000","1.34","0.20","-1.7","0.0"
"273","John FitzPatrick","GB","TE","10","2025","54","-0.037","0.54","0.11","0.0","6","6","11.1","0.000","1.00","0.17","2.0","0.0","4","7.4","-0.500","","","7.0","0.0","2","3.7","0.000","","","6.5","0.0","3","5.6","0.000","","","12.7","0.0","","0.0","","","","0.0","","1","1.9","0.000","","","16.0","0.0","1","1.9","0.000","","","10.0","0.0","5","9.3","0.000","","","0.0","4","7.4","0.000","","","-3.5","0.0","","0.0","","","","","0.0","24","44.4","0.000","0.58","0.17","","0.0","4","7.4","0.000","2.25","0.25","-2.0","0.0"
"274","Terrance Ferguson","LA","TE","7","2025","53","0.094","2.60","0.21","11.3","11","5","9.4","-0.200","","","5.0","0.0","1","1.9","0.000","","","17.0","0.0","8","15.1","0.000","","","12.9","0.0","3","5.7","0.000","","","13.3","0.0","","0.0","","","","0.0","","15","28.3","0.200","3.60","0.33","12.9","20.0","4","7.5","0.500","7.75","0.25","14.5","25.0","10","18.9","0.100","5.30","0.50","20.0","2","3.8","0.000","","","21.0","0.0","","0.0","","","","","0.0","5","9.4","0.000","","","","0.0","","0.0","","","","","0.0"
"275","Greg Dulcich","MIA","TE","4","2025","53","-0.019","1.59","0.21","1.9","12","3","5.7","-0.667","","0.33","3.3","0.0","6","11.3","0.000","3.00","0.50","4.8","0.0","5","9.4","0.200","3.20","0.20","14.0","20.0","11","20.8","0.000","0.55","0.18","6.7","0.0","","0.0","","","","0.0","","4","7.5","0.000","","","15.8","0.0","2","3.8","0.000","","","14.5","0.0","9","17.0","0.000","1.40","0.10","0.0","8","15.1","0.000","2.75","0.13","3.0","0.0","","0.0","","","","","0.0","5","9.4","0.000","2.60","0.60","","0.0","","0.0","","","","","0.0"
"276","Ashton Dulin","IND","WR","9","2025","51","0.078","1.14","0.14","9.8","7","","0.0","","","","","0.0","2","3.9","0.000","5.50","0.50","11.0","0.0","5","9.8","0.000","","","17.6","0.0","12","23.5","0.000","","0.08","8.3","8.3","","0.0","","","","0.0","","","0.0","","","","","0.0","3","5.9","0.333","6.67","0.33","11.7","33.3","18","35.3","0.111","1.94","0.11","11.1","7","13.7","0.143","-1.14","0.29","5.0","14.3","2","3.9","0.000","","","-4.5","0.0","2","3.9","0.000","","","","0.0","","0.0","","","","","0.0"
"277","Skyy Moore","SF","WR","11","2025","51","0.118","1.23","0.12","19.6","6","8","15.7","0.375","3.88","0.25","4.0","37.5","4","7.8","-0.250","","0.25","5.0","0.0","4","7.8","0.000","","","8.3","0.0","5","9.8","0.000","","","9.0","0.0","2","3.9","0.000","","","50.0","15.5","4","7.8","0.250","","","13.8","25.0","8","15.7","0.375","2.00","0.11","12.6","37.5","8","15.7","-0.250","","0.13","0.0","7","13.7","0.286","2.14","0.14","8.7","28.6","","0.0","","","","","0.0","1","2.0","0.000","","","","0.0","","0.0","","","","","0.0"
