"Player Details","","","","","","Overall","","","","","","Slant","","","","","","","Out","","","","","","","In/Dig","","","","","","","Hitch","","","","","","","Comeback","","","","","","","Corner","","","","","","","Post","","","","","","","Go","","","","","","Crossers","","","","","","","Screens","","","","","","","Flat","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","TGT","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","ADOR","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","ADOR","WIN RATE"
"21","Marvin Harrison","ARZ","WR","9","2025","300","0.070","1.73","0.20","13.7","62","20","6.7","0.150","1.65","0.35","2.4","20.0","20","6.7","-0.050","2.25","0.30","14.6","15.0","31","10.3","0.161","0.35","0.06","15.3","25.8","59","19.7","0.034","1.47","0.22","9.7","8.5","10","3.3","0.300","1.50","0.50","40.0","15.5","18","6.0","-0.111","0.89","0.11","12.6","0.0","26","8.7","-0.038","0.77","0.12","13.2","7.7","59","19.7","0.085","3.10","0.23","13.6","50","16.7","0.140","1.87","0.13","10.4","14.0","5","1.7","0.000","3.00","0.60","-1.4","0.0","2","0.7","0.000","","","","0.0","","0.0","","","","","0.0"
"22","Keenan Allen","LAC","WR","11","2025","299","0.067","1.92","0.27","15.1","82","33","11.0","0.273","2.45","0.30","3.0","30.3","52","17.4","0.231","2.04","0.35","7.0","26.9","52","17.4","0.038","2.11","0.21","12.1","17.3","81","27.1","0.012","2.12","0.34","6.5","6.2","4","1.3","0.500","2.25","0.25","50.0","15.0","14","4.7","0.000","0.73","0.20","13.6","14.3","10","3.3","-0.300","1.67","0.08","16.4","0.0","25","8.4","0.040","1.11","0.22","8.0","20","6.7","-0.200","2.24","0.19","7.0","5.0","","0.0","","","","","0.0","8","2.7","0.000","","","","0.0","","0.0","","","","","0.0"
"23","DeVonta Smith","PHI","WR","10","2025","298","0.081","2.18","0.22","14.8","68","17","5.7","0.118","4.29","0.41","3.6","23.5","38","12.8","0.237","1.59","0.31","9.2","34.2","24","8.1","0.000","2.48","0.20","15.7","8.3","84","28.2","0.060","1.60","0.24","9.4","10.7","1","0.3","-1.000","","","0.0","15.0","13","4.4","-0.077","","","10.4","0.0","14","4.7","0.571","8.14","0.29","13.4","42.9","66","22.1","0.045","1.54","0.14","9.1","29","9.7","-0.034","1.79","0.10","10.0","13.8","5","1.7","0.000","5.80","0.80","-3.8","0.0","7","2.3","0.000","4.14","0.43","","0.0","","0.0","","","","","0.0"
"24","Rome Odunze","CHI","WR","10","2025","297","0.081","1.94","0.24","14.5","73","8","2.7","-0.125","0.90","0.20","5.0","0.0","36","12.1","0.139","3.86","0.33","9.8","27.8","40","13.5","0.125","3.62","0.26","16.2","22.5","48","16.2","-0.021","0.62","0.12","11.6","6.3","2","0.7","0.500","5.00","0.50","50.0","13.5","46","15.5","-0.043","0.87","0.20","12.8","6.5","30","10.1","0.233","1.50","0.17","15.1","26.7","38","12.8","0.132","1.76","0.17","7.9","42","14.1","0.071","2.30","0.39","10.6","11.9","3","1.0","0.000","-1.33","0.67","-4.0","0.0","3","1.0","0.000","","","","0.0","1","0.3","2.000","","","14.0","100.0"
"25","Theo Johnson","NYG","TE","11","2025","297","-0.007","1.14","0.18","6.7","54","15","5.1","-0.133","4.33","0.20","4.3","13.3","30","10.1","0.200","2.20","0.20","9.7","23.3","21","7.1","0.048","0.64","0.09","11.0","9.5","42","14.1","-0.119","0.74","0.14","10.0","0.0","","0.0","","","","0.0","","26","8.8","0.038","1.07","0.18","8.8","3.8","17","5.7","0.118","0.88","0.18","9.4","17.6","44","14.8","-0.023","0.52","0.13","6.8","42","14.1","-0.095","1.32","0.16","6.8","4.8","8","2.7","0.000","2.38","0.88","-3.8","0.0","36","12.1","0.000","0.70","0.19","","0.0","16","5.4","0.000","0.06","0.12","-0.9","0.0"
"26","Andrei Iosivas","CIN","WR","10","2025","295","0.058","0.85","0.12","11.5","35","33","11.2","0.182","0.48","0.15","3.7","21.2","21","7.1","0.190","0.90","0.14","8.3","28.6","34","11.5","-0.059","1.66","0.11","11.0","8.8","44","14.9","-0.091","0.77","0.20","7.7","0.0","","0.0","","","","0.0","","31","10.5","0.032","","0.03","10.5","3.2","29","9.8","0.207","","0.07","9.7","20.7","60","20.3","0.000","1.84","0.10","5.0","32","10.8","0.188","0.34","0.13","9.2","25.0","2","0.7","0.000","1.00","0.50","-2.5","0.0","8","2.7","0.000","","","","0.0","1","0.3","0.000","","","3.0","0.0"
"27","Elic Ayomanor","TEN","WR","10","2025","294","0.078","1.12","0.19","11.2","56","19","6.5","0.053","1.21","0.42","2.8","10.5","24","8.2","0.125","0.79","0.21","11.2","16.7","49","16.7","0.122","1.04","0.14","12.1","12.2","56","19.0","0.018","0.91","0.18","11.1","5.4","","0.0","","","","0.0","","29","9.9","0.172","0.27","0.10","14.0","13.8","23","7.8","-0.043","2.70","0.22","11.3","4.3","68","23.1","0.059","0.96","0.18","14.7","22","7.5","0.182","1.91","0.18","11.0","13.6","1","0.3","0.000","6.00","1.00","-2.0","0.0","3","1.0","0.000","1.50","0.25","","0.0","","0.0","","","","","0.0"
"28","Jameson Williams","DET","WR","10","2025","293","0.048","1.89","0.16","11.3","49","3","1.0","0.333","16.00","0.25","5.7","33.3","26","8.9","0.077","0.69","0.19","13.3","7.7","40","13.7","0.125","1.83","0.15","15.5","20.0","31","10.6","0.032","2.94","0.34","9.7","16.1","3","1.0","0.000","","","0.0","25.7","32","10.9","-0.063","0.75","0.06","13.9","6.3","29","9.9","0.069","2.24","0.17","14.3","10.3","58","19.8","0.086","1.40","0.12","10.3","66","22.5","0.000","2.12","0.15","11.0","9.1","3","1.0","0.000","-0.33","0.67","-4.0","0.0","2","0.7","0.000","","","","0.0","","0.0","","","","","0.0"
"29","Amon-Ra St. Brown","DET","WR","10","2025","292","0.147","2.49","0.31","16.8","91","32","11.0","0.219","4.00","0.50","3.1","25.0","48","16.4","0.125","3.13","0.44","8.2","18.8","34","11.6","0.294","2.35","0.21","15.1","29.4","46","15.8","0.000","1.28","0.22","7.0","2.2","2","0.7","0.000","","","0.0","11.5","18","6.2","0.111","2.89","0.22","10.9","16.7","23","7.9","0.261","2.61","0.35","11.5","21.7","35","12.0","0.143","1.25","0.17","20.0","37","12.7","0.189","2.56","0.21","7.0","16.2","8","2.7","0.000","5.00","0.88","-4.1","0.0","7","2.4","0.000","3.00","0.57","","0.0","2","0.7","0.000","","","-2.5","0.0"
"30","Jake Ferguson","DAL","TE","10","2025","292","-0.007","1.35","0.24","5.8","71","18","6.2","0.056","0.22","0.06","3.1","11.1","32","11.0","-0.031","1.12","0.24","8.2","9.4","15","5.1","0.200","1.13","0.13","11.6","33.3","56","19.2","-0.018","1.38","0.18","6.5","1.8","2","0.7","-0.500","","0.50","0.0","10.5","16","5.5","-0.188","","0.06","9.9","0.0","15","5.1","0.267","2.33","0.27","9.9","33.3","46","15.8","-0.065","1.66","0.17","2.2","25","8.6","-0.040","1.69","0.46","2.0","0.0","8","2.7","0.000","6.13","0.88","-2.9","0.0","58","19.9","0.000","1.00","0.27","","0.0","1","0.3","0.000","","1.00","-8.0","0.0"
