"Player Details","","","","","","Target Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM TGT %"
"60","Quentin Johnston","LAC","WR","10","2025","20.6","25.9","19.1","31.7","12.1","","9.1","0.0","17.2","24.2","7.7","","","","","","","","17.1"
"61","Terry McLaurin","WAS","WR","4","2025","13.3","21.4","19.0","","","","","13.3","","","","","","","","","","","17.1"
"62","Travis Hunter","JAX","WR","7","2025","25.8","14.3","5.0","16.1","12.0","16.7","27.1","","","","","","","","","","","","17.0"
"63","Elic Ayomanor","TEN","WR","10","2025","25.0","18.2","13.2","19.2","10.3","13.2","14.7","21.1","28.6","","13.5","","","","","","","","16.9"
"64","Tucker Kraft","GB","TE","8","2025","18.2","19.4","16.0","11.6","","7.7","31.0","24.3","8.1","","","","","","","","","","16.8"
"65","Mason Taylor","NYJ","TE","10","2025","4.5","9.1","13.9","25.9","26.1","5.9","11.8","24.2","","18.2","14.8","","","","","","","","16.7"
"66","Albert Okwuegbunam","LV","TE","1","2025","","","","","16.7","","","","","","","","","","","","","","16.7"
"67","Tee Higgins","CIN","WR","10","2025","17.4","17.8","7.4","24.0","17.5","15.6","19.1","5.9","19.1","","20.0","","","","","","","","16.6"
"68","George Kittle","SF","TE","6","2025","11.4","","","","","","7.7","15.6","16.7","23.1","23.1","","","","","","","","16.5"
"69","Mark Andrews","BLT","TE","10","2025","5.3","10.3","21.4","24.2","15.0","17.6","","13.6","13.0","17.2","20.0","","","","","","","","16.4"
"70","Josh Downs","IND","WR","9","2025","10.3","23.5","12.0","15.2","21.9","23.3","","9.7","18.0","7.7","","","","","","","","","16.2"
"71","Cooper Kupp","SEA","WR","9","2025","13.0","24.2","9.5","19.2","26.5","11.1","3.1","","","16.7","15.9","","","","","","","","15.9"
"72","Darnell Mooney","ATL","WR","8","2025","","19.0","23.3","3.8","","","13.2","12.9","2.7","28.6","23.3","","","","","","","","15.7"
"73","Jameson Williams","DET","WR","10","2025","12.8","14.3","10.7","29.6","4.2","24.1","6.9","","16.2","20.0","16.2","","","","","","","","15.7"
"74","Hunter Henry","NE","TE","11","2025","17.4","13.0","27.0","11.1","13.3","11.5","16.7","4.2","20.7","12.9","14.7","","","","","","","","15.5"
"75","Theo Johnson","NYG","TE","11","2025","8.1","12.2","3.1","23.8","17.5","15.4","21.2","16.7","18.2","22.2","13.8","","","","","","","","15.3"
"76","Cade Otton","TB","TE","10","2025","6.3","10.5","0.0","10.0","15.2","26.1","18.0","20.8","","27.9","17.9","","","","","","","","15.3"
"77","Xavier Worthy","KC","WR","8","2025","2.6","","","21.6","22.0","13.3","11.4","20.6","20.6","","11.1","","","","","","","","15.3"
"78","Marquise Brown","KC","WR","10","2025","35.9","17.2","16.2","13.5","19.5","13.3","11.4","2.9","11.8","","8.9","","","","","","","","15.2"
"79","Calvin Austin","PIT","WR","8","2025","20.0","8.6","21.7","9.1","","","","16.7","17.1","22.6","3.2","","","","","","","","14.8"
"80","Dalton Kincaid","BUF","TE","8","2025","8.7","22.2","21.4","9.1","19.4","","","13.0","23.1","7.5","","","","","","","","","14.8"
"81","DJ Moore","CHI","WR","10","2025","14.3","18.2","17.9","10.8","","17.2","15.4","18.4","16.2","11.1","9.4","","","","","","","","14.8"
