"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"44","Brian Robinson","SF","RB","11","2025","57","262","23.8","4.60","2","0","0","0","0","86.0","61.4","42.1","12.3","5.3","","","1","8.3","3","12.0","7","12.7","8","2.1","6","15","0.5","2.50","1.88","1.4","75.0","0","0.0","1","2","0","47.4","4.3","4.2","45.7"
"45","Aaron Jones","MIN","RB","6","2025","52","256","42.7","4.92","1","0","0","0","0","94.2","65.4","42.3","11.5","3.8","1.9","1.9","1","50.0","1","25.0","3","20.0","21","12.3","13","112","11.2","8.62","5.33","18.7","61.9","1","14.3","0","3","1","61.6","10.3","10.3","61.8"
"46","Kenneth Gainwell","PIT","RB","10","2025","61","244","24.4","4.00","3","1","0","0","0","78.7","52.5","36.1","14.8","3.3","","","5","35.7","8","40.0","12","30.0","42","13.7","36","204","9.7","5.67","4.86","20.4","85.7","2","10.0","4","7","1","108.0","10.8","11.0","109.8"
"47","RJ Harvey","DEN","RB","11","2025","61","244","22.2","4.00","2","0","0","0","0","78.7","47.5","24.6","3.3","3.3","3.3","3.3","3","25.0","4","20.0","9","20.9","32","8.2","28","195","8.1","6.96","6.09","17.7","87.5","4","22.2","2","5","0","89.0","8.1","9.8","107.9"
"48","Emari Demercado","ARZ","RB","9","2025","31","241","26.8","7.77","0","1","0","0","0","83.9","51.6","38.7","19.4","12.9","6.5","6.5","0","0.0","4","14.3","5","12.2","11","3.2","8","64","2.8","8.00","5.82","7.1","72.7","1","7.1","3","4","0","39.0","4.3","4.8","43.5"
"49","Bhayshul Tuten","JAX","RB","10","2025","60","238","23.8","3.97","3","0","0","0","0","85.0","66.7","38.3","6.7","1.7","","","4","20.0","4","11.8","18","23.7","11","3.3","8","61","2.8","7.63","5.55","6.1","72.7","1","9.1","1","1","0","62.0","6.2","6.2","61.9"
"50","Bucky Irving","TB","RB","4","2025","71","237","59.3","3.34","0","1","0","0","0","78.9","54.9","29.6","5.6","2.8","","","0","0.0","3","75.0","7","63.6","19","13.7","19","193","21.3","10.16","10.16","48.3","100.0","2","25.0","1","3","0","71.4","17.8","18.3","73.0"
"51","Sean Tucker","TB","RB","10","2025","51","235","23.5","4.61","4","1","0","0","0","78.4","49.0","31.4","11.8","5.9","2.0","2.0","4","33.3","7","36.8","10","26.3","8","2.4","7","30","1.3","4.29","3.75","3.0","87.5","1","5.9","0","1","0","46.2","4.6","6.4","63.5"
"52","Emanuel Wilson","GB","RB","10","2025","53","220","22.0","4.15","1","0","0","0","0","94.3","69.8","34.0","7.5","1.9","","","1","6.3","4","13.8","12","20.3","13","4.2","11","69","2.8","6.27","5.31","6.9","84.6","0","0.0","1","2","1","57.2","5.7","4.8","47.9"
"53","Samaje Perine","CIN","RB","9","2025","32","198","22.0","6.19","1","1","0","0","0","96.9","71.9","50.0","21.9","6.3","6.3","3.1","0","0.0","1","5.6","3","10.3","9","2.7","7","30","1.4","4.29","3.33","3.3","77.8","0","0.0","0","1","0","32.4","3.6","3.9","34.8"
"54","Kendre Miller","NO","RB","7","2025","47","193","27.6","4.11","1","0","0","0","0","85.1","55.3","34.0","10.6","2.1","","","0","0.0","2","25.0","5","20.0","5","2.1","5","30","2.0","6.00","6.00","4.3","100.0","0","0.0","0","0","0","34.7","5.0","4.8","33.3"
"55","Devin Singletary","NYG","RB","11","2025","60","191","17.4","3.18","2","0","0","0","0","86.7","58.3","25.0","1.7","","","","6","27.3","10","27.8","14","21.9","10","2.8","9","92","3.8","10.22","9.20","8.4","90.0","0","0.0","1","2","0","57.9","5.3","4.5","49.3"
"56","Jeremy McNichols","WAS","RB","11","2025","26","181","16.5","6.96","1","0","0","0","0","96.2","65.4","38.5","15.4","7.7","3.8","3.8","1","6.7","3","10.3","5","9.6","20","6.5","15","149","6.6","9.93","7.45","13.5","75.0","0","0.0","0","0","0","46.6","4.2","4.9","54.0"
"57","Bam Knight","ARZ","RB","8","2025","53","181","22.6","3.42","3","0","0","0","0","73.6","49.1","34.0","5.7","1.9","","","5","38.5","11","42.3","13","35.1","17","5.5","12","86","3.9","7.17","5.06","10.8","70.6","0","0.0","1","5","0","66.4","8.3","7.1","56.7"
"58","Tank Bigsby","JAX, PHI","RB","9","2025","22","168","18.7","7.64","0","0","0","0","0","90.9","77.3","63.6","31.8","18.2","4.5","","0","0.0","0","0.0","3","7.0","1","0.4","1","-1","-0.1","-1.00","-1.00","-0.1","100.0","0","0.0","0","0","0","14.8","1.6","2.0","17.7"
"59","Ollie Gordon","MIA","RB","11","2025","50","164","14.9","3.28","2","0","0","0","0","76.0","54.0","26.0","8.0","4.0","2.0","","5","50.0","10","47.6","16","33.3","8","2.4","6","30","1.4","5.00","3.75","2.7","75.0","1","5.9","0","2","0","51.7","4.7","3.9","43.4"
"60","Trey Benson","ARZ","RB","4","2025","29","160","40.0","5.52","0","0","0","0","0","75.9","51.7","27.6","13.8","6.9","6.9","3.4","1","20.0","2","25.0","3","25.0","13","10.0","13","64","8.6","4.92","4.92","16.0","100.0","0","0.0","0","1","0","36.8","9.2","8.9","35.4"
"61","Tyjae Spears","TEN","RB","6","2025","34","155","25.8","4.56","1","0","0","0","0","85.3","55.9","29.4","8.8","2.9","2.9","2.9","1","20.0","2","20.0","4","26.7","19","9.2","18","127","9.5","7.06","6.68","21.2","94.7","0","0.0","0","2","0","49.8","8.3","8.7","52.2"
"62","Isaiah Davis","NYJ","RB","10","2025","22","130","13.0","5.91","0","0","0","0","0","81.8","59.1","45.5","13.6","9.1","4.5","4.5","0","0.0","1","6.3","5","13.9","20","7.3","15","118","7.2","7.87","5.90","11.8","75.0","0","0.0","0","1","0","45.5","4.5","4.2","41.8"
"63","Keaton Mitchell","BLT","RB","6","2025","21","124","20.7","5.90","0","1","0","0","0","95.2","61.9","38.1","19.0","9.5","9.5","","0","0.0","1","4.3","7","15.6","5","3.3","4","35","3.2","8.75","7.00","5.8","80.0","0","0.0","0","0","0","23.7","4.0","3.3","19.9"
"64","Miles Sanders","DAL","RB","4","2025","20","117","29.3","5.85","1","1","0","0","0","90.0","75.0","35.0","5.0","5.0","5.0","5.0","1","12.5","3","27.3","6","35.3","8","4.7","8","30","2.6","3.75","3.75","7.5","100.0","0","0.0","0","1","0","27.6","6.9","6.9","27.7"
"65","Michael Carter","ARZ","RB","6","2025","40","107","17.8","2.68","1","0","0","0","0","72.5","47.5","27.5","2.5","","","","1","12.5","2","11.1","6","23.1","18","7.1","14","99","5.7","7.07","5.50","16.5","77.8","0","0.0","2","2","0","53.0","8.8","6.8","40.6"
"66","Antonio Gibson","NE","RB","5","2025","25","106","21.2","4.24","1","1","0","0","0","76.0","56.0","32.0","12.0","8.0","4.0","","2","28.6","2","13.3","4","16.7","3","1.9","2","6","0.5","3.00","2.00","1.2","66.7","0","0.0","0","0","0","20.1","4.0","3.6","18.2"
"67","James Conner","ARZ","RB","3","2025","32","95","31.7","2.97","1","1","0","0","0","87.5","43.8","21.9","3.1","","","","3","60.0","3","42.9","5","45.5","9","10.1","8","38","7.0","4.75","4.22","12.7","88.9","1","25.0","1","1","0","34.1","11.4","11.1","33.3"
"68","Trevor Etienne","CAR","RB","11","2025","20","94","8.5","4.70","0","0","0","0","0","85.0","60.0","40.0","15.0","5.0","5.0","","1","9.1","3","13.6","4","7.8","2","0.6","2","9","0.4","4.50","4.50","0.8","100.0","0","0.0","0","0","0","16.2","1.5","1.1","12.3"
"69","Justice Hill","BLT","RB","9","2025","18","93","10.3","5.17","2","1","0","0","0","77.8","38.9","27.8","5.6","5.6","5.6","5.6","1","5.9","1","4.3","3","5.9","27","11.4","21","169","9.4","8.05","6.26","18.8","77.8","1","6.3","0","1","0","52.2","5.8","7.2","65.2"
"70","Raheem Mostert","LV","RB","7","2025","19","90","12.9","4.74","0","0","0","0","0","78.9","57.9","21.1","15.8","5.3","5.3","5.3","0","0.0","1","9.1","4","15.4","6","2.9","6","45","3.6","7.50","7.50","6.4","100.0","0","0.0","0","0","0","21.6","3.1","2.8","19.5"
"71","Ty Johnson","BUF","RB","10","2025","19","83","8.3","4.37","1","0","0","0","0","84.2","73.7","42.1","5.3","5.3","","","1","4.2","2","5.9","4","6.7","12","4.0","8","116","4.6","14.50","9.67","11.6","66.7","1","5.6","0","2","1","32.1","3.2","4.0","39.9"
"72","Brashard Smith","KC","RB","10","2025","28","82","8.2","2.93","0","1","0","0","0","78.6","57.1","25.0","","","","","1","7.1","4","14.8","9","16.4","22","6.1","16","130","5.0","8.13","5.91","13.0","72.7","0","0.0","2","5","0","58.1","5.8","3.7","37.2"
"73","Jerome Ford","CLV","RB","10","2025","23","76","7.6","3.30","0","0","0","0","0","87.0","43.5","26.1","8.7","","","","3","20.0","4","17.4","4","10.3","25","6.9","21","76","4.2","3.62","3.04","7.6","84.0","0","0.0","0","5","0","55.8","5.6","3.6","36.2"
"74","Braelon Allen","NYJ","RB","4","2025","18","76","19.0","4.22","1","1","0","0","0","72.2","55.6","38.9","5.6","5.6","","","0","0.0","3","37.5","6","40.0","3","2.8","2","17","2.3","8.50","5.67","4.3","66.7","0","0.0","2","2","0","20.0","5.0","4.1","16.3"
"75","Jaret Patterson","LAC","RB","3","2025","21","75","25.0","3.57","0","0","0","0","0","90.5","61.9","33.3","","","","","0","0.0","0","0.0","1","6.3","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","11.2","3.7","2.5","7.5"
