"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"56","Deebo Samuel","WAS","WR","10","2025","11","52","1","30","1","1","268","68","53","470","5","365","297","106","8","6","64","522","6","9","136","4.73","2.73","0.09","9.1","1.75","6.91","5.60","2.00","0.15","11.3","8.16","0.14","2.13","10.9","5.2","47.0","52.2","14.1","141.2","137.2","13.7","21.7","4.0","0.40"
"57","Brian Robinson","SF","RB","11","2025","57","262","2","162","10","3","38","8","6","15","0","1","20","6","2","0","63","277","2","12","168","4.60","2.84","0.18","5.3","0.39","1.88","3.33","1.00","0.33","","4.40","0.19","2.67","4.8","23.8","1.4","25.2","4.2","45.7","43.6","4.0","5.3","1.7","0.15"
"58","Chris Olave","NO","WR","10","2025","1","-3","0","0","0","0","337","91","60","664","4","1017","154","33","5","7","61","661","4","5","33","-3.00","","","","1.97","7.30","2.57","0.55","0.08","11.7","10.84","0.08","0.54","11.5","-0.3","66.4","66.1","14.9","149.1","174.8","17.5","24.6","5.0","0.50"
"59","Chris Rodriguez","WAS","RB","9","2025","60","279","3","186","6","2","43","1","1","6","0","2","4","1","0","0","61","285","3","6","187","4.65","3.10","0.10","3.3","0.14","6.00","4.00","1.00","","","4.67","0.10","3.07","3.3","31.0","0.7","31.7","5.3","47.5","40.7","4.5","7.3","3.1","0.35"
"60","Drake London","ATL","WR","9","2025","0","0","0","0","0","0","279","90","60","810","6","921","237","90","3","12","60","810","6","3","90","","","","","2.90","9.00","3.95","1.50","0.05","20.0","13.50","0.05","1.50","20.0","0.0","90.0","90.0","19.8","178.0","163.1","18.1","25.8","4.8","0.53"
"61","Jake Ferguson","DAL","TE","10","2025","0","0","0","0","0","0","297","71","60","400","7","297","224","85","4","2","60","400","7","4","85","","","","","1.35","5.63","3.73","1.42","0.07","3.3","6.67","0.07","1.42","3.3","0.0","40.0","40.0","14.1","141.0","135.2","13.5","16.2","6.0","0.60"
"62","Zay Flowers","BLT","WR","10","2025","6","31","0","15","4","0","284","70","53","703","1","610","314","80","14","11","59","734","1","18","95","5.17","2.50","0.67","","2.48","10.04","5.92","1.51","0.26","20.8","12.44","0.31","1.61","18.6","3.1","70.3","73.4","13.1","131.4","123.6","12.4","20.1","1.8","0.18"
"63","Stefon Diggs","NE","WR","11","2025","0","0","0","0","0","0","267","71","59","659","3","644","214","100","7","9","59","659","3","7","100","","","","","2.47","9.28","3.63","1.69","0.12","15.3","11.17","0.12","1.69","15.3","0.0","59.9","59.9","13.0","142.9","126.0","11.5","17.1","3.4","0.31"
"64","Sean Tucker","TB","RB","10","2025","51","235","4","94","7","3","32","8","7","30","1","-19","44","11","1","1","58","265","5","8","105","4.61","1.84","0.14","5.9","0.94","3.75","6.29","1.57","0.14","14.3","4.57","0.14","1.81","6.9","23.5","3.0","26.5","6.4","63.5","52.5","5.2","7.1","3.2","0.32"
"65","George Pickens","DAL","WR","10","2025","0","0","0","0","0","0","354","80","58","908","7","1033","291","155","12","14","58","908","7","12","155","","","","","2.56","11.35","5.02","2.67","0.21","24.1","15.66","0.21","2.67","24.1","0.0","90.8","90.8","19.1","190.8","162.0","16.2","19.4","6.9","0.69"
"66","Wan'Dale Robinson","NYG","WR","11","2025","1","2","0","1","0","0","368","85","57","638","2","680","307","119","7","10","58","640","2","7","120","2.00","1.00","","","1.73","7.51","5.39","2.09","0.12","17.5","11.03","0.12","2.07","17.2","0.2","58.0","58.2","12.1","133.0","147.0","13.4","18.4","2.5","0.22"
