"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"165","JuJu Smith-Schuster","KC","WR","10","2025","0","0","0","0","0","0","199","28","25","291","1","138","176","77","4","3","25","291","1","4","77","","","","","1.46","10.39","7.04","3.08","0.16","12.0","11.64","0.16","3.08","12.0","0.0","29.1","29.1","6.0","60.1","51.4","5.1","6.7","1.8","0.18"
"166","Xavier Hutchinson","HST","WR","10","2025","1","5","0","3","1","0","265","34","24","264","3","317","72","15","1","4","25","269","3","2","18","5.00","3.00","1.00","","1.00","7.76","3.00","0.63","0.04","16.7","10.76","0.08","0.72","16.0","0.5","26.4","26.9","6.9","68.9","65.0","6.5","8.2","2.1","0.21"
"167","Raheem Mostert","LV","RB","7","2025","19","90","0","75","1","1","42","6","6","45","0","-14","59","9","0","0","25","135","0","1","84","4.74","3.95","0.05","5.3","1.07","7.50","9.83","1.50","","","5.40","0.04","3.36","4.0","12.9","6.4","19.3","2.8","19.5","19.3","2.8","4.5","0.4","0.06"
"168","Xavier Legette","CAR","WR","9","2025","1","0","0","2","0","0","253","43","24","264","3","491","60","21","3","6","25","264","3","3","23","","2.00","","","1.04","6.14","2.50","0.88","0.13","25.0","10.56","0.12","0.92","24.0","0.0","29.3","29.3","7.6","68.4","88.3","9.8","14.3","4.0","0.44"
"169","Taysom Hill","NO","TE","6","2025","22","52","1","43","3","1","19","4","3","18","0","11","8","3","0","0","25","70","1","3","46","2.36","1.95","0.14","4.5","0.95","4.50","2.67","1.00","","","2.80","0.12","1.84","4.0","8.7","3.0","11.7","2.8","16.8","22.0","3.7","5.5","1.3","0.22"
"170","Keaton Mitchell","BLT","RB","6","2025","21","124","0","32","1","2","15","5","4","35","0","-15","49","5","0","0","25","159","0","1","37","5.90","1.52","0.05","9.5","2.33","7.00","12.25","1.25","","","6.36","0.04","1.48","8.0","20.7","5.8","26.5","3.3","19.9","20.1","3.3","5.4","0.4","0.07"
"171","Gunnar Helm","TEN","TE","10","2025","0","0","0","0","0","0","140","29","24","216","1","200","77","21","2","1","24","216","1","2","21","","","","","1.54","7.45","3.21","0.88","0.08","4.2","9.00","0.08","0.88","4.2","0.0","21.6","21.6","5.2","51.6","52.3","5.2","8.2","2.3","0.23"
"172","Tez Johnson","TB","WR","9","2025","4","5","0","5","0","0","189","31","20","261","4","406","89","3","7","3","24","266","4","7","8","1.25","1.25","","","1.38","8.42","4.45","0.15","0.35","15.0","11.08","0.29","0.33","12.5","0.6","29.0","29.6","7.8","70.6","61.5","6.8","9.4","2.2","0.25"
"173","George Holani","SEA","RB","10","2025","22","73","1","54","6","0","7","2","2","15","0","-1","16","4","0","0","24","88","1","6","58","3.32","2.45","0.27","","2.14","7.50","8.00","2.00","","","3.67","0.25","2.42","","7.3","1.5","8.8","1.6","15.8","12.6","1.3","1.9","0.3","0.03"
"174","Dyami Brown","JAX","WR","9","2025","5","26","0","10","0","0","176","36","19","219","1","526","32","25","1","2","24","245","1","1","35","5.20","2.00","","","1.24","6.08","1.68","1.32","0.05","10.5","10.21","0.04","1.46","8.3","2.9","24.3","27.2","5.5","49.5","79.1","8.8","11.1","3.8","0.42"
"175","Colston Loveland","CHI","TE","9","2025","0","0","0","0","0","0","179","33","24","329","2","285","155","69","6","6","24","329","2","6","69","","","","","1.84","9.97","6.46","2.88","0.25","25.0","13.71","0.25","2.88","25.0","0.0","36.6","36.6","7.7","68.9","55.0","6.1","8.3","1.6","0.18"
"176","Ja'Tavion Sanders","CAR","TE","8","2025","0","0","0","0","0","0","147","29","24","170","0","161","78","32","4","0","24","170","0","4","32","","","","","1.16","5.86","3.25","1.33","0.17","","7.08","0.17","1.33","","0.0","21.3","21.3","5.1","41.0","54.6","6.8","9.8","1.4","0.17"
"177","Jayden Higgins","HST","WR","10","2025","0","0","0","0","0","0","195","36","23","256","3","428","61","14","1","4","23","256","3","1","14","","","","","1.31","7.11","2.65","0.61","0.04","17.4","11.13","0.04","0.61","17.4","0.0","25.6","25.6","6.7","66.6","67.0","6.7","8.5","2.6","0.26"
"178","Tank Bigsby","PHI, JAX","RB","9","2025","22","168","0","83","8","4","13","1","1","-1","0","-7","6","2","1","0","23","167","0","9","85","7.64","3.77","0.36","18.2","-0.08","-1.00","6.00","2.00","1.00","","7.26","0.39","3.70","17.4","18.7","-0.1","18.6","2.0","17.7","12.3","1.4","2.1","0.2","0.03"
"179","KaVontae Turpin","DAL","WR","8","2025","7","26","0","15","1","0","142","24","16","184","1","184","59","27","3","2","23","210","1","4","42","3.71","2.14","0.14","","1.30","7.67","3.69","1.69","0.19","12.5","9.13","0.17","1.83","8.7","3.3","23.0","26.3","5.4","43.0","45.4","5.7","6.5","1.2","0.15"
"180","Pat Freiermuth","PIT","TE","10","2025","0","0","0","0","0","0","156","28","23","279","3","172","144","69","4","2","23","279","3","4","69","","","","","1.79","9.96","6.26","3.00","0.17","8.7","12.13","0.17","3.00","8.7","0.0","27.9","27.9","6.9","68.9","49.9","5.0","7.8","1.2","0.12"
"181","Terrell Jennings","NE","RB","4","2025","22","73","1","41","1","0","4","1","1","9","0","2","7","3","0","0","23","82","1","1","44","3.32","1.86","0.05","","2.25","9.00","7.00","3.00","","","3.57","0.04","1.91","","18.3","2.3","20.5","3.8","15.2","13.0","3.3","5.0","0.5","0.13"
"182","Kaleb Johnson","PIT","RB","7","2025","22","58","0","44","2","0","8","2","1","9","0","-8","14","2","0","0","23","67","0","2","46","2.64","2.00","0.09","","1.13","4.50","14.00","2.00","","","2.91","0.09","2.00","","8.3","1.3","9.6","1.1","7.7","14.3","2.0","3.3","0.3","0.05"
"183","Kayshon Boutte","NE","WR","9","2025","0","0","0","0","0","0","217","30","23","431","5","531","26","16","1","9","23","431","5","1","16","","","","","1.99","14.37","1.13","0.70","0.04","39.1","18.74","0.04","0.70","39.1","0.0","47.9","47.9","10.7","96.1","58.4","6.5","9.9","1.7","0.19"
"184","Jaydon Blue","DAL","RB","4","2025","22","65","0","42","3","0","7","1","1","5","0","-5","10","1","0","0","23","70","0","3","43","2.95","1.91","0.14","","0.71","5.00","10.00","1.00","","","3.04","0.13","1.87","","16.3","1.3","17.5","2.0","8.0","12.7","3.2","4.1","0.2","0.05"
"185","Darius Slayton","NYG","WR","8","2025","0","0","0","0","0","0","235","33","23","343","0","457","122","28","2","4","23","343","0","2","28","","","","","1.46","10.39","5.30","1.22","0.09","17.4","14.91","0.09","1.22","17.4","0.0","42.9","42.9","7.0","56.3","69.3","8.7","12.0","1.8","0.23"
"186","Jaylin Noel","HST","WR","10","2025","3","4","0","5","0","0","129","25","19","209","1","233","84","22","0","5","22","213","1","0","27","1.33","1.67","","","1.62","8.36","4.42","1.16","","26.3","9.68","","1.23","22.7","0.4","20.9","21.3","4.6","46.3","50.7","5.1","6.4","1.3","0.13"
"187","Trevor Etienne","CAR","RB","11","2025","20","94","0","49","4","1","13","2","2","9","0","1","8","8","2","0","22","103","0","6","57","4.70","2.45","0.20","5.0","0.69","4.50","4.00","4.00","1.00","","4.68","0.27","2.59","4.5","8.5","0.8","9.4","1.1","12.3","16.6","1.5","2.2","0.9","0.08"
"188","Calvin Austin","PIT","WR","8","2025","0","0","0","0","0","0","185","36","22","242","2","368","85","32","2","3","22","242","2","2","32","","","","","1.31","6.72","3.86","1.45","0.09","13.6","11.00","0.09","1.45","13.6","0.0","30.3","30.3","7.3","58.2","63.3","7.9","12.5","1.5","0.18"
"189","Ricky Pearsall","SF","WR","5","2025","1","-4","0","5","1","0","152","31","21","327","0","477","52","18","0","6","22","323","0","1","23","-4.00","5.00","1.00","","2.15","10.55","2.48","0.86","","28.6","14.68","0.05","1.05","27.3","-0.8","65.4","64.6","10.7","53.3","66.5","13.3","17.5","2.0","0.40"
"190","Tyreek Hill","MIA","WR","4","2025","0","0","0","0","0","0","94","29","21","265","1","374","68","19","3","4","21","265","1","3","19","","","","","2.82","9.14","3.24","0.90","0.14","19.0","12.62","0.14","0.90","19.0","0.0","66.3","66.3","13.4","53.5","53.8","13.5","21.0","0.9","0.23"
"191","Michael Mayer","LV","TE","8","2025","0","0","0","0","0","0","134","31","21","168","1","123","113","46","5","1","21","168","1","5","46","","","","","1.25","5.42","5.38","2.19","0.24","4.8","8.00","0.24","2.19","4.8","0.0","21.0","21.0","5.5","43.8","49.3","6.2","9.5","1.2","0.15"
"192","Andrei Iosivas","CIN","WR","10","2025","2","9","0","3","1","0","300","35","19","256","1","321","72","30","4","5","21","265","1","5","33","4.50","1.50","0.50","","0.85","7.31","3.79","1.58","0.21","26.3","12.62","0.24","1.57","23.8","0.9","25.6","26.5","5.2","51.5","62.7","6.3","8.5","1.8","0.18"
"193","Jalen Nailor","MIN","WR","10","2025","1","15","0","2","1","1","253","35","20","318","2","470","85","29","2","6","21","333","2","3","31","15.00","2.00","1.00","100.0","1.26","9.09","4.25","1.45","0.10","30.0","15.86","0.14","1.48","33.3","1.5","31.8","33.3","6.7","67.3","77.5","7.7","11.7","4.2","0.42"
"194","Luther Burden","CHI","WR","9","2025","2","6","0","9","2","0","102","23","19","249","1","179","125","35","2","5","21","255","1","4","44","3.00","4.50","1.00","","2.44","10.83","6.58","1.84","0.11","26.3","12.14","0.19","2.10","23.8","0.7","27.7","28.3","5.6","50.5","38.9","4.3","6.0","0.5","0.06"
"195","Ryan Flournoy","DAL","WR","9","2025","4","25","0","6","0","0","127","23","17","200","2","211","80","51","3","2","21","225","2","3","57","6.25","1.50","","","1.57","8.70","4.71","3.00","0.18","11.8","10.71","0.14","2.71","9.5","2.8","22.2","25.0","5.7","51.5","43.9","4.9","5.8","1.8","0.20"
"196","Jaret Patterson","LAC","RB","3","2025","21","75","0","42","2","0","4","0","0","0","0","0","0","","0","0","21","75","0","2","42","3.57","2.00","0.10","","","0.00","","","","","3.57","0.10","2.00","","25.0","0.0","25.0","2.5","7.5","11.6","3.9","5.5","0.2","0.07"
"197","Kyle Juszczyk","SF","FB","11","2025","2","-3","0","1","0","0","120","21","18","160","1","74","98","37","1","2","20","157","1","1","38","-1.50","0.50","","","1.33","7.62","5.44","2.06","0.06","11.1","7.85","0.05","1.90","10.0","-0.3","14.5","14.3","3.6","39.7","42.8","3.9","5.2","1.9","0.18"
"198","Brenton Strange","JAX","TE","5","2025","0","0","0","0","0","0","110","24","20","204","0","130","107","29","6","2","20","204","0","6","29","","","","","1.85","8.50","5.35","1.45","0.30","10.0","10.20","0.30","1.45","10.0","0.0","40.8","40.8","8.1","40.4","36.7","7.3","10.1","0.2","0.04"
"199","Braelon Allen","NYJ","RB","4","2025","18","76","1","37","0","1","16","3","2","17","0","8","9","6","1","0","20","93","1","1","43","4.22","2.06","","5.6","1.06","5.67","4.50","3.00","0.50","","4.65","0.05","2.15","5.0","19.0","4.3","23.3","4.1","16.3","17.4","4.3","7.4","1.1","0.26"
"200","LeQuint Allen","JAX","RB","10","2025","13","68","0","22","2","0","92","8","7","41","0","-10","43","15","0","0","20","109","0","2","37","5.23","1.69","0.15","","0.45","5.13","6.14","2.14","","","5.45","0.10","1.85","","6.8","4.1","10.9","1.8","17.9","22.3","2.2","2.9","0.7","0.07"
"201","Tyler Higbee","LA","TE","9","2025","0","0","0","0","0","0","147","30","20","190","2","143","132","28","0","3","20","190","2","0","28","","","","","1.29","6.33","6.60","1.40","","15.0","9.50","","1.40","15.0","0.0","21.1","21.1","5.7","51.0","51.6","5.7","7.5","1.7","0.19"
"202","Austin Ekeler","WAS","RB","2","2025","14","43","0","24","1","0","37","7","5","38","0","10","50","13","2","0","19","81","0","3","37","3.07","1.71","0.07","","1.03","5.43","10.00","2.60","0.40","","4.26","0.16","1.95","","21.5","19.0","40.5","6.6","13.1","18.5","9.3","13.0","0.2","0.11"
"203","Brandin Cooks","NO","WR","10","2025","0","0","0","0","0","0","264","25","19","165","0","225","44","16","0","2","19","165","0","0","16","","","","","0.63","6.60","2.32","0.84","","10.5","8.68","","0.84","10.5","0.0","16.5","16.5","3.6","35.5","36.8","3.7","5.2","0.6","0.06"
"204","Tommy Tremble","CAR","TE","11","2025","0","0","0","0","0","0","171","24","19","184","1","93","134","69","5","1","19","184","1","5","69","","","","","1.08","7.67","7.05","3.63","0.26","5.3","9.68","0.26","3.63","5.3","0.0","16.7","16.7","3.9","43.4","41.2","3.7","5.5","0.9","0.08"
"205","Malik Nabers","NYG","WR","4","2025","0","0","0","0","0","0","127","32","18","271","2","542","51","42","3","5","18","271","2","3","42","","","","","2.13","8.47","2.83","2.33","0.17","27.8","15.06","0.17","2.33","27.8","0.0","67.8","67.8","14.3","57.1","70.2","17.6","23.7","3.3","0.83"
"206","Tyler Lockett","TEN, LV","WR","10","2025","0","0","0","0","0","0","190","28","18","147","0","155","58","13","1","0","18","147","0","1","13","","","","","0.77","5.25","3.22","0.72","0.06","","8.17","0.06","0.72","","0.0","14.7","14.7","3.3","32.7","53.6","5.4","8.1","1.2","0.12"
"207","Savion Williams","GB","WR","10","2025","8","28","0","7","1","1","38","10","10","78","1","14","64","17","2","1","18","106","1","3","24","3.50","0.88","0.13","12.5","2.05","7.80","6.40","1.70","0.20","10.0","5.89","0.17","1.33","11.1","2.8","7.8","10.6","2.6","25.6","23.1","2.3","3.4","0.8","0.08"
"208","Darnell Washington","PIT","TE","10","2025","0","0","0","0","0","0","107","26","18","209","1","150","125","61","6","2","18","209","1","6","61","","","","","1.95","8.04","6.94","3.39","0.33","11.1","11.61","0.33","3.39","11.1","0.0","20.9","20.9","4.7","46.9","48.8","4.9","7.6","2.4","0.24"
"209","Dontayvion Wicks","GB","WR","8","2025","0","0","0","0","0","0","138","28","18","181","0","333","35","24","3","1","18","181","0","3","24","","","","","1.31","6.46","1.94","1.33","0.17","5.6","10.06","0.17","1.33","5.6","0.0","22.6","22.6","4.5","36.1","47.7","6.0","8.8","1.0","0.12"
"210","DJ Giddens","IND","RB","7","2025","18","66","0","46","0","0","8","2","0","0","0","-5","0","","0","0","18","66","0","0","46","3.67","2.56","","","","0.00","","","","","3.67","","2.56","","9.4","0.0","9.4","0.9","6.6","15.1","2.2","2.9","0.9","0.13"
"211","Najee Harris","LAC","RB","3","2025","15","61","0","50","1","0","15","3","3","25","0","10","15","8","1","0","18","86","0","2","58","4.07","3.33","0.07","","1.67","8.33","5.00","2.67","0.33","","4.78","0.11","3.22","","20.3","8.3","28.7","3.9","11.6","13.7","4.6","5.7","0.1","0.04"
"212","Van Jefferson","TEN","WR","10","2025","0","0","0","0","0","0","196","32","17","189","1","389","50","13","0","4","17","189","1","0","13","","","","","0.96","5.91","2.94","0.76","","23.5","11.12","","0.76","23.5","0.0","18.9","18.9","4.2","41.9","58.7","5.9","9.1","0.9","0.09"
"213","Jaylin Lane","WAS","WR","11","2025","1","7","0","3","0","0","153","29","16","225","0","383","37","26","0","3","17","232","0","0","29","7.00","3.00","","","1.47","7.76","2.31","1.63","","18.8","13.65","","1.71","17.6","0.6","20.5","21.1","3.6","39.2","44.9","4.1","6.4","0.8","0.08"
"214","Devin Neal","NO","RB","5","2025","10","43","0","15","0","0","45","7","7","21","0","-8","29","9","0","0","17","64","0","0","24","4.30","1.50","","","0.47","3.00","4.14","1.29","","","3.76","","1.41","","8.6","4.2","12.8","2.7","13.4","18.7","3.7","5.3","0.2","0.04"
"215","Calvin Ridley","TEN","WR","7","2025","0","0","0","0","0","0","148","34","17","303","0","439","87","11","3","7","17","303","0","3","11","","","","","2.05","8.91","5.12","0.65","0.18","41.2","17.82","0.18","0.65","41.2","0.0","43.3","43.3","6.8","47.3","62.4","8.9","13.8","1.4","0.20"
"216","Tre Harris","LAC","WR","11","2025","0","0","0","0","0","0","150","19","16","137","1","135","71","21","2","1","16","137","1","2","21","","","","","0.91","7.21","4.44","1.31","0.13","6.3","8.56","0.13","1.31","6.3","0.0","12.5","12.5","3.2","35.7","29.8","2.7","3.6","0.5","0.04"
"217","Elijah Higgins","ARZ","TE","10","2025","0","0","0","0","0","0","114","19","16","162","0","60","122","54","7","2","16","162","0","7","54","","","","","1.42","8.53","7.63","3.38","0.44","12.5","10.13","0.44","3.38","12.5","0.0","16.2","16.2","3.1","31.2","32.9","3.3","4.1","0.5","0.05"
"218","Cole Kmet","CHI","TE","9","2025","0","0","0","0","0","0","168","27","16","192","1","259","82","29","1","3","16","192","1","1","29","","","","","1.14","7.11","5.13","1.81","0.06","18.8","12.00","0.06","1.81","18.8","0.0","21.3","21.3","4.6","41.2","47.1","5.2","7.2","1.2","0.13"
"219","Jaylen Wright","MIA","RB","4","2025","15","49","0","50","3","1","9","1","1","0","0","-3","3","2","0","0","16","49","0","3","52","3.27","3.33","0.20","6.7","","0.00","3.00","2.00","","","3.06","0.19","3.25","6.3","12.3","0.0","12.3","1.5","5.9","8.9","2.2","3.6","0.3","0.06"
"220","Jordan Whittington","LA","WR","10","2025","3","12","0","4","0","0","159","18","13","130","0","119","72","19","0","2","16","142","0","0","23","4.00","1.33","","","0.82","7.22","5.54","1.46","","15.4","8.88","","1.44","12.5","1.2","13.0","14.2","2.7","27.2","31.5","3.1","4.0","0.4","0.04"
"221","Hassan Haskins","LAC","RB","7","2025","12","30","0","13","0","0","40","4","4","13","0","-4","17","6","1","0","16","43","0","1","19","2.50","1.08","","","0.33","3.25","4.25","1.50","0.25","","2.69","0.06","1.19","","4.3","1.9","6.1","1.2","8.3","11.2","1.6","2.0","0.1","0.01"
"222","Rashod Bateman","BLT","WR","9","2025","0","0","0","0","0","0","204","29","16","194","2","365","37","18","3","3","16","194","2","3","18","","","","","0.95","6.69","2.31","1.13","0.19","18.8","12.13","0.19","1.13","18.8","0.0","21.6","21.6","5.5","49.4","50.8","5.6","9.2","1.7","0.19"
"223","Cedric Tillman","CLV","WR","6","2025","0","0","0","0","0","0","176","26","16","169","2","235","33","8","1","3","16","169","2","1","8","","","","","0.96","6.50","2.06","0.50","0.06","18.8","10.56","0.06","0.50","18.8","0.0","28.2","28.2","7.5","44.9","52.2","8.7","11.6","1.9","0.32"
"224","Christian Kirk","HST","WR","6","2025","0","0","0","0","0","0","150","28","16","144","0","229","50","22","2","1","16","144","0","2","22","","","","","0.96","5.14","3.13","1.38","0.13","6.3","9.00","0.13","1.38","6.3","0.0","24.0","24.0","5.1","30.4","48.5","8.1","9.8","1.3","0.22"
"225","Josh Palmer","BUF","WR","7","2025","0","0","0","0","0","0","118","25","16","251","0","302","47","16","0","4","16","251","0","0","16","","","","","2.13","10.04","2.94","1.00","","25.0","15.69","","1.00","25.0","0.0","35.9","35.9","5.9","41.1","42.5","6.1","8.8","0.5","0.07"
"226","Darnell Mooney","ATL","WR","8","2025","0","0","0","0","0","0","228","40","16","224","0","588","33","9","0","3","16","224","0","0","9","","","","","0.98","5.60","2.06","0.56","","18.8","14.00","","0.56","18.8","0.0","28.0","28.0","4.8","38.4","81.5","10.2","15.4","1.6","0.21"
"227","Hunter Renfrow","CAR","WR","6","2025","0","0","0","0","0","0","143","23","15","89","2","187","25","7","0","0","15","89","2","0","7","","","","","0.62","3.87","1.67","0.47","","","5.93","","0.47","","0.0","14.8","14.8","6.0","35.9","44.2","7.4","10.2","1.9","0.31"
"228","Pat Bryant","DEN","WR","11","2025","0","0","0","0","0","0","161","22","15","231","1","239","85","26","1","3","15","231","1","1","26","","","","","1.43","10.50","5.67","1.73","0.07","20.0","15.40","0.07","1.73","20.0","0.0","21.0","21.0","4.0","44.1","39.9","3.6","4.9","1.0","0.09"
"229","Jeremy Ruckert","NYJ","TE","10","2025","0","0","0","0","0","0","88","16","14","119","1","63","55","29","0","1","15","119","1","0","29","","","","","1.35","7.44","3.93","2.07","","7.1","7.93","","1.93","6.7","0.0","11.9","11.9","3.2","31.9","25.6","2.6","4.4","0.7","0.07"
"230","Tyquan Thornton","KC","WR","10","2025","0","0","0","0","0","0","173","29","15","372","3","801","61","21","0","9","15","372","3","0","21","","","","","2.15","12.83","4.07","1.40","","60.0","24.80","","1.40","60.0","0.0","37.2","37.2","7.0","70.2","65.2","6.5","8.5","3.4","0.34"
"231","Kalif Raymond","DET","WR","10","2025","2","19","0","16","1","0","142","17","13","113","0","94","58","16","0","0","15","132","0","1","32","9.50","8.00","0.50","","0.80","6.65","4.46","1.23","","","8.80","0.07","2.13","","1.9","11.3","13.2","2.6","26.2","31.0","3.1","4.6","0.5","0.05"
"232","Will Shipley","PHI","RB","8","2025","11","45","0","18","0","1","27","4","4","28","0","-1","29","3","0","0","15","73","0","0","21","4.09","1.64","","9.1","1.04","7.00","7.25","0.75","","","4.87","","1.40","6.7","5.6","3.5","9.1","1.4","11.3","11.9","1.5","2.4","0.1","0.01"
"233","Colby Parkinson","LA","TE","8","2025","0","0","0","0","0","0","69","17","15","123","2","52","86","17","2","1","15","123","2","2","17","","","","","1.78","7.24","5.73","1.13","0.13","6.7","8.20","0.13","1.13","6.7","0.0","15.4","15.4","4.8","38.3","33.9","4.2","5.2","1.8","0.22"
"234","Elijah Arroyo","SEA","TE","10","2025","0","0","0","0","0","0","117","22","14","174","1","186","66","19","0","4","14","174","1","0","19","","","","","1.49","7.91","4.71","1.36","","28.6","12.43","","1.36","28.6","0.0","17.4","17.4","3.6","36.4","46.6","4.7","7.0","2.1","0.21"
"235","AJ Dillon","PHI","RB","6","2025","12","60","0","35","2","0","15","2","2","18","0","7","11","5","1","0","14","78","0","3","40","5.00","2.92","0.17","","1.20","9.00","5.50","2.50","0.50","","5.57","0.21","2.86","","10.0","3.0","13.0","1.5","8.8","9.6","1.6","2.4","0.1","0.02"
"236","Mike Evans","TB","WR","4","2025","0","0","0","0","0","0","101","31","14","140","1","428","18","10","0","1","14","140","1","0","10","","","","","1.39","4.52","1.29","0.71","","7.1","10.00","","0.71","7.1","0.0","35.0","35.0","8.5","34.0","60.3","15.1","19.7","1.4","0.36"
"237","Elijah Moore","BUF","WR","8","2025","6","24","1","11","1","0","79","14","8","115","0","116","61","17","2","3","14","139","1","3","28","4.00","1.83","0.17","","1.46","8.21","7.63","2.13","0.25","37.5","9.93","0.21","2.00","21.4","3.0","14.4","17.4","3.5","27.9","25.4","3.2","4.6","0.4","0.05"
"238","Jalen Tolbert","DAL","WR","10","2025","0","0","0","0","0","0","211","25","14","172","1","297","41","14","1","2","14","172","1","1","14","","","","","0.82","6.88","2.93","1.00","0.07","14.3","12.29","0.07","1.00","14.3","0.0","17.2","17.2","3.9","39.2","47.6","4.8","5.7","1.6","0.16"
"239","Davis Allen","LA","TE","10","2025","0","0","0","0","0","0","78","16","13","104","3","83","70","16","0","1","13","104","3","0","16","","","","","1.33","6.50","5.38","1.23","","7.7","8.00","","1.23","7.7","0.0","10.4","10.4","4.1","41.4","34.9","3.5","4.4","1.8","0.18"
"240","Jimmy Horn","CAR","WR","7","2025","7","44","0","14","1","0","42","9","6","66","0","93","29","9","0","1","13","110","0","1","23","6.29","2.00","0.14","","1.57","7.33","4.83","1.50","","16.7","8.46","0.08","1.77","7.7","6.3","9.4","15.7","2.4","17.0","18.6","2.7","4.2","0.2","0.03"
"241","Ameer Abdullah","IND","RB","6","2025","8","40","1","23","1","0","19","5","5","30","0","8","22","2","1","0","13","70","1","2","25","5.00","2.88","0.13","","1.58","6.00","4.40","0.40","0.20","","5.38","0.15","1.92","","6.7","5.0","11.7","3.0","18.0","13.9","2.3","3.2","0.7","0.11"
"242","Noah Gray","KC","TE","10","2025","0","0","0","0","0","0","145","21","13","107","0","123","82","28","1","1","13","107","0","1","28","","","","","0.74","5.10","6.31","2.15","0.08","7.7","8.23","0.08","2.15","7.7","0.0","10.7","10.7","2.4","23.7","41.2","4.1","5.4","0.7","0.07"
"243","Austin Hooper","NE","TE","10","2025","0","0","0","0","0","0","125","15","13","174","1","142","72","22","1","4","13","174","1","1","22","","","","","1.39","11.60","5.54","1.69","0.08","30.8","13.38","0.08","1.69","30.8","0.0","17.4","17.4","3.6","36.4","23.9","2.4","3.6","0.5","0.05"
"244","Luke Musgrave","GB","TE","10","2025","0","0","0","0","0","0","105","15","13","110","0","91","37","11","0","2","13","110","0","0","11","","","","","1.05","7.33","2.85","0.85","","15.4","8.46","","0.85","15.4","0.0","11.0","11.0","2.4","24.0","26.3","2.6","3.8","0.1","0.01"
"245","Terry McLaurin","WAS","WR","4","2025","0","0","0","0","0","0","105","21","13","203","1","312","38","16","1","2","13","203","1","1","16","","","","","1.93","9.67","2.92","1.23","0.08","15.4","15.62","0.08","1.23","15.4","0.0","50.8","50.8","9.8","39.3","33.8","8.5","12.9","0.8","0.19"
"246","Isaiah Bond","CLV","WR","9","2025","2","17","0","16","1","0","201","28","11","123","0","361","41","6","1","2","13","140","0","2","22","8.50","8.00","0.50","","0.61","4.39","3.73","0.55","0.09","18.2","10.77","0.15","1.69","15.4","1.9","13.7","15.6","2.8","25.0","55.3","6.1","8.5","1.8","0.20"
"247","Dawson Knox","BUF","TE","10","2025","0","0","0","0","0","0","157","20","13","178","1","188","65","21","1","3","13","178","1","1","21","","","","","1.13","8.90","5.00","1.62","0.08","23.1","13.69","0.08","1.62","23.1","0.0","17.8","17.8","3.7","36.8","35.3","3.5","5.1","1.2","0.12"
"248","Zamir White","LV","RB","3","2025","10","25","0","13","0","0","22","5","3","19","0","-5","20","7","0","0","13","44","0","0","20","2.50","1.30","","","0.86","3.80","6.67","2.33","","","3.38","","1.54","","8.3","6.3","14.7","2.5","7.4","11.2","3.7","5.2","0.1","0.02"
"249","Tyler Badie","DEN","RB","10","2025","2","9","0","6","0","0","82","19","11","87","0","-15","130","28","2","0","13","96","0","2","34","4.50","3.00","","","1.06","4.58","11.82","2.55","0.18","","7.38","0.15","2.62","","0.9","8.7","9.6","2.1","20.6","29.1","2.9","3.8","0.2","0.02"
"250","DeAndre Hopkins","BLT","WR","10","2025","0","0","0","0","0","0","114","22","13","219","2","335","37","11","0","4","13","219","2","0","11","","","","","1.92","9.95","2.85","0.85","","30.8","16.85","","0.85","30.8","0.0","21.9","21.9","4.7","46.9","44.0","4.4","7.2","1.2","0.12"
"251","Tory Horton","SEA","WR","8","2025","0","0","0","0","0","0","126","22","13","161","5","353","32","16","3","3","13","161","5","3","16","","","","","1.28","7.32","2.46","1.23","0.23","23.1","12.38","0.23","1.23","23.1","0.0","20.1","20.1","7.4","59.1","49.6","6.2","9.6","2.9","0.36"
"252","Isaiah Likely","BLT","TE","7","2025","0","0","0","0","0","0","121","16","12","118","0","96","52","12","1","1","12","118","0","1","12","","","","","0.98","7.38","4.33","1.00","0.08","8.3","9.83","0.08","1.00","8.3","0.0","16.9","16.9","3.4","23.8","27.2","3.9","6.3","0.6","0.09"
"253","Christian Watson","GB","WR","4","2025","0","0","0","0","0","0","105","17","12","234","2","396","25","7","0","5","12","234","2","0","7","","","","","2.23","13.76","2.08","0.58","","41.7","19.50","","0.58","41.7","0.0","58.5","58.5","11.9","47.4","33.7","8.4","12.0","1.3","0.34"
"254","Zay Jones","ARZ","WR","8","2025","0","0","0","0","0","0","163","16","12","183","0","223","34","12","0","4","12","183","0","0","12","","","","","1.12","11.44","2.83","1.00","","33.3","15.25","","1.00","33.3","0.0","22.9","22.9","3.8","30.3","29.9","3.7","4.8","0.9","0.11"
