"Player Details","","","","","","Overall","","","","","Wide","","","","","","","Slot","","","","","","","Inline","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"101","Jayden Higgins","HST","WR","10","2025","195","36","0.18","47.2","1.31","160","82.1","21.2","31","0.19","38.7","1.32","34","17.4","6.8","5","0.15","8.2","1.32","1","0.5","0.4","0","0.00","0.2","0.00","0","0.0","","0","0.00","","0.00"
"102","Mark Andrews","BLT","TE","10","2025","193","43","0.22","62.3","1.43","35","18.1","6.3","5","0.14","11.3","1.17","126","65.3","29.4","32","0.25","40.6","1.75","32","16.6","26.9","6","0.19","10.3","0.47","0","0.0","","0","0.00","","0.00"
"103","Jonnu Smith","PIT","TE","10","2025","191","36","0.19","57.4","0.85","29","15.2","5.1","5","0.17","8.7","0.31","91","47.6","21.5","16","0.18","27.3","0.99","68","35.6","34.3","15","0.22","20.4","0.94","3","1.6","1.4","0","0.00","0.9","0.00"
"104","Tucker Kraft","GB","TE","8","2025","190","42","0.22","69.3","2.57","24","12.6","5.4","2","0.08","8.8","0.33","65","34.2","20.3","15","0.23","23.7","3.15","101","53.2","52.9","25","0.25","36.9","2.73","0","0.0","","0","0.00","","0.00"
"105","Tyler Lockett","TEN, LV","WR","10","2025","190","28","0.15","47.3","0.77","45","23.7","6.4","10","0.22","11.2","1.31","145","76.3","25.9","18","0.12","36.1","0.61","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"106","Tez Johnson","TB","WR","9","2025","189","31","0.16","56.3","1.38","109","57.7","18.0","18","0.17","32.4","1.01","79","41.8","15.7","13","0.16","23.5","1.91","0","0.0","","0","0.00","","0.00","1","0.5","0.5","0","0.00","0.3","0.00"
"107","Chris Moore","WAS","WR","10","2025","188","20","0.11","57.8","1.02","160","85.1","28.6","18","0.11","49.2","1.06","28","14.9","6.0","2","0.07","8.6","0.79","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"108","AJ Barner","SEA","TE","10","2025","188","34","0.18","64.6","1.63","5","2.7","1.0","0","0.00","1.7","0.00","18","9.6","6.5","2","0.11","6.2","0.39","162","86.2","60.4","31","0.19","55.7","1.83","3","1.6","1.8","1","0.33","1.0","1.00"
"109","Calvin Austin","PIT","WR","8","2025","185","36","0.19","69.3","1.31","90","48.6","19.7","12","0.13","33.7","0.81","93","50.3","27.7","23","0.25","34.8","1.62","0","0.0","","0","0.00","","0.00","2","1.1","1.2","1","0.50","0.7","9.00"
"110","Matthew Golden","GB","WR","9","2025","185","31","0.17","61.1","1.55","99","53.5","19.8","16","0.16","32.7","1.37","82","44.3","23.3","15","0.18","27.1","1.83","4","2.2","1.9","0","0.00","1.3","0.00","0","0.0","","0","0.00","","0.00"
"111","Chimere Dike","TEN","WR","10","2025","183","34","0.19","47.3","1.14","48","26.2","7.0","9","0.19","12.4","1.17","135","73.8","24.6","25","0.19","34.9","1.13","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"112","Jake Tonges","SF","TE","11","2025","182","35","0.19","43.4","1.24","13","7.1","1.8","0","0.00","3.1","0.00","55","30.2","10.9","12","0.22","13.1","0.98","113","62.1","34.6","22","0.19","27.0","1.42","1","0.5","0.3","1","1.00","0.2","11.00"
"113","Colston Loveland","CHI","TE","9","2025","179","33","0.18","53.6","1.84","43","24.0","7.5","4","0.09","12.9","0.95","49","27.4","11.4","12","0.24","14.7","2.20","84","46.9","46.2","15","0.18","25.1","1.94","3","1.7","1.4","2","0.67","0.9","5.67"
"114","Cedric Tillman","CLV","WR","6","2025","176","26","0.15","70.1","0.96","121","68.8","26.9","19","0.16","48.2","0.50","55","31.3","17.0","7","0.13","21.9","1.98","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"115","Dyami Brown","JAX","WR","9","2025","176","36","0.20","49.4","1.24","126","71.6","20.1","27","0.21","35.4","1.51","50","28.4","10.5","9","0.18","14.0","0.58","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"116","Tony Pollard","TEN","RB","10","2025","176","27","0.15","45.5","0.84","5","2.8","0.7","0","0.00","1.3","0.00","12","6.8","2.2","1","0.08","3.1","0.00","0","0.0","","0","0.00","","0.00","159","90.3","62.6","26","0.16","41.1","0.92"
"117","Kyren Williams","LA","RB","10","2025","175","30","0.17","49.2","1.04","1","0.6","0.2","0","0.00","0.3","0.00","19","10.9","4.2","4","0.21","5.3","2.53","0","0.0","","0","0.00","","0.00","155","88.6","77.1","26","0.17","43.5","0.86"
"118","Rachaad White","TB","RB","10","2025","174","30","0.17","45.7","0.83","12","6.9","1.8","4","0.33","3.1","1.42","17","9.8","2.9","1","0.06","4.5","0.65","0","0.0","","0","0.00","","0.00","145","83.3","61.2","24","0.17","38.1","0.82"
"119","Ashton Jeanty","LV","RB","10","2025","173","37","0.21","48.5","0.94","6","3.5","1.0","2","0.33","1.7","1.33","7","4.0","1.5","2","0.29","2.0","1.00","0","0.0","","0","0.00","","0.00","160","92.5","65.8","33","0.21","44.8","0.93"
"120","Tyquan Thornton","KC","WR","10","2025","173","29","0.17","41.5","2.15","108","62.4","15.3","19","0.18","25.9","2.04","65","37.6","10.8","10","0.15","15.6","2.34","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"121","Tommy Tremble","CAR","TE","11","2025","171","24","0.14","43.5","1.08","23","13.5","3.2","1","0.04","5.9","0.35","60","35.1","9.5","10","0.17","15.3","1.43","84","49.1","47.5","13","0.15","21.4","1.07","4","2.3","1.8","0","0.00","1.0","0.00"
"122","Dont'e Thornton","LV","WR","9","2025","170","21","0.12","54.1","0.58","108","63.5","20.3","16","0.15","34.4","0.91","62","36.5","14.9","5","0.08","19.7","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"123","Cole Kmet","CHI","TE","9","2025","168","27","0.16","50.3","1.14","42","25.0","7.3","7","0.17","12.6","1.40","38","22.6","8.9","5","0.13","11.4","1.76","81","48.2","44.0","14","0.17","24.3","0.81","7","4.2","3.1","1","0.14","2.1","0.00"
"124","Jahmyr Gibbs","DET","RB","10","2025","167","43","0.26","49.6","2.00","11","6.6","1.9","5","0.45","3.3","6.73","8","4.8","1.9","3","0.38","2.4","0.50","0","0.0","","0","0.00","","0.00","148","88.6","62.7","35","0.24","43.9","1.71"
"125","Zay Jones","ARZ","WR","8","2025","163","16","0.10","49.8","1.12","114","69.9","20.0","12","0.11","34.9","1.41","49","30.1","10.2","4","0.08","15.0","0.45","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"126","Pat Bryant","DEN","WR","11","2025","161","22","0.14","38.4","1.43","68","42.2","9.7","11","0.16","16.2","1.82","92","57.1","17.4","11","0.12","22.0","1.16","1","0.6","0.5","0","0.00","0.2","0.00","0","0.0","","0","0.00","","0.00"
"127","DeMario Douglas","NE","WR","11","2025","159","33","0.21","39.6","2.09","29","18.2","4.0","9","0.31","7.2","3.45","126","79.2","25.9","23","0.18","31.3","1.71","0","0.0","","0","0.00","","0.00","4","2.5","1.3","1","0.25","1.0","4.25"
"128","Jordan Whittington","LA","WR","10","2025","159","18","0.11","44.7","0.82","64","40.3","10.6","6","0.09","18.0","0.31","94","59.1","20.7","11","0.12","26.4","1.07","0","0.0","","0","0.00","","0.00","1","0.6","0.5","1","1.00","0.3","9.00"
"129","TreVeyon Henderson","NE","RB","11","2025","158","29","0.18","39.3","1.04","11","7.0","1.5","1","0.09","2.7","0.55","6","3.8","1.2","1","0.17","1.5","-0.17","1","0.6","0.5","1","1.00","0.2","1.00","140","88.6","44.0","26","0.19","34.8","1.14"
"130","Dawson Knox","BUF","TE","10","2025","157","20","0.13","45.0","1.13","24","15.3","4.0","2","0.08","6.9","0.63","60","38.2","12.0","7","0.12","17.2","1.32","69","43.9","48.3","11","0.16","19.8","1.22","4","2.5","1.6","0","0.00","1.1","0.00"
"131","Kenneth Gainwell","PIT","RB","10","2025","157","42","0.27","47.1","1.30","9","5.7","1.6","0","0.00","2.7","0.00","22","14.0","5.2","11","0.50","6.6","2.73","21","13.4","10.6","4","0.19","6.3","0.76","105","66.9","50.2","27","0.26","31.5","1.22"
"132","Greg Dortch","ARZ","WR","10","2025","157","22","0.14","36.1","0.89","39","24.8","5.2","8","0.21","9.0","1.36","114","72.6","17.2","13","0.11","26.2","0.71","0","0.0","","0","0.00","","0.00","4","2.5","1.3","1","0.25","0.9","1.25"
"133","Pat Freiermuth","PIT","TE","10","2025","156","28","0.18","46.8","1.79","36","23.1","6.3","2","0.06","10.8","0.47","90","57.7","21.3","22","0.24","27.0","2.52","30","19.2","15.2","4","0.13","9.0","1.17","0","0.0","","0","0.00","","0.00"
"134","Nick Westbrook-Ikhine","MIA","WR","11","2025","153","17","0.11","42.3","0.58","86","56.2","14.3","12","0.14","23.8","0.81","67","43.8","14.0","5","0.07","18.5","0.28","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"135","Josh Reynolds","NYJ","WR","5","2025","153","21","0.14","81.8","0.66","119","77.8","34.7","18","0.15","63.6","0.69","34","22.2","13.5","3","0.09","18.2","0.56","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"136","Marvin Mims","DEN","WR","9","2025","153","32","0.21","43.7","1.53","107","69.9","18.5","17","0.16","30.6","1.14","43","28.1","9.9","13","0.30","12.3","1.91","0","0.0","","0","0.00","","0.00","3","2.0","1.5","2","0.67","0.9","10.00"
"137","Jaylin Lane","WAS","WR","11","2025","153","29","0.19","40.6","1.47","90","58.8","13.8","19","0.21","23.9","1.44","63","41.2","11.2","10","0.16","16.7","1.51","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"138","Ricky Pearsall","SF","WR","5","2025","152","31","0.20","79.6","2.15","116","76.3","34.3","20","0.17","60.7","1.92","36","23.7","16.9","11","0.31","18.8","2.89","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"139","Saquon Barkley","PHI","RB","10","2025","152","33","0.22","47.2","1.36","20","13.2","3.5","5","0.25","6.2","0.65","12","7.9","2.5","2","0.17","3.7","0.33","0","0.0","","0","0.00","","0.00","120","78.9","69.4","25","0.21","37.3","1.58"
"140","Christian Kirk","HST","WR","6","2025","150","28","0.19","59.3","0.96","40","26.7","8.8","5","0.13","15.8","0.63","108","72.0","34.8","22","0.20","42.7","1.05","0","0.0","","0","0.00","","0.00","2","1.3","1.3","1","0.50","0.8","3.00"
"141","Tre Harris","LAC","WR","11","2025","150","19","0.13","33.0","0.91","90","60.0","10.9","12","0.13","19.8","1.10","56","37.3","8.8","6","0.11","12.3","0.63","3","2.0","1.6","1","0.33","0.7","1.00","1","0.7","0.3","0","0.00","0.2","0.00"
"142","Noah Fant","CIN","TE","9","2025","148","33","0.22","39.6","1.73","13","8.8","1.9","1","0.08","3.5","0.00","34","23.0","6.8","2","0.06","9.1","0.26","99","66.9","55.6","30","0.30","26.5","2.49","2","1.4","0.7","0","0.00","0.5","0.00"
"143","Calvin Ridley","TEN","WR","7","2025","148","34","0.23","53.0","2.05","113","76.4","23.3","28","0.25","40.5","2.14","35","23.6","9.0","6","0.17","12.5","1.74","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"144","Tyler Higbee","LA","TE","9","2025","147","30","0.20","47.7","1.29","21","14.3","4.1","1","0.05","6.8","0.00","37","25.2","9.7","5","0.14","12.0","0.84","88","59.9","47.8","24","0.27","28.6","1.81","1","0.7","0.6","0","0.00","0.3","0.00"
"145","Ja'Tavion Sanders","CAR","TE","8","2025","147","29","0.20","50.0","1.16","26","17.7","4.8","3","0.12","8.8","0.27","88","59.9","18.3","21","0.24","29.9","1.60","32","21.8","25.6","5","0.16","10.9","0.69","1","0.7","0.6","0","0.00","0.3","0.00"
"146","David Sills","ATL","WR","10","2025","146","8","0.05","41.1","0.23","75","51.4","11.6","3","0.04","21.1","0.15","71","48.6","14.6","5","0.07","20.0","0.32","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"147","Noah Gray","KC","TE","10","2025","145","21","0.14","34.8","0.74","27","18.6","3.8","3","0.11","6.5","0.59","47","32.4","7.8","8","0.17","11.3","0.70","69","47.6","41.3","8","0.12","16.5","0.71","2","1.4","0.8","1","0.50","0.5","4.00"
"148","Travis Etienne","JAX","RB","10","2025","144","30","0.21","37.1","0.90","6","4.2","0.9","1","0.17","1.5","1.83","16","11.1","3.1","4","0.25","4.1","0.94","0","0.0","","0","0.00","","0.00","122","84.7","48.0","25","0.20","31.4","0.85"
"149","Demarcus Robinson","SF","WR","8","2025","143","23","0.16","48.5","1.08","94","65.7","18.1","16","0.17","31.9","1.38","48","33.6","13.4","7","0.15","16.3","0.52","1","0.7","0.4","0","0.00","0.3","0.00","0","0.0","","0","0.00","","0.00"
"150","Hunter Renfrow","CAR","WR","6","2025","143","23","0.16","63.6","0.62","28","19.6","6.8","5","0.18","12.4","1.25","115","80.4","30.3","18","0.16","51.1","0.47","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"151","James Cook","BUF","RB","10","2025","142","23","0.16","40.7","1.34","0","0.0","","0","0.00","","0.00","2","1.4","0.4","0","0.00","0.6","0.00","0","0.0","","0","0.00","","0.00","140","98.6","56.9","22","0.16","40.1","1.36"
"152","KaVontae Turpin","DAL","WR","8","2025","142","24","0.17","42.1","1.30","35","24.6","5.6","11","0.31","10.4","2.17","106","74.6","22.2","13","0.12","31.5","1.02","0","0.0","","0","0.00","","0.00","1","0.7","0.4","0","0.00","0.3","0.00"
"153","Kalif Raymond","DET","WR","10","2025","142","17","0.12","42.1","0.80","86","60.6","14.7","8","0.09","25.5","0.67","56","39.4","13.1","9","0.16","16.6","0.98","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"154","D'Andre Swift","CHI","RB","9","2025","142","32","0.23","42.9","1.48","8","5.6","1.4","2","0.25","2.4","0.00","10","7.0","2.3","2","0.20","3.0","5.80","5","3.5","2.8","1","0.20","1.5","0.40","119","83.8","55.1","27","0.23","36.0","1.26"
"155","Gunnar Helm","TEN","TE","10","2025","140","29","0.21","36.2","1.54","12","8.6","1.8","1","0.08","3.1","0.08","50","35.7","9.1","13","0.26","12.9","1.44","78","55.7","42.4","15","0.19","20.2","1.83","0","0.0","","0","0.00","","0.00"
"156","George Kittle","SF","TE","6","2025","140","30","0.21","71.1","1.79","12","8.6","3.5","2","0.17","6.1","0.83","47","33.6","20.1","9","0.19","23.9","1.66","81","57.9","50.0","19","0.23","41.1","2.01","0","0.0","","0","0.00","","0.00"
"157","Jerome Ford","CLV","RB","10","2025","139","25","0.18","34.2","0.55","5","3.6","0.7","1","0.20","1.2","0.00","1","0.7","0.2","0","0.00","0.2","0.00","17","12.2","6.6","0","0.00","4.2","0.00","116","83.5","45.1","24","0.21","28.6","0.66"
"158","Rico Dowdle","CAR","RB","11","2025","138","28","0.20","35.1","1.43","24","17.4","3.4","1","0.04","6.1","0.46","7","5.1","1.1","1","0.14","1.8","0.00","0","0.0","","0","0.00","","0.00","107","77.5","47.6","25","0.23","27.2","1.74"
"159","Josh Jacobs","GB","RB","10","2025","138","34","0.25","40.0","1.72","9","6.5","1.6","2","0.22","2.6","3.89","2","1.4","0.5","1","0.50","0.6","15.50","7","5.1","3.0","2","0.29","2.0","1.43","120","87.0","52.4","29","0.24","34.8","1.34"
"160","Tyler Johnson","NYJ","WR","9","2025","138","14","0.10","43.5","1.36","80","58.0","14.3","10","0.13","25.2","1.84","58","42.0","14.0","4","0.07","18.3","0.69","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"161","Dontayvion Wicks","GB","WR","8","2025","138","28","0.20","51.1","1.31","67","48.6","15.1","15","0.22","24.8","1.45","70","50.7","21.5","13","0.19","25.9","1.20","1","0.7","0.5","0","0.00","0.4","0.00","0","0.0","","0","0.00","","0.00"
"162","Chuba Hubbard","CAR","RB","9","2025","137","25","0.18","41.3","0.92","28","20.4","4.6","2","0.07","8.4","0.57","7","5.1","1.3","2","0.29","2.1","4.57","0","0.0","","0","0.00","","0.00","102","74.5","51.8","19","0.19","30.7","0.75"
"163","Woody Marks","HST","RB","10","2025","134","25","0.19","32.4","1.42","6","4.5","0.8","1","0.17","1.5","0.00","6","4.5","1.2","1","0.17","1.5","1.00","0","0.0","","0","0.00","","0.00","122","91.0","50.0","23","0.19","29.5","1.51"
"164","Michael Mayer","LV","TE","8","2025","134","31","0.23","45.7","1.25","11","8.2","2.1","1","0.09","3.8","0.00","29","21.6","7.6","6","0.21","9.9","1.00","90","67.2","54.9","21","0.23","30.7","1.39","4","3.0","2.0","2","0.50","1.4","2.75"
"165","Dalton Kincaid","BUF","TE","8","2025","133","36","0.27","47.0","3.37","32","24.1","6.6","6","0.19","11.3","3.25","72","54.1","17.9","19","0.26","25.4","3.03","29","21.8","25.2","11","0.38","10.2","4.34","0","0.0","","0","0.00","","0.00"
"166","Rhamondre Stevenson","NE","RB","8","2025","132","19","0.14","45.7","1.28","8","6.1","1.5","2","0.25","2.8","1.88","1","0.8","0.3","0","0.00","0.3","0.00","0","0.0","","0","0.00","","0.00","123","93.2","56.7","17","0.14","42.6","1.25"
"167","Jaylin Noel","HST","WR","10","2025","129","25","0.19","31.2","1.62","41","31.8","5.4","5","0.12","9.9","1.29","87","67.4","17.5","20","0.23","21.1","1.79","0","0.0","","0","0.00","","0.00","1","0.8","0.4","0","0.00","0.2","0.00"
"168","Isiah Pacheco","KC","RB","8","2025","128","17","0.13","38.8","0.34","11","8.6","2.0","0","0.00","3.3","0.00","9","7.0","1.9","0","0.00","2.7","0.00","0","0.0","","0","0.00","","0.00","108","84.4","56.8","17","0.16","32.7","0.40"
"169","Ray-Ray McCloud","ATL, NYG","WR","6","2025","128","13","0.10","56.6","0.54","87","68.0","20.3","6","0.07","38.5","-0.08","41","32.0","12.7","7","0.17","18.1","1.85","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"170","Jamari Thrash","CLV","WR","9","2025","128","14","0.11","34.3","0.84","56","43.8","8.4","7","0.13","15.0","0.68","72","56.3","15.3","7","0.10","19.3","0.96","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"171","Ryan Flournoy","DAL","WR","9","2025","127","23","0.18","34.4","1.57","79","62.2","11.5","10","0.13","21.4","1.04","48","37.8","9.6","13","0.27","13.0","2.46","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"172","Tyrone Tracy","NYG","RB","9","2025","127","23","0.18","37.1","1.09","8","6.3","1.3","0","0.00","2.3","0.00","9","7.1","1.7","1","0.11","2.6","0.67","0","0.0","","0","0.00","","0.00","110","86.6","44.7","22","0.20","32.2","1.20"
"173","Malik Nabers","NYG","WR","4","2025","127","32","0.25","80.4","2.13","97","76.4","35.1","26","0.27","61.4","2.16","30","23.6","12.7","6","0.20","19.0","2.03","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"174","Tory Horton","SEA","WR","8","2025","126","22","0.17","54.1","1.28","99","78.6","24.6","17","0.17","42.5","1.07","27","21.4","12.4","5","0.19","11.6","2.04","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"175","Breece Hall","NYJ","RB","10","2025","125","28","0.22","35.5","1.81","6","4.8","1.0","2","0.33","1.7","2.17","5","4.0","1.1","1","0.20","1.4","0.20","0","0.0","","0","0.00","","0.00","114","91.2","49.8","25","0.22","32.4","1.86"
"176","Austin Hooper","NE","TE","10","2025","125","15","0.12","34.2","1.39","21","16.8","3.2","1","0.05","5.8","0.14","9","7.2","2.1","2","0.22","2.5","1.33","94","75.2","48.0","12","0.13","25.8","1.69","1","0.8","0.3","0","0.00","0.3","0.00"
"177","Cam Skattebo","NYG","RB","8","2025","122","30","0.25","40.0","1.70","7","5.7","1.3","2","0.29","2.3","2.14","7","5.7","1.6","2","0.29","2.3","0.57","0","0.0","","0","0.00","","0.00","108","88.5","46.4","26","0.24","35.4","1.74"
"178","Roman Wilson","PIT","WR","10","2025","121","17","0.14","36.3","1.37","99","81.8","17.4","14","0.14","29.7","1.61","22","18.2","5.2","3","0.14","6.6","0.32","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"179","Isaiah Likely","BLT","TE","7","2025","121","16","0.13","55.8","0.98","17","14.0","4.3","2","0.12","7.8","0.65","82","67.8","26.2","10","0.12","37.8","1.02","22","18.2","31.9","4","0.18","10.1","1.05","0","0.0","","0","0.00","","0.00"
"180","Kimani Vidal","LAC","RB","8","2025","120","15","0.13","36.5","0.43","4","3.3","0.7","0","0.00","1.2","0.00","3","2.5","0.7","1","0.33","0.9","4.33","1","0.8","0.7","0","0.00","0.3","0.00","112","93.3","54.4","14","0.13","34.0","0.35"
"181","Kyle Juszczyk","SF","FB","11","2025","120","21","0.18","28.6","1.33","14","11.7","1.9","3","0.21","3.3","1.57","35","29.2","7.0","7","0.20","8.4","1.23","49","40.8","15.0","4","0.08","11.7","0.76","22","18.3","7.4","7","0.32","5.3","2.64"
"182","Josh Palmer","BUF","WR","7","2025","118","25","0.21","47.6","2.13","91","77.1","21.0","20","0.22","36.7","2.21","27","22.9","7.4","5","0.19","10.9","1.85","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"183","RJ Harvey","DEN","RB","11","2025","117","32","0.27","27.9","1.67","20","17.1","2.8","2","0.10","4.8","0.45","16","13.7","3.0","4","0.25","3.8","1.13","3","2.6","1.6","0","0.00","0.7","0.00","78","66.7","31.3","26","0.33","18.6","2.15"
"184","Elijah Arroyo","SEA","TE","10","2025","117","22","0.19","40.2","1.49","25","21.4","4.9","4","0.16","8.6","0.88","20","17.1","7.2","3","0.15","6.9","0.25","71","60.7","26.5","14","0.20","24.4","1.90","1","0.9","0.6","1","1.00","0.3","12.00"
"185","Omarion Hampton","LAC","RB","5","2025","117","21","0.18","55.7","1.16","5","4.3","1.3","1","0.20","2.4","3.80","6","5.1","1.9","3","0.50","2.9","3.00","2","1.7","2.5","1","0.50","1.0","2.50","104","88.9","75.4","16","0.15","49.5","0.90"
"186","Jalen Coker","CAR","WR","5","2025","116","14","0.12","69.0","1.02","40","34.5","13.2","7","0.18","23.8","1.30","76","65.5","30.2","7","0.09","45.2","0.87","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"187","Ty Johnson","BUF","RB","10","2025","114","12","0.11","32.7","1.02","19","16.7","3.1","0","0.00","5.4","0.00","20","17.5","4.0","3","0.15","5.7","3.45","0","0.0","","0","0.00","","0.00","75","65.8","30.5","9","0.12","21.5","0.48"
"188","Daniel Bellinger","NYG","TE","10","2025","114","15","0.13","30.1","1.77","17","14.9","2.6","2","0.12","4.5","0.71","42","36.8","7.7","5","0.12","11.1","1.83","44","38.6","33.6","7","0.16","11.6","2.16","11","9.6","3.9","1","0.09","2.9","1.64"
"189","DeAndre Hopkins","BLT","WR","10","2025","114","22","0.19","36.8","1.92","85","74.6","15.2","19","0.22","27.4","2.42","29","25.4","6.8","3","0.10","9.4","0.45","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"190","Elijah Higgins","ARZ","TE","10","2025","114","19","0.17","26.2","1.42","11","9.6","1.5","1","0.09","2.5","0.64","37","32.5","5.6","5","0.14","8.5","0.68","61","53.5","28.9","11","0.18","14.0","1.82","5","4.4","1.6","2","0.40","1.1","3.80"
"191","Adam Thielen","MIN","WR","10","2025","113","17","0.15","30.5","0.61","52","46.0","7.8","13","0.25","14.1","0.85","60","53.1","12.3","4","0.07","16.2","0.42","0","0.0","","0","0.00","","0.00","1","0.9","0.4","0","0.00","0.3","0.00"
"192","Kyle Williams","NE","WR","11","2025","112","11","0.10","27.9","0.82","98","87.5","13.4","9","0.09","24.4","0.94","14","12.5","2.9","2","0.14","3.5","0.00","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"193","Jordan Mason","MIN","RB","10","2025","112","14","0.13","30.3","0.39","4","3.6","0.6","0","0.00","1.1","0.00","2","1.8","0.4","0","0.00","0.5","0.00","11","9.8","5.9","0","0.00","3.0","0.00","95","84.8","41.3","14","0.15","25.7","0.46"
"194","Brenton Strange","JAX","TE","5","2025","110","24","0.22","59.1","1.85","21","19.1","6.5","8","0.38","11.3","2.76","42","38.2","16.7","9","0.21","22.6","2.02","47","42.7","62.7","7","0.15","25.3","1.30","0","0.0","","0","0.00","","0.00"
"195","Justice Hill","BLT","RB","9","2025","110","27","0.25","39.4","1.54","6","5.5","1.2","0","0.00","2.2","0.00","8","7.3","2.1","5","0.63","2.9","1.25","0","0.0","","0","0.00","","0.00","96","87.3","50.3","22","0.23","34.4","1.66"
"196","Kareem Hunt","KC","RB","10","2025","109","12","0.11","26.1","0.61","6","5.5","0.8","0","0.00","1.4","0.00","8","7.3","1.3","0","0.00","1.9","0.00","1","0.9","0.6","0","0.00","0.2","0.00","94","86.2","39.7","12","0.13","22.5","0.70"
"197","Hunter Long","JAX","TE","8","2025","108","16","0.15","32.5","0.79","23","21.3","4.0","2","0.09","6.9","0.48","26","24.1","5.9","3","0.12","7.8","0.62","58","53.7","39.2","11","0.19","17.5","1.00","1","0.9","0.5","0","0.00","0.3","0.00"
"198","Tutu Atwell","LA","WR","6","2025","108","9","0.08","47.4","1.52","38","35.2","9.7","5","0.13","16.7","0.11","70","64.8","22.8","4","0.06","30.7","2.29","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"199","Rashee Rice","KC","WR","4","2025","107","35","0.33","64.1","2.36","58","54.2","20.9","16","0.28","34.7","2.26","45","42.1","19.1","17","0.38","26.9","2.27","0","0.0","","0","0.00","","0.00","4","3.7","4.5","2","0.50","2.4","5.00"
"200","Darnell Washington","PIT","TE","10","2025","107","26","0.24","32.1","1.95","18","16.8","3.2","7","0.39","5.4","2.44","17","15.9","4.0","1","0.06","5.1","0.00","72","67.3","36.4","18","0.25","21.6","2.29","0","0.0","","0","0.00","","0.00"
"201","Devaughn Vele","NO","WR","9","2025","106","13","0.12","31.1","0.51","59","55.7","9.8","8","0.14","17.3","0.51","44","41.5","8.0","4","0.09","12.9","0.41","3","2.8","2.7","1","0.33","0.9","2.00","0","0.0","","0","0.00","","0.00"
"202","Kyle Monangai","CHI","RB","10","2025","106","13","0.12","28.3","0.92","8","7.5","1.2","0","0.00","2.1","0.00","2","1.9","0.4","0","0.00","0.5","0.00","2","1.9","1.0","0","0.00","0.5","0.00","94","88.7","37.6","13","0.14","25.1","1.03"
"203","Luke Musgrave","GB","TE","10","2025","105","15","0.14","30.4","1.05","9","8.6","1.6","1","0.11","2.6","0.00","36","34.3","8.7","6","0.17","10.4","1.03","60","57.1","26.0","8","0.13","17.4","1.22","0","0.0","","0","0.00","","0.00"
"204","Terry McLaurin","WAS","WR","4","2025","105","21","0.20","71.4","1.93","90","85.7","35.4","17","0.19","61.2","2.21","15","14.3","6.6","4","0.27","10.2","0.27","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"205","Christian Watson","GB","WR","4","2025","105","17","0.16","71.9","2.23","74","70.5","28.7","10","0.14","50.7","1.39","28","26.7","15.1","5","0.18","19.2","3.79","3","2.9","3.4","2","0.67","2.1","8.33","0","0.0","","0","0.00","","0.00"
