"Player Details","","","","","","Overall","","","","","Wide","","","","","","","Slot","","","","","","","Inline","","","","","","","Backfield","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"11","Michael Wilson","ARZ","WR","10","2025","344","55","0.16","79.1","1.21","218","63.4","28.8","41","0.19","50.1","1.26","126","36.6","19.1","14","0.11","29.0","1.13","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"12","Courtland Sutton","DEN","WR","11","2025","339","71","0.21","80.9","1.91","276","81.4","39.2","58","0.21","65.9","1.88","63","18.6","11.9","13","0.21","15.0","2.08","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"13","Chris Olave","NO","WR","10","2025","337","91","0.27","87.3","1.97","189","56.1","28.1","52","0.28","49.0","2.10","147","43.6","23.8","39","0.27","38.1","1.82","0","0.0","","0","0.00","","0.00","1","0.3","0.4","0","0.00","0.3","0.00"
"14","Tre Tucker","LV","WR","10","2025","327","54","0.17","91.6","1.54","272","83.2","44.4","48","0.18","76.2","1.69","54","16.5","11.4","5","0.09","15.1","0.56","1","0.3","0.5","1","1.00","0.3","13.00","0","0.0","","0","0.00","","0.00"
"15","Rashid Shaheed","NO, SEA","WR","11","2025","326","71","0.22","78.9","1.62","205","62.9","28.2","47","0.23","49.6","1.62","121","37.1","19.3","24","0.20","29.3","1.63","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"16","Christian McCaffrey","SF","RB","11","2025","321","90","0.28","76.6","2.28","15","4.7","2.0","5","0.33","3.6","2.33","60","18.7","11.9","17","0.28","14.3","2.30","6","1.9","1.8","1","0.17","1.4","4.83","240","74.8","80.5","66","0.28","57.3","2.13"
"17","Emeka Egbuka","TB","WR","10","2025","320","84","0.26","84.0","2.24","207","64.7","30.4","60","0.29","54.3","2.71","113","35.3","19.4","24","0.21","29.7","1.38","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"18","Troy Franklin","DEN","WR","11","2025","315","79","0.25","75.2","1.62","167","53.0","23.7","46","0.28","39.9","1.87","148","47.0","28.0","33","0.22","35.3","1.32","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"19","Rome Odunze","CHI","WR","10","2025","310","73","0.24","82.7","1.94","194","62.6","30.0","54","0.28","51.7","2.42","115","37.1","23.8","19","0.17","30.7","1.13","0","0.0","","0","0.00","","0.00","1","0.3","0.4","0","0.00","0.3","0.00"
"20","Kyle Pitts","ATL","TE","10","2025","310","62","0.20","87.3","1.40","69","22.3","10.7","12","0.17","19.4","1.26","97","31.3","20.0","20","0.21","27.3","0.94","144","46.5","86.2","30","0.21","40.6","1.78","0","0.0","","0","0.00","","0.00"
"21","Keenan Allen","LAC","WR","11","2025","309","82","0.27","67.9","1.92","182","58.9","22.0","48","0.26","40.0","1.69","127","41.1","19.9","34","0.27","27.9","2.24","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"22","Theo Johnson","NYG","TE","11","2025","308","54","0.18","73.7","1.14","46","14.9","6.2","9","0.20","11.0","1.26","163","52.9","26.2","25","0.15","39.0","1.40","82","26.6","59.0","18","0.22","19.6","0.76","17","5.5","5.6","2","0.12","4.1","0.06"
"23","Michael Pittman","IND","WR","10","2025","306","68","0.22","84.1","1.90","219","71.6","34.4","53","0.24","60.2","2.09","83","27.1","17.0","12","0.14","22.8","1.22","4","1.3","1.9","3","0.75","1.1","5.25","0","0.0","","0","0.00","","0.00"
"24","DeVonta Smith","PHI","WR","10","2025","305","68","0.22","94.7","2.18","127","41.6","22.3","32","0.25","39.4","3.19","178","58.4","36.5","36","0.20","55.3","1.46","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"25","Marvin Harrison","ARZ","WR","9","2025","303","62","0.20","80.2","1.73","233","76.9","35.5","53","0.23","61.6","1.97","70","23.1","12.4","9","0.13","18.5","0.94","0","0.0","","0","0.00","","0.00","0","0.0","","0","0.00","","0.00"
"26","Travis Kelce","KC","TE","10","2025","301","65","0.22","72.2","2.10","74","24.6","10.5","11","0.15","17.7","1.82","142","47.2","23.5","34","0.24","34.1","2.10","82","27.2","49.1","19","0.23","19.7","2.21","3","1.0","1.3","1","0.33","0.7","5.67"
"27","Andrei Iosivas","CIN","WR","10","2025","300","35","0.12","74.4","0.85","97","32.3","13.1","18","0.19","24.1","1.56","202","67.3","37.1","17","0.08","50.1","0.52","0","0.0","","0","0.00","","0.00","1","0.3","0.3","0","0.00","0.2","0.00"
