"Player Details","","","","","","Overall","","","","","Horizontally Breaking","","","","","","Vertically Breaking","","","","","","Static","","","","","","Shallow/Underneath","","","","","","Backfield","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE"
"170","Tyrone Tracy","NYG","RB","9","2025","126","0.000","1.09","0.18","0.0","2","1.6","0.000","","","0.0","1","0.8","0.000","","","0.0","","0.0","","","","0.0","13","10.3","0.000","0.43","0.07","0.0","110","87.3","0.000","1.20","0.20","0.0"
"171","Jaylin Noel","HST","WR","10","2025","126","-0.016","1.62","0.19","4.0","38","30.2","-0.026","3.08","0.23","7.9","45","35.7","0.000","0.16","1.16","4.4","22","17.5","-0.045","","","0.0","20","15.9","0.000","1.62","0.43","0.0","1","0.8","0.000","","","0.0"
"172","Dalton Kincaid","BUF","TE","8","2025","126","0.103","3.37","0.27","11.9","46","36.5","0.152","5.52","0.38","19.6","42","33.3","0.119","0.11","1.32","11.9","25","19.8","0.040","0.27","2.00","4.0","13","10.3","0.000","3.21","0.36","0.0","","0.0","","28.00","1.00","0.0"
"173","Tory Horton","SEA","WR","8","2025","125","0.080","1.28","0.17","14.4","40","32.0","0.200","1.98","0.25","22.5","68","54.4","0.029","0.12","0.74","11.8","13","10.4","0.000","0.15","","7.7","4","3.2","0.000","6.40","0.40","0.0","","0.0","","","","0.0"
"174","Breece Hall","NYJ","RB","10","2025","124","0.024","1.81","0.22","1.6","3","2.4","0.000","1.67","0.33","0.0","2","1.6","0.000","","","0.0","3","2.4","0.000","0.33","2.67","0.0","3","2.4","0.000","0.33","0.33","0.0","113","91.1","0.027","1.86","0.22","1.8"
"175","Malik Nabers","NYG","WR","4","2025","123","0.049","2.13","0.25","5.7","39","31.7","0.077","1.54","0.21","7.7","54","43.9","0.074","0.25","2.53","5.6","25","20.3","0.000","0.30","2.74","4.0","5","4.1","-0.200","-0.33","0.33","0.0","","0.0","","","","0.0"
"176","Austin Hooper","NE","TE","10","2025","121","-0.017","1.39","0.12","1.7","34","28.1","0.000","0.74","0.09","2.9","40","33.1","-0.050","0.19","2.33","2.5","9","7.4","0.000","","","0.0","36","29.8","0.000","1.14","0.08","0.0","2","1.7","0.000","3.50","0.50","0.0"
"177","Isaiah Likely","BLT","TE","7","2025","120","0.017","0.98","0.13","4.2","42","35.0","0.071","1.83","0.19","7.1","39","32.5","0.026","0.03","","5.1","20","16.7","0.000","0.25","1.90","0.0","19","15.8","-0.105","0.16","0.11","0.0","","0.0","","","","0.0"
"178","Cam Skattebo","NYG","RB","8","2025","119","0.008","1.70","0.25","0.8","2","1.7","0.000","","","0.0","2","1.7","0.000","","","0.0","1","0.8","0.000","","","0.0","9","7.6","0.000","2.11","0.44","0.0","105","88.2","0.010","1.74","0.24","1.0"
"179","Kimani Vidal","LAC","RB","8","2025","117","0.009","0.43","0.13","0.9","","0.0","","","","0.0","2","1.7","0.000","","","0.0","1","0.9","0.000","","","0.0","6","5.1","0.000","2.17","0.17","0.0","108","92.3","0.009","0.35","0.13","0.9"
"180","Kyle Juszczyk","SF","FB","11","2025","117","-0.009","1.33","0.18","1.7","30","25.6","-0.067","1.87","0.20","3.3","19","16.2","0.000","0.10","0.25","0.0","10","8.5","0.000","","","0.0","38","32.5","0.000","1.18","0.18","0.0","20","17.1","0.050","2.52","0.29","5.0"
"181","Jalen Coker","CAR","WR","5","2025","115","0.000","1.02","0.12","9.6","61","53.0","0.033","1.63","0.15","14.8","27","23.5","0.037","0.04","","3.7","11","9.6","-0.273","0.18","0.73","0.0","16","13.9","0.000","0.56","0.13","6.3","","0.0","","","","0.0"
"182","Josh Palmer","BUF","WR","7","2025","114","0.114","2.13","0.21","14.9","45","39.5","0.133","2.81","0.32","24.4","39","34.2","0.179","0.10","2.10","15.4","25","21.9","0.000","0.15","0.88","0.0","5","4.4","0.000","2.33","0.33","0.0","","0.0","","","","0.0"
"183","RJ Harvey","DEN","RB","11","2025","114","0.026","1.67","0.27","1.8","5","4.4","0.000","1.20","0.20","0.0","12","10.5","0.000","","","0.0","8","7.0","0.000","","","0.0","17","14.9","0.000","1.59","0.41","0.0","72","63.2","0.042","2.16","0.32","2.8"
"184","Omarion Hampton","LAC","RB","5","2025","114","0.009","1.16","0.18","0.9","1","0.9","0.000","","","0.0","3","2.6","0.000","","","0.0","4","3.5","0.000","0.50","6.00","0.0","6","5.3","0.000","2.57","0.43","0.0","100","87.7","0.010","0.92","0.16","1.0"
"185","Roman Wilson","PIT","WR","10","2025","113","0.062","1.37","0.14","8.0","46","40.7","0.087","0.88","0.13","8.7","44","38.9","0.068","0.08","1.38","9.1","17","15.0","0.000","0.06","0.67","5.9","6","5.3","0.000","6.57","0.86","0.0","","0.0","","","","0.0"
"186","DeAndre Hopkins","BLT","WR","10","2025","113","-0.088","1.92","0.19","6.2","39","34.5","-0.026","2.18","0.18","10.3","45","39.8","-0.178","0.22","1.76","4.4","21","18.6","0.000","0.14","0.86","4.8","8","7.1","-0.125","4.38","0.25","0.0","","0.0","","","","0.0"
"187","Elijah Arroyo","SEA","TE","10","2025","113","0.088","1.49","0.19","8.0","41","36.3","0.049","0.46","0.17","7.3","39","34.5","0.154","0.12","1.29","12.8","16","14.2","0.125","0.19","1.44","6.3","13","11.5","0.000","4.47","0.40","0.0","4","3.5","0.000","3.00","0.25","0.0"
"188","Adam Thielen","MIN","WR","10","2025","112","0.054","0.61","0.15","8.9","29","25.9","0.172","1.10","0.20","20.7","18","16.1","-0.056","0.06","","0.0","49","43.8","0.041","0.18","0.61","8.2","15","13.4","0.000","0.40","0.07","0.0","1","0.9","0.000","","","0.0"
"189","Ty Johnson","BUF","RB","10","2025","111","0.018","1.02","0.11","1.8","11","9.9","0.000","","","0.0","7","6.3","0.000","0.14","","0.0","6","5.4","0.000","","","0.0","16","14.4","0.000","4.06","0.18","0.0","71","64.0","0.028","0.64","0.11","2.8"
"190","Kyle Williams","NE","WR","11","2025","111","-0.009","0.82","0.10","8.1","36","32.4","0.056","2.16","0.11","11.1","64","57.7","-0.016","0.08","0.19","7.8","10","9.0","-0.200","0.20","","0.0","1","0.9","0.000","","","0.0","","0.0","","","","0.0"
"191","Jordan Mason","MIN","RB","10","2025","111","0.009","0.39","0.13","0.9","4","3.6","0.000","","","0.0","1","0.9","0.000","","","0.0","3","2.7","0.000","","","0.0","10","9.0","0.000","","","0.0","93","83.8","0.011","0.47","0.15","1.1"
"192","Elijah Higgins","ARZ","TE","10","2025","111","0.009","1.42","0.17","3.6","30","27.0","0.067","2.23","0.23","13.3","30","27.0","-0.033","0.03","","0.0","14","12.6","0.000","0.07","0.47","0.0","32","28.8","0.000","2.09","0.25","0.0","5","4.5","0.000","3.80","0.40","0.0"
"193","Brenton Strange","JAX","TE","5","2025","109","0.037","1.85","0.22","5.5","31","28.4","0.097","2.61","0.29","12.9","24","22.0","0.042","0.20","1.56","8.3","19","17.4","0.000","0.11","1.05","0.0","34","31.2","0.000","1.88","0.24","0.0","1","0.9","0.000","","","0.0"
"194","Daniel Bellinger","NYG","TE","10","2025","109","-0.055","1.77","0.13","2.8","24","22.0","-0.083","0.58","0.04","12.5","21","19.3","-0.095","0.26","4.70","0.0","20","18.3","-0.050","0.15","1.70","0.0","34","31.2","-0.029","0.78","0.11","0.0","10","9.2","0.000","1.64","0.09","0.0"
"195","Justice Hill","BLT","RB","9","2025","108","0.000","1.54","0.25","0.0","2","1.9","0.000","3.00","1.00","0.0","1","0.9","0.000","","","0.0","6","5.6","0.000","0.14","0.57","0.0","5","4.6","0.000","","0.40","0.0","94","87.0","0.000","1.67","0.23","0.0"
"196","Hunter Long","JAX","TE","8","2025","106","-0.038","0.79","0.15","2.8","33","31.1","-0.121","0.24","0.12","3.0","24","22.6","0.000","","","0.0","21","19.8","-0.095","0.19","1.10","0.0","26","24.5","0.077","2.00","0.30","7.7","2","1.9","0.000","","","0.0"
"197","Devaughn Vele","NO","WR","9","2025","106","0.000","0.51","0.12","2.8","28","26.4","0.000","0.71","0.21","3.6","44","41.5","0.000","0.07","","4.5","30","28.3","0.000","0.13","1.13","0.0","4","3.8","0.000","","","0.0","","0.0","","","","0.0"
"198","Tutu Atwell","LA","WR","6","2025","106","0.057","1.52","0.08","6.6","27","25.5","0.185","1.41","0.19","18.5","53","50.0","0.038","0.04","2.22","3.8","15","14.2","-0.067","0.07","0.27","0.0","11","10.4","0.000","","0.09","0.0","","0.0","","","","0.0"
"199","Kareem Hunt","KC","RB","10","2025","103","0.000","0.61","0.11","0.0","","0.0","","","","0.0","8","7.8","0.000","","","0.0","","0.0","","","","0.0","8","7.8","0.000","","","0.0","87","84.5","0.000","0.71","0.13","0.0"
"200","Allen Lazard","NYJ","WR","6","2025","103","-0.039","0.43","0.11","2.9","25","24.3","0.000","0.12","0.04","4.0","49","47.6","-0.041","0.08","0.08","4.1","17","16.5","-0.059","0.12","0.47","0.0","12","11.7","-0.083","2.50","0.33","0.0","","0.0","","","","0.0"
"201","Terry McLaurin","WAS","WR","4","2025","103","-0.019","1.93","0.20","9.7","28","27.2","-0.071","1.14","0.07","3.6","40","38.8","0.025","0.15","2.03","15.0","32","31.1","-0.031","0.38","2.47","9.4","3","2.9","0.000","2.20","0.20","0.0","","0.0","","","","0.0"
"202","Luke Musgrave","GB","TE","10","2025","103","0.010","1.05","0.14","2.9","24","23.3","0.042","0.84","0.04","4.2","27","26.2","0.000","0.07","0.82","3.7","20","19.4","-0.050","0.25","1.80","0.0","32","31.1","0.031","0.94","0.22","3.1","","0.0","","","","0.0"
"203","Christian Watson","GB","WR","4","2025","103","0.010","2.23","0.16","9.7","36","35.0","0.000","3.41","0.22","11.1","52","50.5","0.019","0.12","1.96","9.6","12","11.7","0.000","0.15","0.08","8.3","3","2.9","0.000","1.67","0.33","0.0","","0.0","","","","0.0"
"204","Kyle Monangai","CHI","RB","10","2025","102","0.020","0.92","0.12","2.0","","0.0","","","","0.0","5","4.9","0.000","","","0.0","1","1.0","0.000","","","0.0","5","4.9","0.000","","","0.0","91","89.2","0.022","1.03","0.14","2.2"
"205","Isaiah Davis","NYJ","RB","10","2025","101","0.010","1.16","0.20","1.0","2","2.0","0.000","","","0.0","2","2.0","0.000","","","0.0","4","4.0","0.000","","","0.0","6","5.9","0.000","5.43","0.29","0.0","87","86.1","0.011","0.92","0.21","1.1"
"206","Darnell Washington","PIT","TE","10","2025","101","0.040","1.95","0.24","6.9","29","28.7","0.034","2.55","0.34","10.3","29","28.7","0.103","0.17","1.57","10.3","16","15.8","-0.063","0.20","2.40","0.0","27","26.7","0.037","1.43","0.25","3.7","","0.0","","","","0.0"
"207","Rashee Rice","KC","WR","4","2025","100","0.020","2.36","0.33","11.0","27","27.0","0.259","3.00","0.36","29.6","23","23.0","-0.174","0.19","1.62","0.0","26","26.0","-0.077","0.24","1.62","3.8","21","21.0","0.048","3.38","0.57","9.5","3","3.0","0.000","3.00","0.33","0.0"
"208","Jeremy McNichols","WAS","RB","11","2025","100","0.000","1.43","0.19","0.0","3","3.0","0.000","","","0.0","2","2.0","0.000","","","0.0","2","2.0","0.000","","","0.0","30","30.0","0.000","1.33","0.17","0.0","63","63.0","0.000","1.63","0.22","0.0"
"209","Mike Evans","TB","WR","4","2025","99","0.242","1.39","0.31","29.3","43","43.4","0.326","2.16","0.43","37.2","41","41.4","0.293","0.24","0.86","26.8","15","15.2","-0.133","0.13","0.60","13.3","","0.0","","","","0.0","","0.0","","","","0.0"
"210","Luther Burden","CHI","WR","9","2025","98","0.020","2.44","0.23","7.1","30","30.6","0.067","2.40","0.17","13.3","26","26.5","0.000","0.14","3.76","3.8","21","21.4","-0.048","0.14","1.95","4.8","20","20.4","0.050","1.29","0.52","5.0","1","1.0","0.000","","","0.0"
"211","Jaylen Warren","PIT","RB","9","2025","98","0.000","2.19","0.28","1.0","2","2.0","-0.500","","","0.0","1","1.0","0.000","","","0.0","2","2.0","0.000","","","0.0","6","6.1","0.000","1.50","0.25","0.0","87","88.8","0.011","2.31","0.29","1.1"
"212","Samaje Perine","CIN","RB","9","2025","96","0.000","0.31","0.09","0.0","1","1.0","0.000","","","0.0","1","1.0","0.000","","","0.0","3","3.1","0.000","0.25","1.25","0.0","4","4.2","0.000","","","0.0","87","90.6","0.000","0.29","0.09","0.0"
"213","Casey Washington","ATL","WR","7","2025","95","0.021","0.99","0.15","13.7","39","41.1","0.026","1.31","0.13","10.3","42","44.2","-0.048","0.17","0.45","9.5","12","12.6","0.250","0.17","2.00","41.7","2","2.1","0.000","","","0.0","","0.0","","","","0.0"
"214","Luke McCaffrey","WAS","WR","9","2025","94","0.011","2.11","0.16","10.6","25","26.6","0.080","1.65","0.15","16.0","32","34.0","0.094","0.09","2.67","15.6","27","28.7","-0.148","0.19","2.15","3.7","10","10.6","0.000","1.40","0.30","0.0","","0.0","","","","0.0"
"215","Luke Farrell","SF","TE","11","2025","94","-0.011","0.87","0.11","0.0","21","22.3","0.000","0.71","0.10","0.0","18","19.1","0.000","","","0.0","15","16.0","-0.067","0.13","1.20","0.0","40","42.6","0.000","1.23","0.15","0.0","","0.0","","","","0.0"
"216","Isaac TeSlaa","DET","WR","10","2025","93","-0.043","0.70","0.09","8.6","41","44.1","-0.073","0.56","0.10","7.3","35","37.6","-0.057","0.11","1.20","11.4","12","12.9","0.000","","","0.0","5","5.4","0.200","","","20.0","","0.0","","","","0.0"
"217","Drew Sample","CIN","TE","10","2025","93","0.011","0.26","0.06","1.1","15","16.1","0.000","","","0.0","9","9.7","0.111","","","11.1","15","16.1","0.000","0.07","1.07","0.0","30","32.3","0.000","-0.10","0.10","0.0","24","25.8","0.000","0.46","0.08","0.0"
"218","LeQuint Allen","JAX","RB","10","2025","92","0.000","0.45","0.09","0.0","","0.0","","","","0.0","5","5.4","0.000","","","0.0","","0.0","","","","0.0","10","10.9","0.000","1.70","0.30","0.0","77","83.7","0.000","0.31","0.06","0.0"
"219","Tyrell Shavers","BUF","WR","10","2025","92","-0.076","1.83","0.18","5.4","22","23.9","0.045","4.04","0.17","4.5","40","43.5","-0.150","0.05","","7.5","19","20.7","-0.105","0.35","2.35","5.3","11","12.0","0.000","2.91","0.36","0.0","","0.0","","","","0.0"
"220","Tanner Conner","MIA","TE","9","2025","92","-0.011","0.95","0.16","3.3","33","35.9","-0.030","","0.09","6.1","19","20.7","0.000","0.30","2.85","5.3","19","20.7","0.000","0.05","0.42","0.0","21","22.8","0.000","1.13","0.22","0.0","","0.0","","","","0.0"
"221","Zach Charbonnet","SEA","RB","9","2025","92","0.000","0.71","0.11","0.0","9","9.8","0.000","1.30","0.20","0.0","","0.0","","","","0.0","2","2.2","0.000","0.50","3.00","0.0","3","3.3","0.000","","","0.0","78","84.8","0.000","0.61","0.09","0.0"
"222","Brycen Tremayne","CAR","WR","10","2025","91","0.110","1.45","0.15","13.2","36","39.6","0.139","2.81","0.25","19.4","34","37.4","0.147","","","11.8","13","14.3","0.000","0.31","1.77","0.0","7","7.7","-0.143","1.13","0.13","0.0","1","1.1","1.000","","","100.0"
"223","Tyjae Spears","TEN","RB","6","2025","91","0.055","1.37","0.20","4.4","","0.0","","","","0.0","2","2.2","0.000","","","0.0","","0.0","","","","0.0","9","9.9","0.111","2.00","0.33","11.1","80","87.9","0.050","1.33","0.20","3.8"
"224","Tyreek Hill","MIA","WR","4","2025","90","0.189","2.82","0.31","16.7","24","26.7","0.333","4.56","0.48","25.0","40","44.4","0.200","0.20","2.44","15.0","15","16.7","0.133","0.20","0.87","20.0","10","11.1","-0.100","2.20","0.40","0.0","1","1.1","0.000","7.00","1.00","0.0"
"225","Jalin Hyatt","NYG","WR","7","2025","89","-0.034","0.38","0.14","4.5","24","27.0","0.000","0.50","0.08","12.5","47","52.8","-0.043","0.14","","0.0","15","16.9","-0.133","0.27","1.53","0.0","3","3.4","0.333","","","33.3","","0.0","","","","0.0"
"226","Kenneth Walker","SEA","RB","10","2025","89","-0.011","1.40","0.16","0.0","5","5.6","-0.200","","0.20","0.0","2","2.2","0.000","","","0.0","1","1.1","0.000","","","0.0","9","10.1","0.000","4.70","0.30","0.0","72","80.9","0.000","1.10","0.15","0.0"
"227","Aaron Jones","MIN","RB","6","2025","89","0.000","1.20","0.23","2.2","","0.0","","","0.50","0.0","","0.0","","","","0.0","3","3.4","0.000","","","0.0","3","3.4","0.000","4.67","0.33","0.0","83","93.3","0.000","1.15","0.22","2.4"
"228","Jacory Croskey-Merritt","WAS","RB","11","2025","86","0.000","0.76","0.13","0.0","2","2.3","0.000","","","0.0","","0.0","","","","0.0","2","2.3","0.000","","","0.0","9","10.5","0.000","0.60","0.10","0.0","73","84.9","0.000","0.83","0.15","0.0"
"229","Jeremy Ruckert","NYJ","TE","10","2025","86","0.000","1.35","0.18","4.7","22","25.6","-0.045","0.87","0.17","9.1","10","11.6","0.100","0.10","1.20","10.0","24","27.9","0.000","0.24","1.80","0.0","29","33.7","0.000","1.07","0.17","3.4","1","1.2","0.000","","","0.0"
"230","Mike Gesicki","CIN","TE","6","2025","84","-0.024","0.71","0.19","4.8","23","27.4","0.000","0.67","0.25","17.4","27","32.1","-0.074","0.18","0.82","0.0","16","19.0","0.000","0.19","1.38","0.0","18","21.4","0.000","","0.11","0.0","","0.0","","","","0.0"
"231","Luke Schoonmaker","DAL","TE","10","2025","84","-0.024","0.75","0.18","2.4","14","16.7","0.000","","","7.1","27","32.1","-0.074","0.11","","3.7","19","22.6","0.000","0.21","1.42","0.0","24","28.6","0.000","1.50","0.33","0.0","","0.0","","","","0.0"
"232","David Montgomery","DET","RB","10","2025","84","-0.012","1.38","0.21","0.0","","0.0","","","","0.0","1","1.2","0.000","","","0.0","1","1.2","0.000","","","0.0","","0.0","","","","0.0","82","97.6","-0.012","1.41","0.22","0.0"
"233","Quinshon Judkins","CLV","RB","9","2025","83","0.000","0.82","0.21","0.0","1","1.2","0.000","","","0.0","1","1.2","0.000","","","0.0","1","1.2","0.000","","","0.0","7","8.4","0.000","","","0.0","73","88.0","0.000","0.93","0.24","0.0"
"234","Dylan Sampson","CLV","RB","10","2025","82","0.000","1.64","0.29","1.2","3","3.7","0.000","6.00","0.67","0.0","1","1.2","0.000","","","0.0","7","8.5","-0.143","0.29","2.29","0.0","11","13.4","0.000","0.82","0.09","0.0","60","73.2","0.017","1.52","0.31","1.7"
"235","Derrick Henry","BLT","RB","10","2025","82","0.000","0.90","0.17","0.0","","0.0","","","","0.0","","0.0","","","","0.0","1","1.2","0.000","","","0.0","1","1.2","0.000","","","0.0","80","97.6","0.000","0.93","0.18","0.0"
"236","Brock Wright","DET","TE","10","2025","82","-0.012","0.95","0.17","1.2","15","18.3","-0.067","","","0.0","16","19.5","0.000","0.06","0.18","0.0","19","23.2","0.000","0.16","0.47","0.0","30","36.6","0.000","2.23","0.30","3.3","2","2.4","0.000","","","0.0"
"237","Adonai Mitchell","IND, NYJ","WR","9","2025","81","0.062","2.00","0.26","13.6","28","34.6","0.107","2.07","0.29","21.4","33","40.7","0.061","0.21","2.27","12.1","19","23.5","0.000","0.32","1.53","5.3","1","1.2","0.000","","","0.0","","0.0","","","","0.0"
"238","Adam Trautman","DEN","TE","11","2025","81","-0.049","1.12","0.14","1.2","20","24.7","-0.100","","","0.0","15","18.5","-0.133","0.13","0.44","6.7","10","12.3","0.000","0.20","2.30","0.0","35","43.2","0.000","1.53","0.19","0.0","1","1.2","0.000","8.00","1.00","0.0"
"239","Emanuel Wilson","GB","RB","10","2025","81","-0.012","0.82","0.15","0.0","1","1.2","0.000","","","0.0","6","7.4","-0.167","","","0.0","1","1.2","0.000","","","0.0","7","8.6","0.000","-0.86","0.29","0.0","66","81.5","0.000","1.10","0.16","0.0"
"240","Marquez Valdes-Scantling","SF","WR","5","2025","81","-0.062","0.49","0.10","6.2","25","30.9","-0.160","0.12","0.12","4.0","38","46.9","-0.105","0.05","0.50","0.0","9","11.1","0.222","0.22","1.00","33.3","9","11.1","0.111","1.00","0.11","11.1","","0.0","","","","0.0"
"241","Bucky Irving","TB","RB","4","2025","80","0.013","2.38","0.23","1.3","4","5.0","0.000","","","0.0","7","8.8","0.000","","","0.0","2","2.5","0.000","","","0.0","5","6.3","0.000","0.20","0.20","0.0","62","77.5","0.016","3.05","0.29","1.6"
"242","Michael Carter","ARZ","RB","6","2025","80","0.013","1.24","0.23","2.5","2","2.5","0.000","","","0.0","1","1.3","0.000","1.00","","0.0","1","1.3","0.000","","","0.0","3","3.8","0.000","0.33","0.33","0.0","73","91.3","0.014","1.34","0.22","2.7"
"243","Johnny Mundt","JAX","TE","10","2025","80","-0.025","1.00","0.17","1.3","16","20.0","-0.063","0.41","0.18","6.3","20","25.0","-0.050","0.09","0.73","0.0","13","16.3","0.000","0.08","","0.0","31","38.8","0.000","1.94","0.26","0.0","","0.0","","","","0.0"
"244","Tyler Badie","DEN","RB","10","2025","79","0.000","1.06","0.23","0.0","","0.0","","","","0.0","1","1.3","0.000","","","0.0","","0.0","","","","0.0","5","6.3","0.000","","","0.0","73","92.4","0.000","1.14","0.25","0.0"
"245","Nick Chubb","HST","RB","10","2025","79","0.000","0.75","0.23","0.0","","0.0","","","","0.0","2","2.5","0.000","","","0.0","2","2.5","0.000","0.50","3.50","0.0","","0.0","","","","0.0","75","94.9","0.000","0.69","0.23","0.0"
"246","Lil'Jordan Humphrey","DEN, NYG","WR","4","2025","79","-0.089","0.67","0.10","8.9","27","34.2","-0.111","0.22","0.07","14.8","28","35.4","-0.107","0.13","1.10","7.1","16","20.3","-0.063","0.13","0.94","6.3","8","10.1","0.000","","","0.0","","0.0","","","","0.0"
"247","Mitchell Evans","CAR","TE","11","2025","78","0.000","1.46","0.14","2.6","23","29.5","0.000","0.87","0.09","4.3","16","20.5","0.063","0.22","3.17","6.3","16","20.5","-0.063","0.06","1.00","0.0","23","29.5","0.000","1.04","0.17","0.0","","0.0","","","","0.0"
"248","Bam Knight","ARZ","RB","8","2025","77","0.013","1.12","0.22","1.3","2","2.6","0.000","","","0.0","3","3.9","0.000","","","0.0","","0.0","","","","0.0","6","7.8","0.000","0.17","0.17","0.0","66","85.7","0.015","1.29","0.24","1.5"
"249","Davis Allen","LA","TE","10","2025","77","0.013","1.33","0.21","3.9","18","23.4","0.056","0.83","0.17","5.6","23","29.9","0.087","0.25","1.92","8.7","18","23.4","0.000","0.17","0.39","0.0","17","22.1","-0.118","2.12","0.24","0.0","1","1.3","0.000","","","0.0"
"250","Mo Alie-Cox","IND","TE","10","2025","77","-0.013","0.65","0.10","0.0","12","15.6","-0.083","","0.17","0.0","20","26.0","0.000","0.05","","0.0","17","22.1","0.000","0.06","0.94","0.0","27","35.1","0.000","1.26","0.15","0.0","1","1.3","0.000","","","0.0"
"251","Elijah Moore","BUF","WR","8","2025","76","-0.013","1.46","0.18","6.6","21","27.6","0.048","0.67","0.19","19.0","31","40.8","-0.032","0.09","1.79","3.2","13","17.1","-0.077","0.29","2.64","0.0","10","13.2","0.000","0.50","0.30","0.0","1","1.3","0.000","","","0.0"
"252","Malik Heath","GB","WR","9","2025","75","0.067","1.12","0.08","9.3","21","28.0","0.095","","","9.5","33","44.0","0.091","0.03","1.06","12.1","15","20.0","0.000","0.20","1.93","6.7","6","8.0","0.000","3.33","0.33","0.0","","0.0","","","","0.0"
"253","Jack Bech","LV","WR","10","2025","74","-0.027","1.23","0.13","5.4","27","36.5","-0.037","0.85","0.15","3.7","25","33.8","-0.120","0.08","0.38","0.0","15","20.3","0.133","0.13","2.27","13.3","7","9.5","0.000","3.57","0.29","14.3","","0.0","","","","0.0"
"254","Tylan Wallace","BLT","WR","10","2025","71","0.085","0.63","0.10","14.1","33","46.5","0.121","0.42","0.09","18.2","13","18.3","0.077","0.15","1.15","15.4","15","21.1","-0.067","","","0.0","10","14.1","0.200","1.60","0.20","20.0","","0.0","","","","0.0"
"255","Trey Benson","ARZ","RB","4","2025","71","0.000","0.90","0.18","0.0","1","1.4","0.000","","","0.0","3","4.2","0.000","","","0.0","1","1.4","0.000","","","0.0","7","9.9","0.000","0.86","0.14","0.0","59","83.1","0.000","0.98","0.20","0.0"
"256","Curtis Samuel","BUF","WR","6","2025","71","0.070","1.07","0.11","8.5","25","35.2","0.200","1.00","0.10","16.0","30","42.3","0.000","0.03","0.17","3.3","7","9.9","0.000","0.25","4.38","14.3","9","12.7","0.000","1.33","0.22","0.0","","0.0","","","","0.0"
"257","J.K. Dobbins","DEN","RB","10","2025","69","0.000","0.52","0.20","0.0","","0.0","","","","0.0","","0.0","","","","0.0","","0.0","","","","0.0","2","2.9","0.000","2.50","0.50","0.0","67","97.1","0.000","0.46","0.19","0.0"
"258","Devin Singletary","NYG","RB","11","2025","68","0.029","1.30","0.14","2.9","1","1.5","0.000","","","0.0","4","5.9","0.000","","","0.0","2","2.9","0.000","","","0.0","7","10.3","0.000","","0.13","0.0","54","79.4","0.037","1.64","0.16","3.7"
"259","Tim Patrick","JAX","WR","9","2025","68","0.029","1.19","0.14","10.3","26","38.2","0.115","2.52","0.22","15.4","20","29.4","0.000","0.10","","10.0","15","22.1","-0.067","","","6.7","7","10.3","0.000","2.14","0.29","0.0","","0.0","","","","0.0"
"260","Colby Parkinson","LA","TE","8","2025","67","0.030","1.78","0.25","4.5","18","26.9","0.056","0.33","0.11","11.1","16","23.9","0.063","0.06","1.44","6.3","11","16.4","0.000","0.45","2.45","0.0","22","32.8","0.000","2.79","0.38","0.0","","0.0","","","","0.0"
"261","Darren Waller","MIA","TE","4","2025","67","0.090","1.70","0.17","10.4","23","34.3","0.087","2.09","0.26","13.0","30","44.8","0.067","0.16","2.03","6.7","8","11.9","0.000","","","0.0","6","9.0","0.333","1.00","0.17","33.3","","0.0","","","","0.0"
"262","John Bates","WAS","TE","9","2025","67","-0.030","0.90","0.13","0.0","10","14.9","0.000","0.60","0.20","0.0","13","19.4","-0.077","0.08","0.77","0.0","16","23.9","-0.063","","","0.0","26","38.8","0.000","1.64","0.21","0.0","2","3.0","0.000","","","0.0"
"263","Charlie Kolar","BLT","TE","10","2025","66","0.015","1.28","0.13","4.5","13","19.7","0.077","0.77","0.08","15.4","15","22.7","0.000","0.13","1.33","6.7","20","30.3","0.000","0.10","1.10","0.0","18","27.3","0.000","1.71","0.19","0.0","","0.0","","","","0.0"
"264","Julian Hill","MIA","TE","8","2025","66","-0.030","1.38","0.21","0.0","13","19.7","0.000","","0.15","0.0","11","16.7","-0.091","0.09","","0.0","9","13.6","0.000","0.22","1.44","0.0","32","48.5","-0.031","2.44","0.28","0.0","1","1.5","0.000","","","0.0"
"265","Alec Ingold","MIA","FB","11","2025","64","0.000","0.56","0.11","0.0","9","14.1","0.000","0.44","0.22","0.0","8","12.5","0.000","0.13","","0.0","7","10.9","0.000","0.14","1.29","0.0","17","26.6","0.000","","","0.0","23","35.9","0.000","1.00","0.13","0.0"
"266","Emari Demercado","ARZ","RB","9","2025","64","0.000","0.98","0.17","0.0","1","1.6","0.000","","","0.0","2","3.1","0.000","","","0.0","2","3.1","0.000","","","0.0","2","3.1","0.000","2.00","0.50","0.0","57","89.1","0.000","1.03","0.17","0.0"
"267","Chris Godwin","TB","WR","2","2025","63","0.095","0.81","0.20","15.9","33","52.4","0.121","0.24","0.12","18.2","18","28.6","0.111","0.22","0.61","22.2","8","12.7","0.000","0.25","3.00","0.0","4","6.3","0.000","2.25","0.75","0.0","","0.0","","","","0.0"
