"Player Details","","","","","","Overall","","","","","Horizontally Breaking","","","","","","Vertically Breaking","","","","","","Static","","","","","","Shallow/Underneath","","","","","","Backfield","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE"
"30","Jake Ferguson","DAL","TE","10","2025","292","-0.007","1.35","0.24","5.8","69","23.6","0.043","0.83","0.16","14.5","77","26.4","-0.026","0.16","1.43","7.8","58","19.9","-0.034","0.19","1.33","1.7","87","29.8","-0.011","1.71","0.39","0.0","1","0.3","0.000","","1.00","0.0"
"31","Juwan Johnson","NO","TE","10","2025","291","0.010","1.65","0.20","4.5","85","29.2","0.024","1.53","0.19","8.2","76","26.1","0.039","0.16","1.44","6.6","67","23.0","-0.015","0.22","2.00","1.5","54","18.6","-0.019","1.68","0.21","0.0","9","3.1","0.000","1.67","0.33","0.0"
"32","Nico Collins","HST","WR","9","2025","289","0.087","2.20","0.28","15.6","127","43.9","0.063","1.65","0.28","15.7","111","38.4","0.162","0.26","3.00","18.0","29","10.0","0.000","0.27","2.30","13.8","22","7.6","-0.045","1.18","0.36","4.5","","0.0","","","","0.0"
"33","Travis Kelce","KC","TE","10","2025","288","0.073","2.10","0.22","10.8","90","31.3","0.100","1.63","0.18","17.8","57","19.8","0.053","0.08","1.42","8.8","77","26.7","0.078","0.24","2.13","7.8","62","21.5","0.048","3.21","0.37","6.5","2","0.7","0.000","8.50","0.50","0.0"
"34","DJ Moore","CHI","WR","10","2025","288","0.069","1.42","0.16","12.2","90","31.3","0.156","1.78","0.18","18.9","114","39.6","0.018","0.09","0.44","8.8","51","17.7","0.078","0.12","0.90","13.7","23","8.0","-0.043","4.96","0.46","0.0","10","3.5","0.100","3.60","0.50","10.0"
"35","Davante Adams","LA","WR","10","2025","287","0.192","1.98","0.29","23.3","131","45.6","0.244","1.64","0.26","28.2","99","34.5","0.172","0.35","2.15","23.2","53","18.5","0.113","0.26","2.62","13.2","4","1.4","0.000","","0.25","0.0","","0.0","","","","0.0"
"36","Dalton Schultz","HST","TE","10","2025","287","0.059","1.67","0.23","7.7","75","26.1","0.093","1.65","0.25","14.7","72","25.1","0.083","0.13","0.92","9.7","63","22.0","0.016","0.25","1.75","3.2","73","25.4","0.041","2.39","0.28","2.7","4","1.4","0.000","2.00","0.25","0.0"
"37","Tyler Warren","IND","TE","10","2025","284","0.007","2.13","0.22","3.5","67","23.6","0.045","0.57","0.13","9.0","81","28.5","-0.037","0.13","1.99","2.5","50","17.6","0.000","0.18","0.98","0.0","76","26.8","0.013","4.05","0.39","1.3","10","3.5","0.100","4.50","0.40","10.0"
"38","Cade Otton","TB","TE","10","2025","284","-0.021","1.30","0.18","3.5","85","29.9","0.012","1.32","0.18","9.4","40","14.1","-0.100","0.12","1.43","0.0","79","27.8","-0.038","0.19","1.46","0.0","78","27.5","0.000","1.09","0.20","2.6","2","0.7","0.000","","","0.0"
"39","Hunter Henry","NE","TE","11","2025","283","0.035","1.46","0.17","6.7","89","31.4","0.124","1.52","0.16","14.6","83","29.3","0.012","0.11","0.80","6.0","54","19.1","-0.037","0.20","1.33","0.0","41","14.5","-0.024","2.65","0.28","0.0","16","5.7","0.063","1.81","0.19","6.3"
